index,elapsed_ms,time,date,status,quality,lat,lon,alt,sats,hdop,speed_knots,course_deg
0,37787,132504.00,,V,1,26.03073,119.1932,40.9,4,5.81,,
1,38789,132505.00,,V,1,26.03072,119.1932,39.5,4,5.81,,
2,39786,132506.00,050626,A,1,26.03072,119.1932,37.1,4,5.82,2.462,
3,43785,132510.00,050626,A,1,26.0307,119.1932,30.5,4,5.83,0.57,
4,44787,132511.00,050626,A,1,26.03069,119.1932,29.8,4,5.84,0.463,
5,45783,132512.00,050626,A,1,26.03068,119.1932,28.0,4,5.84,1.825,
6,46792,132513.00,050626,A,1,26.03068,119.1932,28.5,4,5.84,1.73,
7,47789,132514.00,050626,A,1,26.03067,119.1932,27.3,4,5.85,1.468,
8,48786,132515.00,050626,A,1,26.03066,119.1932,26.1,4,5.85,0.575,
9,49788,132516.00,050626,A,1,26.03065,119.1932,24.9,4,5.86,2.084,
10,50787,132517.00,050626,A,1,26.03065,119.1932,23.9,4,5.86,1.794,
11,51785,132518.00,050626,A,1,26.03064,119.1932,22.8,4,5.86,1.379,
12,52787,132519.00,050626,A,1,26.03064,119.1932,21.9,4,5.87,3.174,
13,53796,132520.00,050626,A,1,26.03063,119.1931,21.2,4,5.87,3.705,16.29
14,54780,132521.00,050626,A,1,26.03061,119.1931,20.0,4,5.88,0.712,
15,55782,132522.00,050626,A,1,26.03061,119.1931,18.7,4,5.88,0.959,
16,56785,132523.00,050626,A,1,26.03059,119.1931,17.4,4,5.88,0.415,
17,57783,132524.00,050626,A,1,26.03058,119.1931,16.6,4,5.89,1.26,
18,58782,132525.00,050626,A,1,26.03057,119.1931,15.6,4,5.89,1.726,
19,59783,132526.00,050626,A,1,26.03055,119.1931,14.3,4,5.9,2.599,
20,60783,132527.00,050626,A,1,26.03053,119.1931,13.2,4,5.9,2.304,
21,61782,132528.00,050626,A,1,26.03051,119.1931,11.8,4,5.9,0.9929999,
22,62783,132529.00,050626,A,1,26.0305,119.1931,10.4,4,5.91,0.457,
23,63785,132530.00,050626,A,1,26.03049,119.1931,9.4,4,5.91,1.702,
24,64782,132531.00,050626,A,1,26.03046,119.1931,7.9,4,5.92,2.098,
25,65784,132532.00,050626,A,1,26.03045,119.1931,7.3,4,5.92,0.548,
26,66785,132533.00,050626,A,1,26.03044,119.1931,6.8,4,5.92,0.434,
27,67781,132534.00,050626,A,1,26.03043,119.1931,6.2,4,5.93,0.5,
28,68785,132535.00,050626,A,1,26.03042,119.1931,5.7,4,5.93,1.143,
29,69783,132536.00,050626,A,1,26.03041,119.193,5.4,4,5.94,1.423,
30,70784,132537.00,050626,A,1,26.03039,119.193,4.4,4,5.94,0.61,
31,71784,132538.00,050626,A,1,26.03037,119.193,3.3,4,5.95,0.101,
32,72783,132539.00,050626,A,1,26.03037,119.193,2.8,4,5.95,1.009,
33,73782,132540.00,050626,A,1,26.03036,119.193,3.0,4,5.95,1.393,
34,74785,132541.00,050626,A,1,26.03035,119.193,2.9,4,5.96,0.377,
35,75785,132542.00,050626,A,1,26.03035,119.193,3.0,4,5.96,0.842,
36,76782,132543.00,050626,A,1,26.03035,119.193,2.9,4,5.97,0.195,
37,77782,132544.00,050626,A,1,26.03035,119.193,3.2,4,5.97,0.451,
38,78785,132545.00,050626,A,1,26.03036,119.193,4.0,4,5.97,0.9929999,
39,79787,132546.00,050626,A,1,26.03036,119.193,4.2,4,5.98,0.19,
40,80783,132547.00,050626,A,1,26.03036,119.193,5.3,4,5.98,0.456,
41,81784,132548.00,050626,A,1,26.03037,119.193,6.7,4,5.99,0.369,
42,82783,132549.00,050626,A,1,26.03037,119.193,7.8,4,5.99,0.638,
43,83788,132550.00,050626,A,1,26.03037,119.193,8.6,4,6.0,1.062,
44,84787,132551.00,050626,A,1,26.03038,119.193,9.5,4,6.0,1.35,
45,85783,132552.00,050626,A,1,26.03039,119.193,10.6,4,6.0,0.289,
46,86785,132553.00,050626,A,1,26.0304,119.193,11.6,4,6.01,0.34,
47,87787,132554.00,050626,A,1,26.0304,119.193,12.7,4,6.01,0.393,
48,88785,132555.00,050626,A,1,26.03041,119.193,13.4,4,6.02,0.34,
49,89784,132556.00,050626,A,1,26.03042,119.193,14.4,4,6.02,0.68,
50,90784,132557.00,050626,A,1,26.03043,119.193,15.7,4,6.03,0.117,
51,91787,132558.00,050626,A,1,26.03044,119.193,17.0,4,6.03,0.078,
52,92787,132559.00,050626,A,1,26.03045,119.193,18.0,4,6.03,1.539,
53,93786,132600.00,050626,A,1,26.03046,119.193,19.8,4,6.04,2.0,
54,94785,132601.00,050626,A,1,26.03049,119.193,21.0,4,6.04,0.724,
55,95786,132602.00,050626,A,1,26.0305,119.193,22.3,4,6.05,0.268,
56,96788,132603.00,050626,A,1,26.03051,119.193,23.2,4,6.05,0.036,
57,97792,132604.00,050626,A,1,26.03052,119.193,24.4,4,6.06,0.421,
58,98787,132605.00,050626,A,1,26.03054,119.193,25.4,4,6.06,0.887,
59,99786,132606.00,050626,A,1,26.03055,119.193,26.2,4,6.06,0.417,
60,100786,132607.00,050626,A,1,26.03056,119.193,27.1,4,6.07,0.131,
61,101800,132608.00,050626,A,1,26.03057,119.193,28.0,4,6.07,1.676,359.93
62,102801,132609.00,050626,A,1,26.03058,119.193,29.0,4,6.08,1.893,353.65
63,103785,132610.00,050626,A,1,26.0306,119.193,30.0,4,6.08,0.661,
64,104786,132611.00,050626,A,1,26.0306,119.193,31.0,4,6.09,0.089,
65,105798,132612.00,050626,A,1,26.03061,119.1931,32.0,4,6.09,0.397,
66,106792,132613.00,050626,A,1,26.03061,119.1931,32.8,4,6.1,0.194,
67,107787,132614.00,050626,A,1,26.03062,119.1931,33.8,4,6.1,0.635,
68,108790,132615.00,050626,A,1,26.03063,119.1931,34.4,4,6.1,0.248,
69,109786,132616.00,050626,A,1,26.03063,119.1931,35.2,4,6.11,0.281,
70,110789,132617.00,050626,A,1,26.03064,119.1931,35.7,4,6.11,1.451,
71,111801,132618.00,050626,A,1,26.03064,119.1931,36.3,4,6.12,1.978,349.93
72,112787,132619.00,050626,A,1,26.03065,119.1931,36.8,4,6.12,0.175,
73,113785,132620.00,050626,A,1,26.03064,119.1931,37.2,4,6.13,1.204,
74,114786,132621.00,050626,A,1,26.03063,119.1931,37.4,4,6.13,0.232,
75,115788,132622.00,050626,A,1,26.03064,119.1931,37.4,4,6.13,0.459,
76,116785,132623.00,050626,A,1,26.03063,119.1931,37.3,4,6.14,0.213,
77,117786,132624.00,050626,A,1,26.03064,119.1931,37.3,4,6.14,0.992,
78,118795,132625.00,050626,A,1,26.0306,119.1931,36.8,5,3.47,2.462,
79,119780,132626.00,050626,A,1,26.03058,119.1931,36.3,5,3.47,1.798,
80,120780,132627.00,050626,A,1,26.03055,119.1931,36.1,5,3.47,3.119,
81,121782,132628.00,050626,A,1,26.03051,119.1931,35.8,5,3.47,3.967,
82,122793,132629.00,050626,A,1,26.03044,119.1931,36.1,5,3.47,6.69,60.59
83,123795,132630.00,050626,A,1,26.03039,119.1932,36.0,4,13.05,6.793,123.82
84,124688,132631.00,050626,V,0,,,,0,99.99,,
85,125792,132632.00,050626,A,1,26.03029,119.1932,36.3,5,3.48,7.469,145.05
86,126798,132633.00,050626,A,1,26.03018,119.1933,37.6,5,3.48,10.337,147.75
87,127689,132634.00,050626,V,0,,,,0,99.99,,
88,128797,132635.00,050626,A,1,26.0301,119.1933,38.2,4,12.98,10.462,149.88
89,129796,132636.00,050626,A,1,26.03,119.1934,39.5,5,3.48,11.538,150.59
90,130688,132637.00,050626,V,0,,,,0,99.99,,
91,131688,132638.00,050626,V,0,,,,0,99.99,,
92,132689,132639.00,050626,V,0,,,,0,99.99,,
93,133687,132640.00,050626,V,0,,,,0,99.99,,
94,134687,132641.00,050626,V,0,,,,0,99.99,,
95,135698,132642.00,050626,V,0,,,,4,99.99,,
96,136697,132643.00,050626,V,0,,,,4,99.99,,
97,137695,132644.00,050626,V,0,,,,3,99.99,,
98,138696,132645.00,050626,V,0,,,,3,99.99,,
99,139696,132646.00,050626,V,0,,,,3,99.99,,
100,140695,132647.00,050626,V,0,,,,3,99.99,,
101,141695,132648.00,050626,V,0,,,,3,98.85,,
102,142683,132649.00,050626,V,0,,,,0,99.99,,
103,143683,132650.00,050626,V,0,,,,0,99.99,,
104,144684,132651.00,050626,V,0,,,,0,99.99,,
105,145685,132652.00,050626,V,0,,,,0,99.99,,
106,146683,132653.00,050626,V,0,,,,0,99.99,,
107,147685,132654.00,050626,V,0,,,,0,99.99,,
108,148686,132655.00,050626,V,0,,,,0,99.99,,
109,149684,132656.00,050626,V,0,,,,0,99.99,,
110,150684,132657.00,050626,V,0,,,,0,99.99,,
111,151685,132658.00,050626,V,0,,,,0,99.99,,
112,152685,132659.00,050626,V,0,,,,0,99.99,,
113,153684,132700.00,050626,V,0,,,,0,99.99,,
114,154685,132701.00,050626,V,0,,,,0,99.99,,
115,155685,132702.00,050626,V,0,,,,0,99.99,,
116,156686,132703.00,050626,V,0,,,,0,99.99,,
117,157688,132704.00,050626,V,0,,,,0,99.99,,
118,158688,132705.00,050626,V,0,,,,0,99.99,,
119,159685,132706.00,050626,V,0,,,,0,99.99,,
120,160686,132707.00,050626,V,0,,,,0,99.99,,
121,161686,132708.00,050626,V,0,,,,0,99.99,,
122,162687,132709.00,050626,V,0,,,,0,99.99,,
123,163823,132710.00,050626,V,0,,,,3,76.86,,
124,164696,132711.00,050626,V,0,,,,3,76.09,,
125,165700,132712.00,050626,V,0,,,,3,75.34,,
126,166699,132713.00,050626,V,0,,,,3,74.6,,
127,167696,132714.00,050626,V,0,,,,3,73.88,,
128,168701,132715.00,050626,V,0,,,,3,73.16,,
129,169690,132716.00,050626,V,0,,,,0,99.99,,
130,170704,132717.00,050626,V,0,,,,3,71.78,,
131,171691,132718.00,050626,V,0,,,,0,99.99,,
132,172702,132719.00,050626,V,0,,,,3,70.45,,
133,173689,132720.00,050626,V,0,,,,0,99.99,,
134,174686,132721.00,050626,V,0,,,,0,99.99,,
135,175684,132722.00,050626,V,0,,,,0,99.99,,
136,176686,132723.00,050626,V,0,,,,0,99.99,,
137,177685,132724.00,050626,V,0,,,,0,99.99,,
138,178688,132725.00,050626,V,0,,,,0,99.99,,
139,179686,132726.00,050626,V,0,,,,0,99.99,,
140,180687,132727.00,050626,V,0,,,,0,99.99,,
141,181687,132728.00,050626,V,0,,,,0,99.99,,
142,182686,132729.00,050626,V,0,,,,0,99.99,,
143,183690,132730.00,050626,V,0,,,,0,99.99,,
144,184688,132731.00,050626,V,0,,,,0,99.99,,
145,185685,132732.00,050626,V,0,,,,0,99.99,,
146,186687,132733.00,050626,V,0,,,,0,99.99,,
147,187685,132734.00,050626,V,0,,,,0,99.99,,
148,188685,132735.00,050626,V,0,,,,0,99.99,,
149,189685,132736.00,050626,V,0,,,,0,99.99,,
150,190685,132737.00,050626,V,0,,,,0,99.99,,
151,191685,132738.00,050626,V,0,,,,0,99.99,,
152,192688,132739.00,050626,V,0,,,,0,99.99,,
153,193685,132740.00,050626,V,0,,,,0,99.99,,
154,194685,132741.00,050626,V,0,,,,0,99.99,,
155,195683,132742.00,050626,V,0,,,,0,99.99,,
156,196684,132743.00,050626,V,0,,,,0,99.99,,
157,197683,132744.00,050626,V,0,,,,0,99.99,,
158,198684,132745.00,050626,V,0,,,,0,99.99,,
159,199685,132746.00,050626,V,0,,,,0,99.99,,
160,200684,132747.00,050626,V,0,,,,0,99.99,,
161,201685,132748.00,050626,V,0,,,,0,99.99,,
162,202685,132749.00,050626,V,0,,,,0,99.99,,
163,203684,132750.00,050626,V,0,,,,0,99.99,,
164,204685,132751.00,050626,V,0,,,,0,99.99,,
165,205686,132752.00,050626,V,0,,,,0,99.99,,
166,206685,132753.00,050626,V,0,,,,0,99.99,,
167,207684,132754.00,050626,V,0,,,,0,99.99,,
168,208685,132755.00,050626,V,0,,,,0,99.99,,
169,209683,132756.00,050626,V,0,,,,0,99.99,,
170,210682,132757.00,050626,V,0,,,,0,99.99,,
171,211683,132758.00,050626,V,0,,,,0,99.99,,
172,212683,132759.00,050626,V,0,,,,0,99.99,,
173,213683,132800.00,050626,V,0,,,,0,99.99,,
174,214684,132801.00,050626,V,0,,,,0,99.99,,
175,215683,132802.00,050626,V,0,,,,0,99.99,,
176,216682,132803.00,050626,V,0,,,,0,99.99,,
177,217684,132804.00,050626,V,0,,,,0,99.99,,
178,218681,132805.00,050626,V,0,,,,0,99.99,,
179,219681,132806.00,050626,V,0,,,,0,99.99,,
180,220681,132807.00,050626,V,0,,,,0,99.99,,
181,221680,132808.00,050626,V,0,,,,0,99.99,,
182,222684,132809.00,050626,V,0,,,,0,99.99,,
183,223682,132810.00,050626,V,0,,,,0,99.99,,
184,224683,132811.00,050626,V,0,,,,0,99.99,,
185,225684,132812.00,050626,V,0,,,,0,99.99,,
186,226683,132813.00,050626,V,0,,,,0,99.99,,
187,227680,132814.00,050626,V,0,,,,0,99.99,,
188,228683,132815.00,050626,V,0,,,,0,99.99,,
189,229679,132816.00,050626,V,0,,,,0,99.99,,
190,230683,132817.00,050626,V,0,,,,0,99.99,,
191,231682,132818.00,050626,V,0,,,,0,99.99,,
192,232682,132819.00,050626,V,0,,,,0,99.99,,
193,233682,132820.00,050626,V,0,,,,0,99.99,,
194,234681,132821.00,050626,V,0,,,,0,99.99,,
195,235682,132822.00,050626,V,0,,,,0,99.99,,
196,236684,132823.00,050626,V,0,,,,0,99.99,,
197,237681,132824.00,050626,V,0,,,,0,99.99,,
198,238686,132825.00,050626,V,0,,,,0,99.99,,
199,239682,132826.00,050626,V,0,,,,0,99.99,,
200,240683,132827.00,050626,V,0,,,,0,99.99,,
201,241683,132828.00,050626,V,0,,,,0,99.99,,
202,242684,132829.00,050626,V,0,,,,0,99.99,,
203,243684,132830.00,050626,V,0,,,,0,99.99,,
204,244683,132831.00,050626,V,0,,,,0,99.99,,
205,245681,132832.00,050626,V,0,,,,0,99.99,,
206,246684,132833.00,050626,V,0,,,,0,99.99,,
