method,channel,mean,std,rmse,snr_db
raw,ax_g,-0.035457451,0.002245986,0.002245986,23.966009
raw,ay_g,0.012601570,0.002236024,0.002236024,15.018964
raw,az_g,1.024402618,0.003431753,0.003431759,49.499079
raw,gx_dps,0.228137448,0.052568302,0.052568302,12.749453
raw,gy_dps,0.964645505,0.070978411,0.070978411,22.664830
raw,gz_dps,-0.100998990,0.060222298,0.060222298,4.491194
raw,roll_from_acc,0.704770029,0.125014618,0.125014618,15.021733
raw,pitch_from_acc,1.982209086,0.125671387,0.125671387,23.958261
lowpass,ax_g,-0.035453394,0.000560475,0.000560475,36.022032
lowpass,ay_g,0.012615054,0.000561318,0.000561318,27.033602
lowpass,az_g,1.024389863,0.000728430,0.000728445,62.961369
lowpass,gx_dps,0.228295133,0.011779746,0.011779746,25.747214
lowpass,gy_dps,0.964663327,0.016567985,0.016567985,35.302122
lowpass,gz_dps,-0.100954063,0.013733628,0.013733628,17.326770
lowpass,roll_from_acc,0.705537975,0.031349067,0.031349067,27.045916
lowpass,pitch_from_acc,1.982011199,0.031383161,0.031383161,36.008189
kalman,ax_g,-0.035456434,0.000945310,0.000945310,31.482420
kalman,ay_g,0.012612814,0.000932976,0.000932976,22.618831
kalman,az_g,1.024393320,0.001119515,0.001119515,59.228735
kalman,gx_dps,0.228289321,0.014358778,0.014358778,24.027362
kalman,gy_dps,0.964661956,0.017912107,0.017912107,34.624570
kalman,gz_dps,-0.100956090,0.015851947,0.015851947,16.080998
kalman,roll_from_acc,0.705414474,0.052145034,0.052145034,22.624628
kalman,pitch_from_acc,1.982193232,0.052844554,0.052844550,31.482916
cnn_1d,ax_g,-0.035445925,0.000433278,0.000433278,38.255997
cnn_1d,ay_g,0.012662448,0.000445988,0.000445988,29.063890
cnn_1d,az_g,1.024358273,0.000227587,0.000242500,72.514785
cnn_1d,gx_dps,0.229204804,0.008200773,0.008200773,28.927378
cnn_1d,gy_dps,0.965937555,0.012166856,0.012166856,37.995414
cnn_1d,gz_dps,-0.101317242,0.009969389,0.009969389,20.140296
cnn_1d,roll_from_acc,0.708154321,0.024863776,0.024863776,29.091217
cnn_1d,pitch_from_acc,1.981502295,0.024297446,0.024297446,38.228679
