t_s,east_m,north_m,up_m,ve_mps,vn_mps,vu_mps,lat,lon,alt_m,roll_deg,pitch_deg,yaw_deg,bgx_dps,bgy_dps,bgz_dps,bax_mps2,bay_mps2,baz_mps2,sigma_e_m,sigma_n_m
0.0,-8.064137097351453e-07,4.4330110290727984e-07,6.045095059973586e-07,-4.032068548675726e-05,2.2165055145363992e-05,3.114597806364894e-05,26.03039169000398,119.19304656999195,36.20000060450951,-0.9220472328801765,-6.7936713660492245,59.77354030833987,0.0,0.0,0.0,0.0,0.0,0.0,5.000161597388629,5.000161597388629
0.146,-3.366016916825561e-05,3.158517206183796e-05,-1.3216644541270577e-06,-0.00022502572231863335,0.00021330048602007315,-1.5409306546444337e-05,26.030391690283732,119.1930465696635,36.19999867833555,-0.9287977520033657,-6.795175483022594,59.7749381333649,0.0,0.0,0.0,0.0,0.0,0.0,5.0111022669668195,5.0111022669668195
0.246,-5.241717999419987e-05,5.99419994690538e-05,1.768238939301651e-05,-0.00018757010825944264,0.0002835682740721584,0.0002186566994418902,26.030391690538465,119.19304656947598,36.200017682389394,-0.9269123311516082,-6.7867872802972,59.791887347430205,0.0,0.0,0.0,0.0,0.0,0.0,5.0284964134420935,5.0284964134420935
0.352,-8.786077564648716e-05,9.224591422297046e-05,4.814937550793203e-05,-0.0003343735438895028,0.00030475391277279864,0.0003657070813576544,26.030391690828658,119.19304656912163,36.20004814937551,-0.9343634890992115,-6.783116995202502,59.78712330925689,0.0,0.0,0.0,0.0,0.0,0.0,5.055879708428593,5.055879708428593
0.451,-0.00013653560461024796,0.00012209472679167085,8.435480366214867e-05,-0.0004916649390278868,0.0003015031572595998,0.0005021214613959848,26.030391691096796,119.19304656863503,36.200084354803664,-0.9418678025526775,-6.7826345232826935,59.78728877838912,0.0,0.0,0.0,0.0,0.0,0.0,5.089763326113504,5.089763326113504
0.553,-0.00019834254033795836,0.0001592436725424607,0.00011943840435330024,-0.0006059503502716705,0.00036420535049793974,0.0005375465919197562,26.03039169143051,119.19304656801712,36.20011943840436,-0.943845859537363,-6.785194246146613,59.79142401317539,0.0,0.0,0.0,0.0,0.0,0.0,5.13303423164847,5.13303423164847
0.66,-0.00027696698710795133,0.00020138021610802392,0.0001348770977012583,-0.0007348079137382522,0.00039379947257535706,0.0003637429505179109,26.030391691809026,119.1930465672311,36.2001348770977,-0.96066009096157,-6.781219776114022,59.80305467079734,0.0,0.0,0.0,0.0,0.0,0.0,5.187452653468872,5.187452653468872
0.767,-0.00038260465141768903,0.00025534216244304587,0.00015416026066623803,-0.000987267890745212,0.000504317255467495,0.0004310478603154085,26.030391692293776,119.19304656617501,36.20015416026067,-0.9685368738154381,-6.778989565257498,59.80814010877784,0.0,0.0,0.0,0.0,0.0,0.0,5.250975094623497,5.250975094623497
0.871,-0.0004821880208539488,0.00031864522027501085,0.0001701724685165479,-0.0009575323984255751,0.0006086832483842786,0.0004302094190422013,26.030391692862437,119.19304656517944,36.20017017246852,-0.9744090487447095,-6.7752573016463495,59.811453337803904,0.0,0.0,0.0,0.0,0.0,0.0,5.321277353291805,5.321277353291805
0.972,-0.000601347499356931,0.00039731410519104295,0.0002122641323199719,-0.0011797968168612096,0.0007788998506537833,0.0007605294069646462,26.030391693569133,119.19304656398818,36.200212264132325,-0.9809502684510705,-6.778451648889267,59.82177632579645,0.0,0.0,0.0,0.0,0.0,0.0,5.397447491406238,5.397447491406238
