source_file,file_index,elapsed_ms,utc_time,date,lat,lon,alt_m,speed_knots,course_deg,fix_quality,satellites,hdop
gps_nmea_0001.txt,0,378,132402.00,290626,26.030523499999997,119.19304033333334,18.4,0.041,nan,1,8,1.1
gps_nmea_0001.txt,0,1373,132403.00,290626,26.030524666666665,119.19304033333334,18.4,0.019,nan,1,8,1.1
gps_nmea_0001.txt,0,2370,132404.00,290626,26.03052566666667,119.19303999999998,18.4,0.089,nan,1,8,1.1
gps_nmea_0001.txt,0,3428,132405.00,290626,26.03052716666667,119.19303999999998,18.4,0.019,nan,1,8,1.1
gps_nmea_0001.txt,0,4371,132406.00,290626,26.0305285,119.19304016666668,18.5,0.132,nan,1,8,1.1
gps_nmea_0001.txt,0,5410,132407.00,290626,26.030529666666666,119.19304033333334,18.5,0.161,nan,1,8,1.1
gps_nmea_0001.txt,0,6372,132408.00,290626,26.0305315,119.19303999999998,18.7,0.073,nan,1,8,1.1
gps_nmea_0001.txt,0,7370,132409.00,290626,26.030533,119.19303966666666,18.8,0.093,nan,1,8,1.1
gps_nmea_0001.txt,0,8414,132410.00,290626,26.030535,119.19303933333335,19.0,0.068,nan,1,8,1.1
gps_nmea_0001.txt,0,9371,132411.00,290626,26.030536999999995,119.19303916666668,19.1,0.104,nan,1,8,1.1
gps_nmea_0001.txt,0,10398,132412.00,290626,26.030538833333335,119.19303883333332,19.3,0.057,nan,1,8,1.1
gps_nmea_0001.txt,0,11374,132413.00,290626,26.030540333333338,119.19303900000001,19.5,0.044,nan,1,8,1.1
gps_nmea_0001.txt,0,12371,132414.00,290626,26.030541333333336,119.19303933333335,19.6,0.018,nan,1,8,1.1
gps_nmea_0001.txt,0,13447,132415.00,290626,26.030542333333333,119.19303983333333,19.7,0.087,nan,1,8,1.1
gps_nmea_0001.txt,0,14370,132416.00,290626,26.030543833333333,119.19303999999998,20.0,0.151,nan,1,8,1.1
gps_nmea_0001.txt,0,15420,132417.00,290626,26.030545500000002,119.19304016666668,20.1,0.046,nan,1,8,1.1
gps_nmea_0001.txt,0,16372,132418.00,290626,26.030546333333337,119.19304050000001,20.3,0.102,nan,1,8,1.1
gps_nmea_0001.txt,0,17373,132419.00,290626,26.030546833333332,119.19304116666666,20.4,0.065,nan,1,8,1.1
gps_nmea_0001.txt,0,18424,132420.00,290626,26.030547166666665,119.19304183333334,20.5,0.062,nan,1,8,1.1
gps_nmea_0001.txt,0,19371,132421.00,290626,26.030547000000002,119.19304266666668,20.7,0.044,nan,1,8,1.1
gps_nmea_0001.txt,0,20418,132422.00,290626,26.030547000000002,119.19304333333334,20.9,0.076,nan,1,8,1.1
gps_nmea_0001.txt,0,21373,132423.00,290626,26.030547333333335,119.19304383333335,21.0,0.079,nan,1,8,1.1
