item,value,unit,note
file_gps_nmea_0001.txt,355,points,valid GPS points in this log
file_gps_nmea_0002.txt,1101,points,valid GPS points in this log
file_gps_nmea_0003.txt,0,points,valid GPS points in this log
source_folder,offline_esp32_20260629_215118,,
log_files,3,,
usable_log_files,2,,
nmea_count,12311,,
bad_checksum,0,,
valid_points,1456,,
valid_rmc,1456,,
valid_gga,1456,,
duration_s,1595.3539999999998,s,
track_distance_m_raw,1750.3377754788355,m,
mean_speed_mps_raw,1.0971469501307143,m/s,
max_step_m,21.87414697867266,m,
p95_step_m,3.223878129146145,m,
satellites_mean,5.666895604395604,,
satellites_min,3,,
satellites_max,8,,
hdop_mean,2.6760645604395603,,
hdop_min,1.1,,
hdop_max,15.59,,
alt_min_m,-3.6,m,
alt_max_m,49.2,m,
alt_mean_m,16.752403846153847,m,
lat_min,26.0291385,,
lat_max,26.030742499999995,,
lon_min,119.19301766666668,,
lon_max,119.1977485,,
bbox_ns_m,178.35666233751974,m,
bbox_ew_m,472.68346294712916,m,
