# purpose,gyroscope bias and Allan deviation
# sample_hz,50
# duration_s,1800
# sda_gpio,21
# scl_gpio,22
# i2c_freq,400000
# gyro_full_scale,+-250 dps
# accel_full_scale,+-2 g
# dlpf_cfg,3
# wifi,off
# note,keep the board completely still
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
0,-0.034912,0.016357,1.027832,42.798,0.198473,0.916031,-0.076336
20,-0.038818,0.015625,1.020020,42.801,0.297710,0.992366,-0.091603
40,-0.029785,0.013184,1.023438,42.801,0.213740,1.045802,-0.122137
60,-0.036865,0.011230,1.024414,42.792,0.114504,0.916031,-0.083969
80,-0.034424,0.011719,1.025879,42.798,0.244275,0.832061,-0.053435
100,-0.034180,0.011230,1.025635,42.815,0.259542,0.893130,-0.114504
120,-0.035156,0.011475,1.027832,42.809,0.198473,0.908397,-0.022901
140,-0.037842,0.016357,1.018799,42.815,0.122137,1.022901,-0.061069
160,-0.036621,0.014893,1.025879,42.818,0.198473,0.961832,-0.053435
180,-0.034180,0.016357,1.021484,42.824,0.190840,1.045802,-0.206107
200,-0.033203,0.012695,1.031738,42.798,0.236641,1.076336,-0.114504
220,-0.033447,0.017090,1.022705,42.801,0.190840,1.030534,-0.206107
240,-0.032471,0.014404,1.023193,42.821,0.251908,1.061069,-0.045802
260,-0.030762,0.010254,1.025391,42.804,0.236641,0.954198,-0.145038
280,-0.035645,0.012695,1.025635,42.801,0.175573,0.969466,-0.091603
300,-0.034424,0.013184,1.028564,42.798,0.145038,0.900763,-0.015267
320,-0.039063,0.010742,1.027832,42.789,0.145038,0.900763,-0.091603
340,-0.031494,0.016602,1.027100,42.795,0.244275,0.954198,-0.091603
360,-0.031982,0.012451,1.021973,42.804,0.206107,0.931298,0.068702
380,-0.031982,0.009766,1.028320,42.812,0.259542,0.954198,-0.122137
400,-0.033203,0.014404,1.027832,42.792,0.259542,0.969466,-0.175573
420,-0.032471,0.011475,1.026123,42.833,0.145038,0.931298,-0.038168
440,-0.034424,0.010986,1.029785,42.795,0.167939,1.045802,-0.045802
460,-0.033203,0.014648,1.024902,42.812,0.221374,1.068702,-0.076336
480,-0.035889,0.013184,1.024414,42.812,0.175573,0.992366,-0.213740
500,-0.035645,0.011963,1.021729,42.777,0.259542,1.007634,-0.076336
521,-0.033691,0.014648,1.022461,42.792,0.152672,1.053435,-0.114504
541,-0.031738,0.011963,1.022705,42.780,0.137405,1.083969,-0.076336
560,-0.032227,0.009033,1.021973,42.836,0.259542,0.977099,-0.160305
580,-0.035645,0.012451,1.021240,42.795,0.274809,0.847328,-0.030534
600,-0.035889,0.008545,1.025635,42.801,0.167939,1.099237,-0.099237
620,-0.035400,0.012451,1.021729,42.842,0.282443,0.954198,-0.045802
640,-0.036865,0.007324,1.025146,42.798,0.152672,0.923664,-0.190840
660,-0.033691,0.013184,1.029053,42.801,0.152672,0.923664,-0.229008
680,-0.037109,0.015625,1.028320,42.806,0.221374,0.969466,-0.251908
700,-0.035156,0.012695,1.022705,42.812,0.213740,0.961832,-0.076336
720,-0.037354,0.017578,1.028809,42.809,0.259542,0.977099,-0.145038
740,-0.032471,0.012207,1.024170,42.792,0.229008,0.984733,-0.045802
760,-0.036133,0.009766,1.029297,42.812,0.206107,0.984733,-0.106870
780,-0.035400,0.017090,1.028076,42.804,0.251908,0.969466,-0.061069
800,-0.035889,0.016113,1.020752,42.792,0.206107,0.984733,-0.030534
820,-0.035400,0.014160,1.022705,42.809,0.198473,0.938931,-0.099237
840,-0.032471,0.016846,1.023193,42.789,0.129771,0.969466,-0.114504
860,-0.037109,0.013428,1.020996,42.809,0.206107,1.000000,-0.083969
880,-0.033203,0.012207,1.027588,42.815,0.183206,0.916031,0.000000
900,-0.035156,0.015625,1.024902,42.824,0.190840,1.114504,-0.251908
920,-0.035156,0.013916,1.031006,42.812,0.229008,0.969466,-0.183206
940,-0.033447,0.013672,1.026611,42.806,0.244275,0.931298,-0.137405
960,-0.036865,0.012939,1.023682,42.827,0.213740,1.015267,-0.099237
980,-0.035156,0.013672,1.026123,42.806,0.198473,0.984733,-0.114504
1000,-0.033691,0.013184,1.024902,42.812,0.274809,0.893130,-0.114504
1020,-0.036133,0.012207,1.021484,42.812,0.221374,0.893130,-0.099237
1040,-0.033936,0.010254,1.031006,42.786,0.206107,0.984733,-0.129771
1060,-0.038086,0.014648,1.027344,42.818,0.366412,0.938931,0.030534
1080,-0.032471,0.010742,1.021729,42.824,0.236641,1.068702,-0.122137
1100,-0.037354,0.010010,1.025635,42.809,0.244275,1.038168,-0.175573
1121,-0.036865,0.011719,1.025146,42.812,0.091603,0.969466,-0.022901
1141,-0.036865,0.012451,1.026123,42.783,0.251908,0.938931,-0.122137
1161,-0.034180,0.011230,1.024414,42.821,0.274809,0.824428,-0.106870
1180,-0.033203,0.012939,1.027832,42.812,0.221374,0.870229,-0.137405
1200,-0.033691,0.010010,1.021484,42.792,0.221374,0.923664,-0.091603
1220,-0.036865,0.012207,1.022217,42.792,0.099237,0.938931,-0.129771
1240,-0.034668,0.010498,1.024170,42.818,0.160305,1.015267,-0.099237
1260,-0.033691,0.011475,1.023438,42.809,0.244275,0.885496,-0.061069
1280,-0.032959,0.014893,1.024658,42.801,0.213740,0.977099,-0.114504
1300,-0.035156,0.015381,1.023682,42.798,0.282443,0.984733,-0.114504
1320,-0.030762,0.012207,1.025391,42.809,0.312977,1.007634,-0.122137
1340,-0.036621,0.011230,1.020020,42.809,0.244275,1.091603,-0.053435
1360,-0.035645,0.014648,1.027588,42.777,0.229008,0.923664,-0.137405
1380,-0.035889,0.014160,1.030518,42.815,0.175573,1.000000,-0.068702
1400,-0.037598,0.012939,1.022217,42.804,0.267176,0.992366,-0.045802
1420,-0.033447,0.015137,1.024170,42.818,0.198473,0.961832,0.015267
1440,-0.034668,0.011963,1.024170,42.783,0.274809,0.908397,-0.083969
1460,-0.033936,0.012207,1.023193,42.792,0.221374,0.916031,-0.213740
1480,-0.031982,0.013672,1.026611,42.812,0.351145,0.938931,-0.099237
1500,-0.036377,0.012695,1.021729,42.804,0.259542,0.946565,-0.106870
1520,-0.036133,0.013184,1.024902,42.827,0.152672,0.839695,-0.175573
1540,-0.033203,0.014404,1.030029,42.806,0.366412,0.969466,-0.099237
1560,-0.033447,0.015137,1.027344,42.812,0.198473,1.007634,-0.122137
1580,-0.033203,0.011963,1.023438,42.824,0.190840,0.877863,-0.175573
1600,-0.036377,0.013916,1.030762,42.806,0.229008,0.923664,-0.106870
1620,-0.030762,0.012207,1.023193,42.806,0.160305,0.961832,-0.129771
1640,-0.038086,0.015137,1.025146,42.806,0.282443,1.000000,-0.106870
1660,-0.031982,0.012939,1.025879,42.827,0.137405,1.038168,-0.038168
1681,-0.036133,0.015381,1.025635,42.804,0.183206,0.923664,-0.175573
1701,-0.031738,0.012695,1.023926,42.824,0.236641,1.061069,-0.106870
1721,-0.037109,0.016113,1.026367,42.801,0.259542,1.015267,-0.198473
1740,-0.034912,0.017578,1.026367,42.830,0.160305,1.015267,-0.206107
1760,-0.035889,0.011475,1.022705,42.789,0.229008,0.961832,-0.160305
1780,-0.035645,0.012939,1.024414,42.818,0.221374,0.969466,-0.076336
1800,-0.033936,0.012695,1.024170,42.806,0.221374,0.877863,-0.061069
1820,-0.038086,0.012207,1.027588,42.801,0.206107,0.992366,-0.175573
1840,-0.035400,0.010986,1.025391,42.833,0.229008,0.862595,-0.122137
1860,-0.034912,0.010986,1.027832,42.815,0.297710,0.931298,-0.137405
1880,-0.032715,0.017578,1.024658,42.777,0.236641,0.984733,-0.114504
1900,-0.035156,0.013184,1.024902,42.795,0.259542,0.969466,-0.076336
1920,-0.030518,0.010498,1.027588,42.792,0.251908,1.007634,-0.030534
1940,-0.035645,0.011719,1.024658,42.818,0.305344,0.938931,-0.022901
1960,-0.032959,0.016357,1.027344,42.806,0.236641,0.984733,-0.068702
1980,-0.031738,0.011230,1.023682,42.804,0.198473,1.091603,-0.106870
2000,-0.035889,0.013672,1.033203,42.795,0.297710,0.870229,-0.122137
2020,-0.031738,0.014893,1.023682,42.809,0.198473,0.992366,-0.038168
2040,-0.035645,0.011475,1.020020,42.806,0.229008,0.854962,-0.045802
2060,-0.033691,0.016113,1.027588,42.812,0.160305,1.175573,-0.122137
2080,-0.033936,0.009277,1.025146,42.812,0.167939,0.946565,-0.145038
2100,-0.037354,0.010742,1.024414,42.815,0.152672,1.022901,-0.106870
2120,-0.032227,0.009033,1.021973,42.833,0.099237,0.900763,-0.083969
2140,-0.033203,0.013428,1.024902,42.777,0.259542,0.931298,-0.030534
2160,-0.034180,0.017090,1.026367,42.798,0.213740,0.916031,-0.076336
2180,-0.034424,0.015625,1.022949,42.792,0.213740,1.053435,-0.053435
2201,-0.034912,0.011230,1.030762,42.833,0.206107,1.022901,-0.022901
2221,-0.031982,0.015137,1.029297,42.821,0.229008,1.000000,-0.061069
2240,-0.034668,0.012939,1.020996,42.804,0.198473,1.000000,-0.106870
2260,-0.039063,0.006836,1.020752,42.804,0.175573,0.984733,-0.083969
2280,-0.034668,0.013428,1.025879,42.821,0.244275,0.893130,0.030534
2300,-0.031494,0.011475,1.026855,42.815,0.229008,0.900763,-0.213740
2320,-0.033203,0.012451,1.020020,42.789,0.335878,0.961832,-0.045802
2340,-0.032715,0.012207,1.025146,42.804,0.167939,0.992366,-0.045802
2360,-0.037109,0.013916,1.020020,42.789,0.183206,0.900763,-0.152672
2380,-0.036377,0.011230,1.023438,42.798,0.099237,0.824428,-0.083969
2400,-0.032471,0.012939,1.022705,42.815,0.229008,0.984733,-0.183206
2420,-0.034424,0.013184,1.016846,42.771,0.290076,1.030534,-0.137405
2440,-0.035156,0.013428,1.032959,42.786,0.183206,0.954198,-0.137405
2460,-0.034668,0.012939,1.020752,42.821,0.167939,0.969466,-0.175573
2480,-0.039307,0.011230,1.028076,42.789,0.183206,0.885496,-0.068702
2500,-0.034180,0.013916,1.025635,42.798,0.229008,1.053435,-0.145038
2520,-0.033691,0.010742,1.025879,42.789,0.183206,0.946565,-0.106870
2540,-0.035645,0.013672,1.020996,42.804,0.206107,0.969466,-0.076336
2560,-0.040771,0.013428,1.020996,42.795,0.206107,0.938931,-0.183206
2580,-0.037598,0.014893,1.023193,42.827,0.229008,0.992366,-0.137405
2600,-0.038818,0.014648,1.026611,42.809,0.206107,0.946565,-0.091603
2620,-0.035889,0.011475,1.021973,42.771,0.229008,0.893130,-0.030534
2640,-0.035645,0.015137,1.023193,42.783,0.221374,0.977099,-0.213740
2660,-0.035400,0.014160,1.025879,42.804,0.251908,0.862595,-0.030534
2680,-0.034424,0.013184,1.020508,42.777,0.244275,0.916031,-0.106870
2700,-0.035400,0.010986,1.028809,42.801,0.267176,0.900763,-0.015267
