# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
0,-0.121826,0.907959,0.034424
20,-0.051514,1.091064,0.015625
40,-0.125244,0.927002,0.024170
60,-0.077148,1.064941,0.016113
80,-0.098389,0.984619,0.021973
100,-0.094238,1.000244,0.026123
120,-0.079834,1.013916,0.020752
140,-0.099609,0.977539,0.025879
160,-0.083496,1.025879,0.023438
180,-0.100586,0.984863,0.023193
200,-0.087891,1.016113,0.015625
221,-0.086670,1.001709,0.016357
240,-0.087646,1.003906,0.022217
260,-0.092529,1.004150,0.013916
280,-0.094238,1.000244,0.027344
300,-0.088623,1.004395,0.021240
321,-0.092285,1.002686,0.022461
340,-0.088623,1.003906,0.024170
360,-0.092529,1.003906,0.015137
380,-0.092041,1.005615,0.020264
400,-0.093994,1.008301,0.022461
420,-0.090576,1.001709,0.018555
440,-0.092285,1.004639,0.017090
460,-0.095459,1.006348,0.022705
480,-0.086426,1.006592,0.013184
500,-0.092529,1.000732,0.017822
520,-0.090820,1.002197,0.022949
540,-0.090576,1.003662,0.017822
560,-0.093506,1.003174,0.020996
580,-0.091797,1.005127,0.016357
600,-0.093018,1.003906,0.022705
620,-0.091553,1.004639,0.023926
640,-0.090820,1.004639,0.025635
660,-0.092041,1.002686,0.022705
680,-0.092041,1.003174,0.014404
700,-0.091309,1.005615,0.017578
720,-0.092773,1.004639,0.022217
740,-0.090088,1.008301,0.022949
760,-0.093506,1.006592,0.020020
780,-0.088135,1.001221,0.019287
800,-0.090820,1.003174,0.020020
820,-0.089111,1.004395,0.007813
840,-0.090820,1.005859,0.017578
860,-0.092773,1.004395,0.024414
880,-0.091553,1.003906,0.021484
900,-0.091064,1.003662,0.018066
920,-0.092285,1.003906,0.019775
940,-0.091309,1.005615,0.020752
960,-0.090332,1.003906,0.019287
980,-0.086670,1.003662,0.016846
1000,-0.092529,1.001953,0.017822
1020,-0.092529,1.009033,0.020264
1040,-0.089844,1.004395,0.020508
1060,-0.093262,1.004150,0.022461
1080,-0.090820,1.004395,0.022705
1100,-0.087402,1.002686,0.020508
1120,-0.091797,1.004395,0.024414
1140,-0.094727,1.002441,0.028564
1160,-0.089111,1.003174,0.018066
1180,-0.098145,1.005615,0.021240
1200,-0.089844,1.010986,0.018066
