# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100688.984
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
321,24.790,100692.875,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
370,24.800,100695.766,-0.5707,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
406,24.790,100693.234,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
606,24.800,100690.500,-0.1268,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
810,24.810,100693.445,-0.3752,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
1016,24.820,100690.539,-0.1321,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
1216,24.830,100693.242,-0.3593,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
1416,24.820,100691.906,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
1616,24.840,100696.008,-0.5866,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
1811,24.830,100691.469,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
2016,24.830,100693.758,-0.4016,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
2216,24.830,100693.758,-0.4016,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
2416,24.840,100691.766,-0.2325,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
2616,24.840,100692.828,-0.3224,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
2810,24.840,100693.633,-0.3911,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
3016,24.850,100692.813,-0.3224,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
3216,24.850,100692.906,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
3416,24.850,100689.281,-0.0264,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
3616,24.850,100689.797,-0.0687,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
3811,24.870,100693.797,-0.4016,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
4016,24.870,100692.945,-0.3329,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
4216,24.870,100692.375,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
4416,24.870,100695.023,-0.5073,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
4616,24.880,100694.656,-0.4756,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
4811,24.870,100693.609,-0.3858,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
5016,24.880,100696.836,-0.6553,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
5216,24.890,100694.242,-0.4386,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
5416,24.900,100695.219,-0.5232,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
5616,24.890,100691.063,-0.1744,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
5810,24.890,100691.172,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
6016,24.900,100692.375,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
6216,24.900,100691.852,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
6416,24.910,100696.047,-0.5919,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
6616,24.920,100693.016,-0.3382,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
6810,24.940,100694.156,-0.4333,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
7016,24.930,100692.891,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
7216,24.940,100692.625,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
7416,24.930,100692.359,-0.2801,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
7616,24.930,100693.281,-0.3593,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
7811,24.930,100693.531,-0.3805,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
8016,24.940,100692.563,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
8216,24.940,100693.156,-0.3488,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
8416,24.940,100693.156,-0.3488,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
8616,24.940,100693.930,-0.4122,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
8811,24.940,100694.453,-0.4598,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
9016,24.940,100693.227,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
9216,24.940,100692.758,-0.3171,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
9416,24.940,100692.453,-0.2907,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
9616,24.940,100693.336,-0.3646,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
9811,24.930,100693.594,-0.3858,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
10006,24.940,100695.406,-0.5390,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
10206,24.930,100689.883,-0.0740,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
10406,24.940,100694.219,-0.4386,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
10606,24.930,100695.000,-0.5020,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
10811,24.930,100693.281,-0.3593,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
11016,24.920,100691.789,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
11216,24.930,100694.313,-0.4439,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
11416,24.930,100695.000,-0.5020,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
11616,24.940,100693.625,-0.3911,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
11812,24.930,100689.352,-0.0317,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
12006,24.940,100692.625,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
12206,24.940,100693.047,-0.3382,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
12406,24.930,100692.000,-0.2537,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
12606,24.940,100689.453,-0.0370,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
12810,24.940,100691.391,-0.2008,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
13016,24.940,100692.453,-0.2907,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
13216,24.940,100691.633,-0.2220,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
13416,24.940,100691.219,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
13616,24.930,100690.406,-0.1163,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
13812,24.940,100689.914,-0.0793,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
14016,24.940,100692.406,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
14216,24.960,100698.977,-0.8350,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
14416,24.940,100690.922,-0.1638,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
14616,24.940,100689.797,-0.0687,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
14812,24.940,100692.578,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
15006,24.950,100693.391,-0.3699,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
15206,24.950,100693.211,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
15406,24.950,100692.391,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
15606,24.950,100692.953,-0.3329,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
15811,24.950,100691.539,-0.2167,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
16016,24.960,100690.898,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
16216,24.960,100690.141,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
16416,24.950,100691.539,-0.2167,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
16616,24.960,100691.250,-0.1902,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
16811,24.960,100690.078,-0.0898,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
17006,24.960,100690.719,-0.1427,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
17206,24.950,100690.453,-0.1215,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
17406,24.960,100689.375,-0.0317,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
17606,24.960,100691.672,-0.2272,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
17810,24.960,100689.203,-0.0159,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
18016,24.960,100690.328,-0.1110,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
18216,24.960,100692.617,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
18416,24.960,100691.492,-0.2114,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
18616,24.960,100694.031,-0.4228,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
18810,24.960,100693.180,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
19016,24.960,100692.438,-0.2907,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
19216,24.970,100694.016,-0.4228,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
19416,24.960,100689.547,-0.0476,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
19616,24.960,100690.141,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
19810,24.960,100691.313,-0.1955,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
20006,24.960,100690.898,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
20206,24.960,100692.266,-0.2748,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
20416,24.950,100692.031,-0.2537,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
20616,24.950,100692.266,-0.2748,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
20810,24.940,100689.563,-0.0476,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
21016,24.930,100690.172,-0.1004,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
21216,24.930,100692.547,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
21416,24.920,100687.469,0.1268,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
21616,24.920,100691.891,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
21810,24.930,100690.422,-0.1215,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22016,24.920,100692.656,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22216,24.920,100691.609,-0.2220,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22416,24.920,100689.000,0.0000,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22616,24.910,100691.195,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22810,24.910,100690.922,-0.1638,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23006,24.910,100690.313,-0.1110,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23206,24.910,100688.828,0.0132,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23406,24.930,100692.898,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23606,24.930,100690.250,-0.1057,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23810,24.920,100691.109,-0.1797,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24016,24.930,100691.875,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24216,24.930,100692.711,-0.3118,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24416,24.930,100694.125,-0.4280,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
