# purpose,attitude fusion experiment
# label,shake_return_level
# sample_hz,50
# duration_s,90
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
0,shake_return_level,0.546387,0.061035,0.784424,43.695,1.473282,2.992366,1.870229,224,-61,391
21,shake_return_level,0.614014,0.060303,0.778809,43.701,-0.045802,1.755725,-0.106870,223,-60,392
40,shake_return_level,0.640137,0.060303,0.804688,43.706,0.236641,0.900763,-0.183206,223,-60,392
60,shake_return_level,0.630615,0.050781,0.794678,43.686,0.175573,1.106870,-0.053435,223,-60,392
81,shake_return_level,0.640381,0.054443,0.804688,43.715,0.328244,0.854962,-0.083969,223,-60,392
100,shake_return_level,0.637695,0.052490,0.791748,43.683,0.175573,0.961832,-0.068702,223,-60,392
120,shake_return_level,0.637939,0.050049,0.803223,43.709,0.183206,1.007634,-0.045802,223,-60,392
141,shake_return_level,0.635254,0.049072,0.807373,43.695,0.274809,1.000000,-0.053435,223,-60,392
160,shake_return_level,0.634766,0.050781,0.791992,43.683,0.221374,1.030534,-0.068702,224,-62,393
180,shake_return_level,0.636230,0.051025,0.800293,43.704,0.297710,0.885496,-0.045802,224,-62,393
201,shake_return_level,0.642334,0.058105,0.802734,43.671,0.251908,0.885496,-0.152672,224,-62,393
220,shake_return_level,0.637695,0.051758,0.795410,43.677,0.167939,0.893130,-0.045802,224,-61,393
240,shake_return_level,0.633545,0.053955,0.791748,43.683,0.145038,1.015267,-0.122137,224,-61,393
261,shake_return_level,0.632813,0.047607,0.802734,43.730,0.282443,1.038168,-0.160305,224,-61,393
280,shake_return_level,0.637207,0.055664,0.800049,43.695,0.305344,1.000000,-0.221374,224,-61,393
300,shake_return_level,0.646240,0.108154,0.852539,43.671,-0.137405,1.129771,-0.229008,223,-61,393
320,shake_return_level,0.595703,0.096680,0.785889,43.665,-0.809160,6.343512,-1.748092,223,-61,393
340,shake_return_level,0.635498,0.054688,0.798096,43.674,0.259542,1.030534,-0.129771,223,-61,393
360,shake_return_level,0.632813,0.056152,0.800537,43.715,0.335878,1.068702,-0.061069,223,-60,392
380,shake_return_level,0.635498,0.052979,0.807617,43.718,0.320611,0.824428,-0.022901,223,-60,392
400,shake_return_level,0.632813,0.041748,0.788330,43.680,0.145038,1.022901,-0.167939,223,-60,392
420,shake_return_level,0.639404,0.053955,0.795166,43.686,0.221374,0.854962,-0.076336,223,-60,392
440,shake_return_level,0.640137,0.058350,0.801270,43.686,0.290076,1.038168,-0.038168,223,-61,391
460,shake_return_level,0.645264,0.062744,0.801514,43.721,-0.251908,1.206107,-0.183206,223,-61,391
480,shake_return_level,0.578857,0.051758,0.876465,43.680,-2.374046,7.160306,-2.022901,223,-61,391
500,shake_return_level,0.624268,0.050781,0.880615,43.692,-2.954198,27.114504,-4.122138,224,-58,392
520,shake_return_level,0.581787,0.091309,0.842285,43.680,-3.702290,37.038166,-2.381679,224,-58,392
540,shake_return_level,0.602295,0.063477,0.885010,43.689,-4.076336,43.282444,1.625954,224,-58,392
560,shake_return_level,0.578125,-0.010254,0.802246,43.656,-2.160305,36.053436,0.572519,225,-39,389
580,shake_return_level,0.610840,0.129150,0.810791,43.674,-3.267176,20.854961,3.236641,225,-39,389
600,shake_return_level,0.474609,0.079590,0.862793,43.739,-18.717558,-1.564886,-5.786260,225,-39,389
620,shake_return_level,0.585449,0.030273,0.833496,43.704,-23.091602,-10.091603,-9.229008,225,-39,389
640,shake_return_level,0.595703,0.024414,0.823486,43.683,-23.893129,-7.847328,-11.603053,231,-38,386
660,shake_return_level,0.622070,0.109131,0.887451,43.686,-27.725191,-2.374046,-16.908398,231,-38,386
680,shake_return_level,0.596436,0.032471,0.836670,43.695,-34.740459,2.740458,-17.595419,231,-38,386
700,shake_return_level,0.590820,0.056152,0.855225,43.712,-38.648853,0.877863,-18.213741,248,-42,382
720,shake_return_level,0.584961,-0.076172,0.782227,43.671,-33.458015,-6.839694,-11.221375,248,-42,382
740,shake_return_level,0.556885,-0.050049,0.788086,43.686,-21.534351,-17.114504,-6.610687,248,-42,382
760,shake_return_level,0.547852,-0.031982,0.806152,43.689,-12.793893,-25.351145,-6.030534,261,-50,376
780,shake_return_level,0.566162,-0.028076,0.779785,43.712,-7.687023,-35.404579,-6.068702,261,-50,376
800,shake_return_level,0.584961,0.046875,0.760742,43.721,-4.343512,-53.259541,-8.465649,261,-50,376
820,shake_return_level,0.670410,0.030273,0.812988,43.692,-4.618320,-71.496185,-16.129770,261,-50,376
840,shake_return_level,0.770752,-0.025391,0.895508,43.665,0.694656,-64.435112,-22.305344,264,-77,375
860,shake_return_level,0.758789,0.050049,0.879150,43.683,4.221374,-46.679390,-27.320610,264,-77,375
880,shake_return_level,0.736572,0.050781,0.856445,43.683,2.473282,-31.954199,-32.832062,264,-77,375
900,shake_return_level,0.654785,0.038818,0.770508,43.677,3.419847,-30.290077,-38.580154,265,-106,377
920,shake_return_level,0.666992,-0.002930,0.816406,43.704,-0.603053,-48.671757,-36.381680,265,-106,377
940,shake_return_level,0.708740,0.008545,0.819824,43.671,1.870229,-52.129772,-27.900763,265,-106,377
960,shake_return_level,0.756348,0.066162,0.828369,43.701,7.694656,-43.755726,-22.122137,262,-135,373
980,shake_return_level,0.787598,0.065186,0.851074,43.709,9.824428,-27.809160,-18.740458,262,-135,373
1000,shake_return_level,0.792725,0.045654,0.796875,43.668,14.931297,-5.755725,-14.801527,262,-135,373
1020,shake_return_level,0.750000,0.118164,0.763184,43.677,20.374046,7.396946,-14.473283,262,-135,373
1040,shake_return_level,0.723389,0.169678,0.753418,43.680,16.870230,6.328244,-23.198473,253,-145,375
1060,shake_return_level,0.694824,0.150635,0.713623,43.683,10.198473,-0.778626,-33.305344,253,-145,375
1080,shake_return_level,0.647217,0.162354,0.652100,43.698,8.053435,-10.671756,-40.290077,253,-145,375
1101,shake_return_level,0.630859,0.159668,0.649414,43.689,1.938931,-24.709923,-48.145039,248,-154,377
1120,shake_return_level,0.621094,0.145996,0.640381,43.701,-6.603054,-35.725189,-52.572517,248,-154,377
1141,shake_return_level,0.636963,0.152832,0.652100,43.692,-14.511451,-47.618320,-56.381680,248,-154,377
1160,shake_return_level,0.685303,0.095215,0.678711,43.689,-18.259542,-50.641220,-55.282444,247,-186,368
1180,shake_return_level,0.739990,0.004883,0.653564,43.674,-11.977099,-45.038166,-42.297710,247,-186,368
1200,shake_return_level,0.782959,0.028564,0.657227,43.704,9.343512,-35.206108,-25.900763,247,-186,368
1220,shake_return_level,0.819092,0.083496,0.653076,43.680,26.053434,-22.351145,-13.167939,247,-186,368
1240,shake_return_level,0.814697,0.197266,0.641113,43.701,31.251909,-8.702291,-8.839695,242,-209,364
1260,shake_return_level,0.780518,0.233887,0.519287,43.680,23.320610,-2.633588,-13.007633,242,-209,364
1280,shake_return_level,0.666748,0.258789,0.374756,43.721,9.832061,-19.267176,-14.297709,242,-209,364
1300,shake_return_level,0.660400,0.213623,0.310303,43.704,0.473282,-65.862595,-13.343512,230,-220,363
1320,shake_return_level,0.750244,0.189941,0.335938,43.706,1.175573,-103.801529,-7.694656,230,-220,363
1340,shake_return_level,0.802246,0.224121,0.367432,43.704,0.152672,-120.938934,2.900763,230,-220,363
1360,shake_return_level,0.833252,0.239014,0.369385,43.668,-9.435115,-119.381676,11.267176,230,-271,363
1380,shake_return_level,0.842041,0.226074,0.357666,43.715,-17.221375,-110.977097,17.671755,230,-271,344
1400,shake_return_level,0.847412,0.212646,0.362061,43.706,-18.129770,-106.549622,18.496183,230,-271,344
1420,shake_return_level,0.845215,0.164063,0.321045,43.677,-17.122137,-106.412216,20.511450,230,-271,344
1441,shake_return_level,0.922119,0.084229,0.348877,43.683,-12.083969,-109.175575,25.442749,239,-314,316
1460,shake_return_level,0.958496,0.105713,0.333496,43.701,-4.557252,-103.396950,31.244274,239,-314,316
1480,shake_return_level,0.964111,0.154053,0.320068,43.677,-6.030534,-98.694656,32.045803,239,-314,316
1500,shake_return_level,1.010010,0.089600,0.310303,43.689,-6.549618,-92.717560,32.083969,249,-349,289
1520,shake_return_level,1.011963,0.109131,0.288574,43.692,-1.625954,-82.977097,32.809162,249,-349,289
1540,shake_return_level,1.052979,0.070801,0.227051,43.709,4.648855,-74.816795,33.022900,249,-349,289
