t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
2414403,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,-2.14,-75.38,0.0,0.0,0.0,0.0,0,0,0
2414603,0,0,0,99.0,26.0307045,119.19301605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,-2.14,-75.33,0.0,0.0,0.0,0.0,0,0,2
2414837,1,1,11,0.81,26.0307045,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,0.0,0.0,0.0,0.0,0.0,1.07,-2.15,-75.29,0.0,0.624,0.624,0.0,1,0,5
2415045,1,1,11,0.81,26.0307045,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.07,-2.17,-75.3,0.0,0.5,0.5,0.0,1,0,9
2415256,1,1,11,0.81,26.0307045,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.09,-2.18,-75.31,0.0,0.5,0.5,94.81,1,0,9
2415468,1,1,11,0.81,26.0307045,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,-0.0,0.0,1.08,-2.21,-75.26,0.0,0.5,0.5,94.81,1,0,9
2415670,1,1,11,0.81,26.0307045,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.08,-2.22,-75.24,0.0,0.5,0.5,94.81,2,0,12
2415878,1,1,11,0.81,26.0307045,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.07,-2.22,-75.25,0.0,0.5,0.5,94.81,2,0,15
2416086,1,1,11,0.81,26.0307045,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,-0.0,0.0,1.09,-2.22,-75.21,0.0,0.5,0.5,94.81,2,0,18
2416290,1,1,11,0.81,26.0307045,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.1,-2.23,-75.2,0.0,0.5,0.5,80.92,2,0,18
2416498,1,1,11,0.81,26.0307045,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,0.0,0.0,0.0,0.0,0.0,1.09,-2.22,-75.2,0.0,0.5,0.5,80.92,2,0,18
2416713,1,1,11,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.08,-2.22,-75.19,0.425,0.5,0.5,80.92,3,0,22
2416921,1,1,11,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.09,-2.24,-75.2,0.425,0.5,0.5,80.92,3,0,25
2417133,1,1,11,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.08,-2.24,-75.21,0.425,0.5,0.5,80.92,3,0,27
2417335,1,1,11,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,-0.0,1.1,-2.22,-75.21,0.425,0.5,0.5,83.74,3,0,27
2417550,1,1,11,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,-0.0,0.0,1.1,-2.23,-75.2,0.425,0.5,0.5,83.74,3,0,28
2417753,1,1,10,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,-0.0,0.001,1.09,-2.24,-75.24,0.425,0.5,0.5,83.74,4,0,31
2417960,1,1,10,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.001,-0.0,1.11,-2.2,-75.22,0.425,0.5,0.5,83.74,4,0,34
2418170,1,1,10,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.11,-2.2,-75.23,0.425,0.5,0.5,83.74,4,0,36
2418375,1,1,10,0.81,26.03070068,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.11,-2.22,-75.22,0.425,0.5,0.5,84.92,4,0,36
2418591,1,1,10,0.81,26.03069305,119.19301605,55.9,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,-0.0,1.12,-2.24,-75.21,0.425,0.5,0.5,84.92,4,0,38
2418803,1,1,10,0.81,26.03069305,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.001,0.0,0.0,0.0,-0.0,1.12,-2.23,-75.2,1.274,0.5,0.5,84.92,5,0,41
2419012,1,1,10,0.81,26.03069305,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.11,-2.23,-75.19,1.274,0.5,0.5,84.92,5,0,44
2419215,1,1,10,0.81,26.03069305,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.11,-2.22,-75.2,1.274,0.5,0.5,84.92,5,0,45
2419420,1,1,10,0.81,26.03069305,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.1,-2.23,-75.2,1.274,0.5,0.5,81.59,5,0,45
2419629,1,1,10,0.81,26.03068924,119.19301605,55.7,26.0307045,119.19301605,55.7,0.0,-0.0,-0.0,-0.0,0.0,-0.001,1.1,-2.23,-75.2,1.274,0.5,0.5,81.59,5,0,47
2419843,1,1,10,0.81,26.03068924,119.19301605,55.5,26.0307045,119.19301605,55.7,0.0,-0.001,-0.0,-0.0,-0.0,-0.0,1.08,-2.23,-75.18,1.699,0.5,0.5,81.59,6,0,51
2420050,1,1,10,0.81,26.03068924,119.19301605,55.5,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,0.0,0.0,1.08,-2.22,-75.2,1.699,0.5,0.5,81.59,6,0,54
2420261,1,1,10,0.81,26.03068924,119.19301605,55.5,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,0.0,0.0,1.09,-2.21,-75.21,1.699,0.5,0.5,85.13,6,0,54
2420473,1,1,10,0.81,26.03068924,119.19301605,55.5,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.1,-2.21,-75.21,1.699,0.5,0.5,85.13,6,0,54
2420713,1,1,10,0.81,26.0306797,119.19304657,55.3,26.0307045,119.19301605,55.7,0.003,-0.003,-0.0,0.0,-0.0,0.0,1.11,-2.24,-75.21,4.115,0.5,0.5,85.13,7,0,58
2420915,1,1,10,0.81,26.0306797,119.19304657,55.3,26.0307045,119.19301605,55.7,0.001,-0.001,0.0,0.0,0.0,0.0,1.13,-2.22,-75.2,4.115,0.5,0.5,85.13,7,0,61
2421123,1,1,10,0.81,26.0306797,119.19304657,55.3,26.0307045,119.19301605,55.7,0.001,-0.0,0.0,0.0,-0.0,-0.001,1.13,-2.23,-75.2,4.115,0.5,0.5,85.13,7,0,63
2421326,1,1,10,0.81,26.0306797,119.19304657,55.3,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.14,-2.23,-75.2,4.115,0.5,0.5,86.83,7,0,63
2421538,1,1,10,0.81,26.03067589,119.19304657,55.3,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.12,-2.22,-75.2,4.115,0.5,0.5,86.83,7,0,64
2421749,1,1,10,0.81,26.03067589,119.19304657,55.1,26.0307045,119.19301605,55.7,0.003,-0.003,-0.0,0.0,0.0,-0.0,1.13,-2.24,-75.22,4.411,0.5,0.5,86.83,8,0,67
2421967,1,1,10,0.81,26.03067589,119.19304657,55.1,26.0307045,119.19301605,55.7,0.001,-0.001,-0.0,-0.0,0.0,-0.0,1.12,-2.22,-75.21,4.411,0.5,0.5,86.83,8,0,70
2422170,1,1,10,0.81,26.03067589,119.19304657,55.1,26.0307045,119.19301605,55.7,0.001,-0.0,-0.0,0.0,0.0,-0.0,1.12,-2.21,-75.21,4.411,0.5,0.5,86.83,8,0,72
2422376,1,1,10,0.81,26.03067589,119.19304657,55.1,26.0307045,119.19301605,55.7,0.0,-0.0,0.0,0.0,0.0,-0.0,1.11,-2.19,-75.22,4.411,0.5,0.5,80.52,8,0,72
