t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,acc_norm_g,acc_norm_error_mg
0.0,-0.065186,0.009521,1.015869,43.871,0.305344,1.053435,-0.160305,1.01800279,18.0028
20.0,-0.057373,0.010254,1.021973,43.859,0.335878,1.015267,-0.083969,1.02363354,23.6335
40.0,-0.059082,0.010498,1.019043,43.871,0.21374,0.862595,-0.152672,1.02080827,20.8083
60.0,-0.06543,0.007813,1.022217,43.889,0.183206,0.992366,-0.137405,1.02433868,24.3387
80.0,-0.062256,0.009766,1.025879,43.865,0.320611,0.923664,-0.198473,1.02781268,27.8127
100.0,-0.063721,0.011963,1.020264,43.886,0.167939,0.961832,-0.282443,1.02232192,22.3219
120.0,-0.063721,0.007568,1.02417,43.883,0.19084,0.908397,-0.007634,1.02617826,26.1783
140.0,-0.062012,0.003906,1.016846,43.883,0.229008,1.099237,-0.030534,1.01874262,18.7426
160.0,-0.063477,0.006836,1.023682,43.883,0.251908,0.977099,-0.038168,1.02567095,25.6709
180.0,-0.064453,0.008301,1.024414,43.892,0.259542,1.038168,-0.114504,1.02647316,26.4732
200.0,-0.065186,0.011963,1.024414,43.854,0.160305,1.137405,-0.091603,1.02655559,26.5556
220.0,-0.059082,0.011963,1.025635,43.871,0.167939,0.961832,-0.114504,1.02740496,27.4050
240.0,-0.0625,0.005371,1.022705,43.845,0.274809,0.977099,-0.221374,1.02462706,24.6271
260.0,-0.066162,0.010254,1.024902,43.886,0.244275,0.916031,-0.221374,1.02708649,27.0865
280.0,-0.062744,0.007568,1.025146,43.862,0.267176,0.961832,-0.122137,1.02709221,27.0922
300.0,-0.064453,0.004883,1.019287,43.88,0.061069,0.961832,-0.091603,1.02133443,21.3344
321.0,-0.068115,0.007568,1.024414,43.862,0.366412,0.961832,-0.099237,1.02670394,26.7039
340.0,-0.064453,0.00708,1.0271,43.856,0.198473,0.908397,-0.061069,1.02914466,29.1447
360.0,-0.062744,0.008057,1.019043,43.865,0.305344,0.931298,-0.045802,1.02100458,21.0046
380.0,-0.067139,0.01001,1.026367,43.842,0.343511,0.954198,-0.282443,1.02860929,28.6093
400.0,-0.06543,0.005371,1.019287,43.854,0.19084,1.007634,-0.114504,1.02139900,21.3990
420.0,-0.062256,0.01001,1.02417,43.892,0.267176,0.854962,-0.091603,1.02610925,26.1093
