source_file,mag_ellipsoid_20260616_203040.csv
t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal
0,63,-300,294,-18.785266,-204.294453,338.362529
50,78,-258,317,-3.576533,-163.468432,361.113049
100,103,-243,324,21.711747,-148.744810,367.815045
150,103,-243,324,21.711747,-148.744810,367.815045
201,103,-227,330,21.759237,-133.199470,373.732559
250,98,-225,331,16.711340,-131.292029,374.774510
300,98,-238,327,16.664286,-143.932208,370.855073
350,98,-238,327,16.664286,-143.932208,370.855073
400,92,-250,321,10.581491,-155.614358,364.951789
450,77,-267,314,-4.617158,-172.223393,358.174930
500,63,-287,303,-18.786603,-191.709073,347.359358
550,63,-287,303,-18.786603,-191.709073,347.359358
600,59,-306,291,-22.836946,-210.142125,335.420565
650,70,-330,275,-11.727323,-233.310845,319.329483
700,84,-369,243,2.469039,-270.919820,287.126106
751,84,-369,243,2.469039,-270.919820,287.126106
800,90,-403,210,8.625805,-303.692146,253.929878
850,88,-428,177,6.759687,-327.736009,220.712437
900,86,-440,164,4.785770,-339.315050,207.662090
950,86,-440,164,4.785770,-339.315050,207.662090
1000,81,-446,155,-0.218124,-345.103561,198.636933
1050,74,-453,142,-7.210467,-351.837121,185.580179
1100,69,-458,129,-12.169050,-356.606099,172.482148
1150,69,-458,129,-12.169050,-356.606099,172.482148
1200,66,-461,126,-15.190656,-359.520093,169.497626
1250,61,-463,119,-20.187516,-361.427749,162.459587
1300,58,-468,112,-23.183603,-366.249291,155.435071
1350,58,-468,112,-23.183603,-366.249291,155.435071
1400,56,-468,110,-25.184812,-366.240566,153.423471
1450,58,-469,110,-23.170844,-367.203065,153.415074
1500,58,-469,110,-23.170844,-367.203065,153.415074
1550,61,-469,108,-20.120640,-367.161353,151.355082
1600,65,-469,110,-16.098865,-367.156882,153.347326
1650,72,-467,117,-9.081440,-365.236032,160.366009
1700,72,-467,117,-9.081440,-365.236032,160.366009
1750,75,-464,120,-6.059834,-362.322038,163.350530
1800,76,-461,127,-5.097507,-359.465078,170.416322
1850,73,-451,143,-8.217233,-349.903291,186.583416
1901,73,-451,143,-8.217233,-349.903291,186.583416
1950,67,-444,153,-14.329530,-343.222618,196.719552
2000,60,-439,162,-21.455626,-338.488970,205.871808
2050,57,-432,172,-24.537074,-331.788505,215.978910
2100,57,-432,172,-24.537074,-331.788505,215.978910
2150,54,-420,186,-27.624249,-320.253411,230.093127
2200,57,-408,200,-24.649728,-308.678732,244.149274
2250,61,-396,215,-20.674602,-297.108415,259.211222
2300,61,-396,215,-20.674602,-297.108415,259.211222
2350,60,-386,225,-21.715693,-287.467674,269.266088
2400,65,-382,228,-16.666924,-283.564791,272.220293
2450,70,-384,227,-11.619028,-285.472232,271.178342
2500,70,-384,227,-11.619028,-285.472232,271.178342
2550,75,-381,230,-6.576857,-282.545043,274.143507
2600,83,-380,231,1.502324,-281.527530,275.070600
2650,92,-380,232,10.585190,-281.479112,275.998974
2700,92,-380,232,10.585190,-281.479112,275.998974
2750,96,-378,233,14.629837,-279.512295,276.953820
2800,96,-375,236,14.620594,-276.618094,279.967376
2850,97,-379,234,15.623844,-280.492351,277.970580
2900,97,-379,234,15.623844,-280.492351,277.970580
2950,107,-399,210,25.827000,-299.677215,253.721508
3000,117,-425,179,36.058320,-324.639521,222.429845
3050,122,-435,162,41.208290,-334.177154,205.227916
3100,122,-435,162,41.208290,-334.177154,205.227916
3150,121,-442,153,40.238929,-340.914969,196.175006
3201,120,-448,143,39.285845,-346.666130,186.095657
3250,117,-456,128,36.347391,-354.327074,170.980192
3300,117,-456,128,36.347391,-354.327074,170.980192
3350,118,-469,103,37.513864,-366.730499,145.726027
3400,119,-484,68,38.763925,-380.975713,110.338997
3450,121,-495,26,41.118406,-391.234836,67.790098
3500,121,-495,26,41.118406,-391.234836,67.790098
3550,117,-502,-8,37.360154,-397.718447,33.379258
3600,111,-507,-45,31.623567,-402.230987,-4.080580
3650,102,-508,-74,22.805096,-402.948222,-33.431394
3700,102,-508,-74,22.805096,-402.948222,-33.431394
3750,95,-507,-95,15.942958,-401.788554,-54.699656
3800,90,-507,-103,10.968971,-401.733863,-62.775093
3850,90,-507,-104,10.978650,-401.722903,-63.790572
3900,90,-507,-104,10.978650,-401.722903,-63.790572
3950,87,-507,-106,7.967158,-401.720776,-65.792494
4000,81,-506,-104,1.892703,-400.806587,-63.714427
4050,78,-508,-94,-1.248123,-402.887365,-53.508687
4100,78,-508,-94,-1.248123,-402.887365,-53.508687
4150,71,-507,-86,-8.390930,-402.045532,-45.328070
4200,68,-507,-86,-11.421778,-402.065324,-45.299036
4250,68,-507,-86,-11.421778,-402.065324,-45.299036
4300,67,-507,-88,-12.412704,-402.050002,-47.320314
4350,69,-507,-91,-10.363104,-402.003927,-50.386107
4400,72,-507,-96,-7.283865,-401.929336,-55.492534
4451,72,-507,-96,-7.283865,-401.929336,-55.492534
4500,71,-507,-100,-8.255434,-401.892094,-59.544770
4550,71,-507,-96,-8.294147,-401.935933,-55.482856
4600,71,-508,-90,-8.358815,-402.977386,-49.379025
4650,71,-508,-90,-8.358815,-402.977386,-49.379025
4700,73,-508,-80,-6.435032,-403.073789,-39.243596
4750,76,-508,-60,-3.597749,-403.273194,-18.963059
4800,78,-505,-32,-1.828383,-400.639793,9.418105
4850,78,-505,-32,-1.828383,-400.639793,9.418105
4900,77,-503,-8,-3.057750,-398.958039,33.777349
4950,74,-499,13,-6.265452,-395.305213,55.087595
5000,75,-490,44,-5.495819,-386.857127,86.459114
5050,75,-490,44,-5.495819,-386.857127,86.459114
5100,75,-476,86,-5.809942,-373.657728,128.955776
5150,74,-460,123,-7.072762,-358.458740,166.362805
5200,76,-449,142,-5.163512,-347.921151,185.516983
5250,76,-449,142,-5.163512,-347.921151,185.516983
5300,82,-437,161,0.793466,-336.381479,204.621488
5351,83,-417,188,1.674384,-317.156923,231.810535
5400,80,-387,224,-1.506958,-288.300459,268.068003
5450,80,-387,224,-1.506958,-288.300459,268.068003
5500,64,-345,261,-17.752485,-247.832397,305.335250
5550,48,-309,286,-33.921456,-213.086979,330.482513
5600,40,-292,295,-41.978666,-196.651604,339.512929
5650,40,-292,295,-41.978666,-196.651604,339.512929
5700,44,-286,300,-37.946342,-190.825852,344.485850
5750,58,-274,309,-23.810320,-179.123802,353.358144
5800,73,-258,317,-8.627947,-163.501420,361.161441
5850,73,-258,317,-8.627947,-163.501420,361.161441
5900,87,-250,320,5.539756,-155.636385,363.984702
5950,88,-232,328,6.591366,-138.154980,371.901575
6000,77,-207,337,-4.443912,-113.933848,380.873348
6050,77,-207,337,-4.443912,-113.933848,380.873348
6100,61,-180,344,-20.498052,-87.772397,387.840635
6150,42,-156,349,-39.583475,-64.535899,392.838879
6200,17,-124,351,-64.648780,-33.500557,394.761079
6250,17,-124,351,-64.648780,-33.500557,394.761079
6300,-14,-89,351,-95.736632,0.444202,394.677511
6350,-37,-68,344,-118.766840,20.858747,387.561605
6400,-62,-43,336,-143.781544,45.173831,379.405738
6450,-62,-43,336,-143.781544,45.173831,379.405738
6500,-92,-20,324,-173.822144,67.548381,367.258267
6550,-121,-6,306,-202.853768,81.214044,349.106885
6601,-142,-3,293,-223.924094,84.145056,336.076028
6650,-142,-3,293,-223.924094,84.145056,336.076028
6700,-155,-11,286,-237.042800,76.330459,329.181174
6750,-165,-22,281,-247.169808,65.586653,324.321122
6800,-170,-25,276,-252.192622,62.681384,319.325000
6850,-170,-25,276,-252.192622,62.681384,319.325000
6900,-193,-10,255,-275.126918,77.395204,298.058153
6950,-223,10,223,-304.993744,97.061869,265.633990
7000,-223,12,223,-304.980549,99.013256,265.612071
7050,-242,12,202,-323.972676,99.118061,244.470908
7100,-245,5,198,-327.010993,92.312253,240.514747
7150,-246,1,198,-328.047666,88.402880,240.568265
7200,-246,1,198,-328.047666,88.402880,240.568265
7250,-243,-1,203,-325.078404,86.416486,245.638543
7300,-244,-3,201,-326.082525,84.480421,243.639183
7350,-249,-7,196,-331.111937,80.599458,238.654021
7400,-249,-7,196,-331.111937,80.599458,238.654021
7450,-258,-11,184,-340.114731,76.768824,226.599222
7501,-271,-8,162,-353.015692,79.851255,204.351632
7550,-274,-6,158,-355.994632,81.826689,200.296833
7600,-274,-6,158,-355.994632,81.826689,200.296833
7650,-277,-7,154,-358.993364,80.875043,196.274913
7700,-279,-10,149,-360.985330,77.989566,191.249756
7750,-281,-13,146,-362.996653,75.082169,188.255556
7800,-281,-13,146,-362.996653,75.082169,188.255556
7850,-287,-17,139,-369.016991,71.216529,181.249115
7900,-289,-24,134,-371.035347,64.428277,176.267798
7950,-292,-27,129,-374.037596,61.536203,171.252319
8000,-292,-27,129,-374.037596,61.536203,171.252319
8050,-297,-27,123,-379.030940,61.568975,165.207839
8100,-301,-26,111,-382.949334,62.649797,153.049850
8150,-308,-23,95,-389.846668,65.706053,136.837061
8200,-308,-23,95,-389.846668,65.706053,136.837061
8250,-317,-26,79,-398.804152,62.894952,120.709388
8300,-322,-29,58,-403.672113,60.165040,99.465609
8350,-326,-40,51,-407.718068,49.482739,92.516530
8400,-326,-40,51,-407.718068,49.482739,92.516530
8450,-323,-56,59,-404.870205,33.803753,100.786681
8500,-320,-61,70,-401.978806,28.824519,111.982709
8550,-317,-71,80,-399.110715,18.977776,122.218059
8600,-317,-71,80,-399.110715,18.977776,122.218059
8650,-313,-92,90,-395.304913,-1.595000,132.564288
8700,-306,-117,102,-388.514010,-26.072678,144.956278
8750,-301,-125,109,-383.583124,-33.921959,152.103915
8801,-301,-125,109,-383.583124,-33.921959,152.103915
8850,-295,-126,122,-377.653843,-35.000546,165.258027
8900,-279,-143,146,-361.833755,-51.744815,189.660978
8950,-273,-153,155,-355.925138,-61.560806,198.851813
9000,-273,-153,155,-355.925138,-61.560806,198.851813
9050,-271,-160,155,-353.950755,-68.377467,198.909176
9100,-274,-177,146,-357.006655,-84.885413,189.985220
9150,-277,-185,140,-360.032213,-92.644996,184.009062
9200,-277,-185,140,-360.032213,-92.644996,184.009062
9250,-277,-192,142,-360.097752,-99.496771,186.116738
9300,-271,-203,147,-354.157019,-110.244616,191.256620
9350,-257,-228,156,-340.265102,-134.643233,200.534427
9400,-257,-228,156,-340.265102,-134.643233,200.534427
9450,-230,-263,171,-313.363555,-168.778778,215.888886
9500,-193,-298,188,-276.378537,-202.870269,233.177519
9550,-139,-330,212,-222.266670,-233.999241,257.377093
9600,-139,-330,212,-222.266670,-233.999241,257.377093
9650,-88,-342,234,-171.034345,-245.612212,279.355547
9700,-42,-337,260,-124.779990,-240.715217,305.257990
9750,-42,-337,260,-124.779990,-240.715217,305.257990
9800,2,-316,286,-80.440641,-220.220317,331.004433
9850,43,-283,313,-39.062650,-188.047846,357.663870
9900,82,-254,328,0.384526,-159.659826,372.200761
9950,82,-254,328,0.384526,-159.659826,372.200761
10000,111,-235,337,29.720971,-141.028958,380.851162
10050,157,-225,332,76.308339,-130.913740,375.218970
10100,181,-206,332,100.680475,-112.217221,374.778454
10150,181,-206,332,100.680475,-112.217221,374.778454
10200,215,-191,327,135.177439,-97.302704,369.207603
10250,246,-170,319,166.712174,-76.520937,360.553591
10300,286,-150,301,207.429638,-56.545889,341.668649
10350,286,-150,301,207.429638,-56.545889,341.668649
10400,321,-113,285,243.188490,-20.038955,324.676739
10450,340,-65,272,262.826355,27.062171,310.765559
10500,351,-28,259,274.309388,63.377887,297.052362
10550,351,-28,259,274.309388,63.377887,297.052362
10600,361,6,245,284.772023,96.770885,282.366245
10650,368,29,231,292.131239,119.411459,267.829721
10700,381,49,208,305.619463,139.263176,244.128700
10750,381,49,208,305.619463,139.263176,244.128700
10800,389,72,184,314.085744,162.019946,219.427712
10850,396,85,167,321.408020,174.936463,201.954351
10900,399,95,157,324.601625,184.822791,191.660932
10950,399,95,157,324.601625,184.822791,191.660932
11000,401,100,147,326.751961,189.824052,181.431990
11050,405,105,137,330.922861,194.838509,171.183693
11100,400,114,134,325.959860,203.619644,168.087010
11150,400,114,134,325.959860,203.619644,168.087010
11200,394,125,136,319.951379,214.290770,170.055478
11250,388,133,136,313.942463,222.056735,170.025869
11300,375,137,155,300.651290,225.665506,189.401941
11350,375,137,155,300.651290,225.665506,189.401941
11400,358,140,177,283.283355,228.239315,211.874120
11450,344,146,190,269.053165,233.858635,225.145079
11501,326,156,199,250.846947,243.398179,234.348997
11550,326,156,199,250.846947,243.398179,234.348997
11600,306,173,204,230.705059,259.798224,239.433638
11650,284,188,209,208.529410,274.233686,244.559555
11700,261,198,217,185.281457,283.751203,252.796386
11750,261,198,217,185.281457,283.751203,252.796386
11800,236,197,236,159.833906,282.402337,272.343396
11850,202,182,263,125.124020,267.246703,300.254776
11900,162,162,290,84.319451,247.173016,328.279025
11950,162,162,290,84.319451,247.173016,328.279025
12000,145,144,305,66.880717,229.333976,343.873011
12050,132,136,310,53.645871,221.387861,349.163900
12100,98,136,314,19.257548,221.119708,353.554876
12150,98,136,314,19.257548,221.119708,353.554876
12200,58,125,322,-21.303757,210.035501,362.186394
12250,26,116,321,-53.682501,201.054100,361.579258
