item,value,unit,note
source_file,mag_rotate_20260616_163743.csv,,latest mag rotation data
samples,1800,rows,
hard_iron_x,63.000,raw count,min/max center estimate
hard_iron_y,-104.500,raw count,min/max center estimate
hard_iron_z,32.500,raw count,min/max center estimate
half_range_x,399.000,raw count,
half_range_y,454.500,raw count,
half_range_z,439.500,raw count,
mean_half_range,431.000,raw count,
axis_imbalance,1.139,ratio,larger means stronger soft-iron/coverage issue
radius_mean_after_centering,409.740,raw count,
radius_std_after_centering,30.146,raw count,
radius_cv_after_centering,0.0736,ratio,smaller is better
