# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
0,206,243,148,0
50,203,242,151,0
100,202,242,154,0
151,202,242,154,0
200,200,246,158,0
250,193,247,163,0
300,187,253,165,0
350,187,253,165,0
400,173,257,172,0
450,166,261,175,0
500,164,260,173,0
550,164,260,173,0
600,163,261,171,0
650,170,261,167,0
700,170,262,167,0
750,170,262,167,0
800,172,260,167,0
850,171,261,165,0
900,171,263,167,0
950,172,263,167,0
1000,172,261,166,0
1050,172,260,165,0
1100,172,260,165,0
1150,172,261,167,0
1200,172,262,167,0
1250,172,260,166,0
1300,172,260,166,0
1350,172,261,166,0
1400,172,261,166,0
1450,172,260,166,0
1500,172,260,166,0
1550,173,260,165,0
1600,172,261,166,0
1650,172,263,166,0
1700,172,263,166,0
1750,172,261,166,0
1800,172,262,166,0
1850,172,262,166,0
1900,172,262,166,0
1950,171,261,167,0
2000,173,260,166,0
2050,172,262,167,0
2100,172,262,167,0
2150,172,262,167,0
2200,173,261,166,0
2250,173,262,166,0
2300,173,262,166,0
2350,172,263,165,0
2400,171,261,166,0
2450,173,260,165,0
2500,173,260,165,0
2550,173,263,167,0
2600,172,262,167,0
2650,172,261,166,0
2700,172,261,166,0
2750,172,261,167,0
2800,173,261,166,0
2850,174,261,167,0
2900,174,261,167,0
2950,172,263,168,0
3000,172,261,167,0
3050,172,261,167,0
3100,172,261,167,0
3150,173,261,166,0
3200,173,262,168,0
3250,173,261,167,0
3300,173,261,167,0
3350,173,261,168,0
3400,173,262,167,0
3450,173,260,168,0
3500,173,260,168,0
3550,173,261,167,0
3600,173,263,167,0
3650,173,263,167,0
3700,174,261,166,0
3750,174,262,166,0
3800,172,261,167,0
3850,172,261,167,0
3900,173,261,166,0
3950,171,261,167,0
4000,172,261,167,0
4050,172,261,167,0
4100,174,261,167,0
4150,173,262,167,0
4200,173,262,166,0
4250,173,262,166,0
4300,174,261,167,0
4350,173,264,166,0
4400,173,262,166,0
4450,173,262,166,0
4500,172,262,165,0
4550,172,260,166,0
4600,171,261,165,0
4650,171,261,165,0
4700,172,261,165,0
4750,171,261,165,0
4800,172,262,165,0
4850,172,262,165,0
4900,172,261,166,0
4950,172,261,166,0
5000,172,260,165,0
5050,172,260,165,0
5100,170,261,166,0
5150,172,261,166,0
5200,172,260,164,0
5250,172,260,164,0
5301,171,261,166,0
5350,170,260,166,0
5400,171,261,166,0
5450,171,261,166,0
5500,171,260,165,0
5550,171,261,165,0
5600,172,260,165,0
5650,172,260,165,0
5700,172,260,165,0
5750,172,260,166,0
5800,171,261,166,0
5850,171,261,166,0
5900,173,260,166,0
5950,173,261,165,0
6000,171,262,166,0
6050,171,262,166,0
6100,172,261,165,0
6150,173,260,165,0
6200,173,260,165,0
6250,172,261,166,0
6300,172,261,167,0
6350,173,261,165,0
6400,173,261,165,0
6450,172,261,165,0
6500,172,262,166,0
6550,172,263,166,0
6600,172,263,166,0
6650,174,261,166,0
6700,171,263,166,0
6750,172,263,166,0
6800,172,263,166,0
6850,172,262,166,0
6900,173,261,166,0
6950,173,260,164,0
7000,173,260,164,0
7050,173,262,166,0
7100,173,260,164,0
7150,173,261,165,0
7200,173,261,165,0
7250,172,263,165,0
7300,172,261,166,0
7350,172,262,164,0
7400,172,262,164,0
7450,172,262,166,0
7500,173,261,165,0
7550,173,261,166,0
7600,173,261,166,0
7650,173,263,166,0
7700,171,260,165,0
7750,175,262,165,0
7800,175,262,165,0
7850,173,263,164,0
7900,172,263,166,0
7950,173,260,165,0
8000,173,260,165,0
8050,172,262,166,0
8100,173,261,165,0
8150,172,261,166,0
8200,172,261,166,0
8250,173,260,164,0
8300,172,262,165,0
8350,172,261,165,0
8400,172,261,165,0
8450,173,261,165,0
8500,174,261,165,0
8550,172,263,166,0
8600,172,263,166,0
8651,173,261,165,0
8700,174,261,165,0
8750,174,263,166,0
8800,172,263,166,0
8850,174,261,166,0
8900,173,261,165,0
8950,173,261,165,0
9000,173,262,165,0
9050,173,260,165,0
9100,173,263,166,0
9150,173,263,166,0
9200,173,263,165,0
9250,173,261,165,0
9300,173,262,166,0
9350,173,262,166,0
9400,173,260,165,0
9450,174,260,166,0
9500,172,262,165,0
9550,172,262,165,0
9600,174,260,166,0
9650,173,263,166,0
9700,173,262,167,0
9750,173,262,167,0
9800,172,261,165,0
9850,173,263,166,0
9900,173,262,165,0
9950,173,262,165,0
10000,173,262,166,0
10050,173,262,167,0
10100,173,262,166,0
10150,173,262,166,0
10200,173,261,166,0
10250,174,262,166,0
10300,173,263,167,0
10350,173,263,167,0
10400,174,261,165,0
10450,173,262,166,0
10500,174,263,166,0
10550,174,263,166,0
10600,174,262,166,0
10650,173,262,166,0
10700,173,262,166,0
10750,173,262,166,0
10800,173,263,166,0
10850,174,264,168,0
10900,173,262,167,0
10950,173,262,167,0
11000,173,262,166,0
11050,173,262,166,0
11100,173,264,166,0
11150,173,264,166,0
11200,173,262,166,0
11250,174,262,167,0
11300,174,261,167,0
11350,174,261,167,0
11400,173,264,167,0
11450,173,261,166,0
11500,173,261,166,0
11550,173,261,167,0
11600,173,263,166,0
11650,174,263,167,0
11700,174,263,167,0
11750,175,263,167,0
11800,173,263,167,0
11850,174,262,166,0
11900,174,262,166,0
11950,174,262,166,0
12001,175,262,166,0
12050,174,262,166,0
12100,174,262,166,0
12150,172,263,166,0
12200,174,262,165,0
12250,173,262,166,0
12300,173,262,166,0
12350,173,264,167,0
12400,174,263,166,0
12450,174,261,166,0
12500,174,261,166,0
12550,174,264,167,0
12600,174,262,167,0
12650,173,261,167,0
12700,173,261,167,0
12750,174,261,166,0
12800,173,261,167,0
12850,173,263,166,0
12900,173,263,166,0
12950,173,262,167,0
13000,174,262,167,0
13050,173,264,166,0
13100,173,264,166,0
13150,174,262,167,0
13200,174,262,166,0
13250,175,264,166,0
13300,175,264,166,0
13350,174,261,167,0
13400,174,261,166,0
13450,174,261,166,0
13500,174,261,166,0
13550,174,262,166,0
13600,173,264,167,0
13650,173,262,167,0
13700,173,262,167,0
13750,173,262,165,0
13800,174,264,166,0
13850,174,262,167,0
13900,174,262,167,0
13950,174,262,167,0
14000,173,264,167,0
14050,173,264,167,0
14100,173,261,167,0
14150,174,262,167,0
14200,174,263,167,0
14250,174,263,167,0
14300,173,261,167,0
14350,174,262,166,0
14400,174,262,167,0
14450,174,262,167,0
14500,174,262,165,0
14550,173,262,166,0
14600,174,262,166,0
14650,174,262,166,0
14700,174,261,166,0
14750,173,263,166,0
14800,174,261,167,0
14850,174,261,167,0
14900,174,262,167,0
14950,173,264,166,0
15000,174,263,166,0
15050,174,263,166,0
15100,173,262,166,0
15150,173,263,167,0
15200,173,263,166,0
15250,173,263,166,0
15300,172,263,166,0
15350,171,263,167,0
15400,174,261,166,0
15450,174,261,166,0
15500,173,262,166,0
15550,173,263,167,0
15600,173,262,167,0
15650,173,262,167,0
15700,173,262,166,0
15750,175,261,166,0
15800,173,262,166,0
15850,173,262,166,0
15900,173,263,167,0
15950,175,262,166,0
16000,173,261,167,0
16050,173,261,167,0
16100,173,263,167,0
16150,173,261,166,0
16200,173,262,165,0
16250,173,262,165,0
16300,172,265,167,0
16350,173,262,166,0
16400,173,261,168,0
16450,173,261,168,0
16500,173,262,166,0
16550,173,261,167,0
16600,173,261,167,0
16650,174,262,166,0
16700,173,262,167,0
16750,173,261,165,0
16800,173,261,165,0
16850,173,261,167,0
16900,174,261,166,0
16950,174,261,165,0
17000,174,261,165,0
17050,173,263,167,0
17100,174,262,166,0
17150,174,261,166,0
17200,174,261,166,0
17250,173,263,167,0
17300,174,262,166,0
17350,173,261,167,0
17400,173,261,167,0
17450,172,262,165,0
17500,173,261,166,0
17550,174,262,166,0
17600,174,262,166,0
17650,173,262,166,0
17700,173,261,166,0
17750,173,263,167,0
17800,173,263,167,0
17850,173,263,166,0
17900,173,261,167,0
17950,173,262,167,0
18000,173,262,167,0
18050,174,263,167,0
18100,173,261,166,0
18150,173,263,166,0
18200,173,263,166,0
18250,174,261,166,0
