item,wifi_off,wifi_on_scan,delta_or_ratio,unit,note
source_file,mag_wifi_off_20260630_094409.csv,mag_wifi_on_scan_20260630_094409.csv,,,latest paired capture
samples,1200,1200,,rows,
duration,59.950,59.950,,s,
wifi_scan_count,0.0,8.0,,times,WiFi-on condition scans APs repeatedly
mx_mean,173.178,174.195,1.017,raw count,mean shift after WiFi enabled
mx_std,2.320,1.058,0.456,ratio,"std ratio, WiFi on/off"
my_mean,261.266,260.824,-0.442,raw count,mean shift after WiFi enabled
my_std,1.834,0.894,0.488,ratio,"std ratio, WiFi on/off"
mz_mean,165.836,164.262,-1.574,raw count,mean shift after WiFi enabled
mz_std,1.394,0.993,0.712,ratio,"std ratio, WiFi on/off"
norm_mean,354.627,354.057,-0.569,raw count,field magnitude shift
norm_std,1.532,1.156,0.754,ratio,magnitude std ratio
vector_shift,,,1.926,raw count,3-axis mean vector shift
vector_shift_percent_of_field,,,0.543,%,shift relative to WiFi-off mean field magnitude
