section,item,quantity,designator,footprint,value,manufacturer_part,manufacturer,supplier_part,supplier,unit_price_cny,subtotal_cny,note,source
EDA原始BOM,HMC5883L,1.0,H1,HDR-TH_5P-P2.54-V-M,,HMC5883L,XFCN(兴飞),C492404,LCSC,10.49,10.49,来自EDA导出的器件/封装/位号信息；成本信息：HMC5883L/GY-273磁力计，0x1E 磁力计,BOM_eda_raw.csv + BOM.xlsx
EDA原始BOM,GPS,1.0,H2,HDR-TH_4P-P2.54-V-M,,GPS,XFCN(兴飞),C2691448,LCSC,,,来自EDA导出的器件/封装/位号信息；成本表未填写该项单价,BOM_eda_raw.csv
EDA原始BOM,BMP280,1.0,H3,HDR-TH_6P-P2.54-V-M,,BMP280,XFCN(兴飞),C492405,LCSC,7.0,7.0,来自EDA导出的器件/封装/位号信息；成本信息：BMP280气压计，0x76 气压计,BOM_eda_raw.csv + BOM.xlsx
EDA原始BOM,PZ254V-11-02P,1.0,H4,HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC,0.69,3.48,来自EDA导出的器件/封装/位号信息；成本信息：排针/连接器，排针、杜邦线或连接座,BOM_eda_raw.csv + BOM.xlsx
EDA原始BOM,1kΩ,1.0,R1,R0805,1kΩ,FRR0805J102 TS,FOJAN(富捷),C49196827,LCSC,2.41,2.41,来自EDA导出的器件/封装/位号信息；成本信息：阻容器件，电阻、电容合计,BOM_eda_raw.csv + BOM.xlsx
EDA原始BOM,ESP32,2.0,"U1,U2",HDR-TH_15P-P2.54-V-M,,ESP32,Megastar(兆星),C7501269,LCSC,,,来自EDA导出的器件/封装/位号信息；成本表未填写该项单价,BOM_eda_raw.csv
EDA原始BOM,MPU6050,1.0,U3,HDR-TH_10P-P2.54-V-M_1,,MPU6050,HDGC(华德共创),C19190976,LCSC,11.38,11.38,来自EDA导出的器件/封装/位号信息；成本信息：MPU6050/兼容IMU模块或芯片，0x68 IMU,BOM_eda_raw.csv + BOM.xlsx
成本补充,PCB打样,1.0,,,,,,,,0.0,0.0,按实际订单均摊,BOM.xlsx
成本补充,LED,1.0,,,,,,,,1.0,1.0,指示灯,BOM.xlsx
成本补充,其他焊接/辅料,0.02,,,,,,,,185.0,3.7,锡丝、助焊剂等可选,BOM.xlsx
成本补充,总价,,,,,,,,,,39.46,,BOM.xlsx
