# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
0,-0.986084,-0.061523,-0.081299
21,-0.989502,-0.056152,-0.074951
40,-0.986084,-0.066650,-0.075195
60,-0.983643,-0.059814,-0.074707
80,-0.985840,-0.054932,-0.066162
100,-0.983887,-0.058350,-0.073730
120,-0.986328,-0.064209,-0.071289
140,-0.993408,-0.057617,-0.072266
160,-0.973633,-0.058105,-0.068604
180,-0.993164,-0.063965,-0.077881
200,-0.978027,-0.061279,-0.067383
220,-0.943359,-0.063965,-0.054688
240,-1.037109,-0.058350,-0.082031
260,-0.906250,-0.028564,-0.051025
280,-1.045898,-0.088379,-0.098145
300,-0.960693,-0.059814,-0.073242
320,-1.007813,-0.055176,-0.079590
340,-1.009277,-0.047607,-0.064941
360,-0.949463,-0.051758,-0.059814
380,-1.015381,-0.088867,-0.087646
400,-0.965820,-0.050049,-0.069580
420,-1.003906,-0.046143,-0.070313
440,-0.979004,-0.057129,-0.064453
460,-0.982666,-0.066895,-0.073730
480,-0.999512,-0.066406,-0.075439
500,-0.977539,-0.047852,-0.069580
520,-0.991211,-0.059326,-0.073975
540,-0.981445,-0.072266,-0.068359
560,-0.983887,-0.054443,-0.071777
580,-0.989746,-0.057861,-0.069824
600,-0.978027,-0.060303,-0.066895
620,-0.986084,-0.065430,-0.065430
640,-0.981201,-0.057129,-0.067871
660,-0.978760,-0.058594,-0.073242
680,-0.987061,-0.059814,-0.076660
700,-0.978027,-0.055176,-0.068359
720,-0.989258,-0.059082,-0.072021
740,-0.983154,-0.056396,-0.068848
760,-0.973633,-0.057373,-0.068848
780,-0.989990,-0.060547,-0.076416
800,-0.981934,-0.058105,-0.076172
820,-0.982178,-0.058105,-0.074219
840,-0.986328,-0.064697,-0.076416
860,-0.979980,-0.059570,-0.068604
880,-0.986816,-0.055664,-0.067627
900,-0.991211,-0.061279,-0.070313
920,-0.985352,-0.059326,-0.076172
940,-0.981934,-0.057373,-0.073242
960,-0.984619,-0.058594,-0.072510
980,-0.980957,-0.059082,-0.068359
1000,-0.993652,-0.056885,-0.071533
1020,-0.990723,-0.058594,-0.066895
1040,-0.980469,-0.055420,-0.070068
1060,-0.992676,-0.063965,-0.071289
1080,-0.979004,-0.059570,-0.067139
1100,-0.994141,-0.062256,-0.070068
1120,-0.994629,-0.059570,-0.073975
1140,-0.986084,-0.057617,-0.069092
1160,-0.988525,-0.058594,-0.072754
1180,-0.981689,-0.060791,-0.074463
1200,-0.989746,-0.056641,-0.070068
1221,-0.984619,-0.056396,-0.069336
1240,-0.980469,-0.060059,-0.070313
1260,-0.986328,-0.065186,-0.065430
1280,-0.998779,-0.055908,-0.073242
1300,-0.989258,-0.049072,-0.071533
1320,-0.977051,-0.058350,-0.075684
1340,-0.980469,-0.064453,-0.077637
1360,-0.994629,-0.062012,-0.074219
1380,-0.983154,-0.047119,-0.065186
1400,-0.992188,-0.056152,-0.068848
1420,-0.995117,-0.062500,-0.075684
1440,-1.003906,-0.056396,-0.076416
1461,-0.975586,-0.052002,-0.073975
1480,-0.962158,-0.069824,-0.068604
1500,-1.008789,-0.077393,-0.077148
1520,-0.973389,-0.044434,-0.065430
1540,-0.993408,-0.058838,-0.066162
1561,-1.001709,-0.069092,-0.075195
1580,-0.972900,-0.061279,-0.064453
1600,-1.007324,-0.055664,-0.080811
1620,-0.972412,-0.049072,-0.068115
1640,-0.994629,-0.073486,-0.071777
1661,-0.983154,-0.060791,-0.070313
1680,-0.982910,-0.054199,-0.067871
1700,-0.998779,-0.059082,-0.074707
1720,-0.978760,-0.055908,-0.070313
1740,-0.998291,-0.062988,-0.077881
1761,-0.980713,-0.055908,-0.068604
1780,-0.988281,-0.064209,-0.071045
1800,-0.987549,-0.061768,-0.063965
1820,-0.983643,-0.057129,-0.071289
1840,-0.991455,-0.058594,-0.069580
1861,-0.978027,-0.061768,-0.071289
1880,-0.993896,-0.063477,-0.080078
1900,-0.980469,-0.055176,-0.071045
1920,-0.989502,-0.060791,-0.069336
1940,-0.987793,-0.065430,-0.069092
1961,-0.988525,-0.055908,-0.068604
1980,-0.985352,-0.059570,-0.080811
2000,-0.980469,-0.056885,-0.063965
2020,-0.992188,-0.060303,-0.074219
2040,-0.983398,-0.058105,-0.072266
2061,-0.987061,-0.062012,-0.071289
2080,-0.985107,-0.059082,-0.072510
2100,-0.982910,-0.060059,-0.071289
2120,-0.984619,-0.062500,-0.073975
2140,-0.982666,-0.055176,-0.068604
2161,-0.987061,-0.063232,-0.073242
2180,-0.982666,-0.059814,-0.072998
2200,-0.987549,-0.061523,-0.069580
2220,-0.988281,-0.060547,-0.073975
2240,-0.983887,-0.060547,-0.066895
2261,-0.989258,-0.061279,-0.069824
2280,-0.982422,-0.059326,-0.071533
2300,-0.988281,-0.058594,-0.075928
2320,-0.983887,-0.056641,-0.066406
2340,-0.984375,-0.061523,-0.070801
2361,-0.982422,-0.060059,-0.070068
2380,-0.985596,-0.060059,-0.070801
2400,-0.986328,-0.060547,-0.072754
2420,-0.988037,-0.060059,-0.067871
2440,-0.985596,-0.059082,-0.070068
2461,-0.986816,-0.058350,-0.075439
2480,-0.988525,-0.057373,-0.077148
2500,-0.985840,-0.062988,-0.072266
2520,-0.992920,-0.059326,-0.073242
2540,-0.989014,-0.059570,-0.066650
2561,-0.985840,-0.057373,-0.075439
2580,-0.985596,-0.056396,-0.068115
2600,-0.985840,-0.057373,-0.073730
2620,-0.987305,-0.058594,-0.064941
2640,-0.981934,-0.059326,-0.075195
2661,-0.987305,-0.061035,-0.070801
2680,-0.985596,-0.058594,-0.070801
2700,-0.986328,-0.057617,-0.072998
2720,-0.984375,-0.059082,-0.069336
2740,-0.984863,-0.057617,-0.073242
2760,-0.984863,-0.059082,-0.069824
2780,-0.987549,-0.056152,-0.066162
2800,-0.988281,-0.060303,-0.075439
2820,-0.984375,-0.059326,-0.071045
2840,-0.987061,-0.060059,-0.075439
2860,-0.986816,-0.057373,-0.072998
2880,-0.985596,-0.060791,-0.073486
2900,-0.986328,-0.055176,-0.071045
2920,-0.984131,-0.058105,-0.070068
2940,-0.986328,-0.061035,-0.072510
2960,-0.988037,-0.059326,-0.061523
2980,-0.984375,-0.058594,-0.076172
3000,-0.986816,-0.062744,-0.064209
3020,-0.983887,-0.059814,-0.072754
3040,-0.981689,-0.058350,-0.075684
3061,-0.988525,-0.059082,-0.065430
3080,-0.981934,-0.060303,-0.068848
3100,-0.986572,-0.059082,-0.074707
3120,-0.984375,-0.061523,-0.072266
3140,-0.986084,-0.061035,-0.078125
