# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
0,0.066406,-0.996582,0.028076
20,0.067627,-0.981689,0.026855
41,0.066406,-0.987061,0.031738
60,0.069092,-0.985107,0.030518
80,0.071533,-0.989502,0.031250
100,0.064941,-0.990723,0.031494
120,0.067871,-0.988037,0.030762
140,0.065918,-0.988281,0.033936
160,0.070801,-0.987549,0.035889
180,0.071533,-0.990234,0.029053
200,0.068604,-0.988525,0.031494
220,0.066650,-0.989014,0.030273
240,0.067871,-0.990479,0.031006
260,0.068359,-0.985840,0.029297
280,0.069336,-0.989014,0.031006
300,0.062744,-0.985596,0.032959
320,0.065186,-0.991211,0.031738
340,0.065918,-0.993896,0.033447
360,0.067871,-0.983643,0.033936
380,0.066406,-0.987793,0.029053
400,0.072998,-0.990723,0.027588
420,0.063965,-0.989014,0.028809
440,0.068604,-0.989502,0.033203
460,0.065918,-0.993164,0.033936
480,0.070801,-0.989014,0.032715
500,0.068359,-0.990234,0.028564
520,0.073242,-0.993896,0.033691
540,0.070801,-0.989258,0.036377
560,0.066406,-0.989746,0.037354
580,0.066406,-0.993164,0.034424
600,0.067871,-0.985596,0.028076
620,0.070068,-0.990479,0.034912
640,0.064453,-0.989990,0.025879
660,0.069580,-0.990234,0.032715
680,0.066895,-0.992676,0.031006
700,0.069092,-0.988037,0.030273
720,0.071045,-0.988037,0.032227
741,0.061768,-0.990479,0.034668
760,0.066895,-0.988037,0.029541
780,0.067139,-0.987305,0.032715
800,0.069336,-0.990479,0.029053
820,0.069824,-0.990234,0.032715
840,0.069336,-0.989258,0.030518
860,0.069092,-0.993896,0.036865
880,0.070801,-0.994629,0.036621
900,0.069092,-0.993896,0.031982
920,0.068604,-0.992432,0.028809
941,0.069336,-0.989990,0.025391
960,0.070068,-0.989502,0.032715
980,0.066406,-0.987061,0.027344
1000,0.071777,-0.990723,0.031982
1020,0.069092,-0.994873,0.030273
1041,0.070557,-0.989746,0.029541
1060,0.066895,-0.987305,0.034180
1080,0.067383,-0.991455,0.029785
1100,0.071289,-0.993164,0.033691
1120,0.066650,-0.993408,0.034912
1141,0.067383,-0.989502,0.035400
1160,0.068604,-0.989014,0.032227
1180,0.071045,-0.992188,0.029785
1200,0.066406,-0.991455,0.031982
