# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
1,1.002441,0.080811,0.036133
20,1.010254,0.081055,0.039551
40,1.005615,0.080811,0.042725
60,1.007568,0.080078,0.037842
80,1.008301,0.077393,0.043945
100,1.007080,0.080078,0.042725
120,1.009521,0.080566,0.042480
140,1.007813,0.077393,0.039551
160,1.008301,0.078857,0.041260
180,1.008301,0.081543,0.037109
200,1.006592,0.080811,0.035400
220,1.008789,0.079834,0.028564
240,1.009766,0.081055,0.040039
261,1.009521,0.082275,0.044189
280,1.006836,0.079102,0.038818
300,1.010010,0.079590,0.038330
320,1.008301,0.080811,0.038818
340,1.007324,0.080566,0.040283
361,1.009766,0.081787,0.045654
380,1.006104,0.084229,0.034912
400,1.004639,0.080078,0.043701
420,1.006348,0.079834,0.034668
440,1.008057,0.083740,0.039307
461,1.008789,0.087646,0.042725
480,1.009277,0.079834,0.038086
500,1.005859,0.079590,0.034424
520,1.004883,0.083008,0.040039
540,1.006836,0.078369,0.036133
560,1.009766,0.083984,0.041016
580,1.004883,0.080811,0.039307
600,1.004639,0.080322,0.039307
620,1.008789,0.076660,0.038818
640,1.004150,0.080322,0.040283
660,1.008545,0.081787,0.041504
680,1.007324,0.082275,0.040527
700,1.008789,0.080078,0.046143
720,1.003662,0.080811,0.040283
740,1.004883,0.082031,0.036865
760,1.008545,0.082275,0.035400
780,1.003906,0.079346,0.040283
801,1.008301,0.077393,0.037109
820,1.007324,0.078125,0.044434
840,1.009033,0.082275,0.039795
860,1.006592,0.079834,0.042236
880,1.006104,0.082031,0.037109
901,1.007080,0.078857,0.031982
920,1.005371,0.077881,0.033936
940,1.006104,0.075439,0.040039
960,1.003174,0.079590,0.039551
980,1.007080,0.080078,0.041504
1000,1.005615,0.078369,0.042480
1020,1.006592,0.079346,0.039551
1040,1.007813,0.077148,0.033936
1060,1.007813,0.078125,0.042969
1080,1.002441,0.081299,0.040283
1100,1.009766,0.078369,0.038818
1120,1.009277,0.080566,0.041504
1140,1.005615,0.079346,0.041504
1160,1.006348,0.080078,0.039063
1180,1.008301,0.079834,0.040039
1200,1.004883,0.076172,0.034668
1220,1.006836,0.074951,0.026123
1240,1.013184,0.083252,0.053711
1260,1.003174,0.082764,0.043213
1280,1.009521,0.080322,0.037109
1300,1.004150,0.075928,0.036865
1320,1.008789,0.080078,0.038330
1341,1.009033,0.077393,0.034668
1360,1.009521,0.081299,0.041260
1380,1.007080,0.081299,0.038330
1400,1.007568,0.080322,0.039795
1420,1.008789,0.082520,0.034180
1441,1.004883,0.077148,0.037109
1460,1.004883,0.078613,0.034180
1480,1.003662,0.077637,0.036133
1500,1.005615,0.083496,0.042725
1520,1.008545,0.082031,0.037842
1541,1.007813,0.078125,0.042969
1560,1.007568,0.082031,0.041992
1580,1.006592,0.078613,0.040283
1600,1.006836,0.082764,0.038818
1620,1.007080,0.083252,0.037598
1640,1.008301,0.079102,0.040527
1660,1.005615,0.079102,0.036621
1680,1.003662,0.079102,0.036377
1700,1.004883,0.080811,0.045166
1720,1.010010,0.081055,0.039063
1741,1.006348,0.076172,0.041748
1760,1.007813,0.080566,0.039063
1780,1.004883,0.083008,0.037109
1800,1.005371,0.082520,0.035645
1820,1.000732,0.079102,0.043945
1840,1.007324,0.083496,0.040771
1860,1.008545,0.084473,0.035400
1880,1.011475,0.080078,0.034668
1900,1.003662,0.080078,0.040771
1920,1.008057,0.080078,0.040771
1940,1.009277,0.083252,0.035889
1960,1.006348,0.080322,0.033447
1980,1.008301,0.080322,0.040527
2000,1.010498,0.083252,0.032471
2020,1.006104,0.079346,0.040527
2040,1.007324,0.080322,0.036621
2060,1.006348,0.078613,0.037354
2080,1.004639,0.081055,0.036621
2100,1.007080,0.083984,0.039551
2120,1.007813,0.082520,0.034912
2140,1.006104,0.079346,0.041748
2160,1.006836,0.078613,0.038330
2180,1.012695,0.078125,0.040039
2200,1.009033,0.081299,0.035889
2220,1.004150,0.076172,0.034180
2240,1.003906,0.078369,0.035400
2260,1.008301,0.080566,0.035645
2280,1.009277,0.082031,0.042236
2300,1.009766,0.076172,0.038818
2320,1.011963,0.081299,0.036377
