# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
0,-0.044189,0.005371,1.024902
20,-0.043945,0.002930,1.020752
40,-0.043213,0.001221,1.022949
60,-0.042725,0.003662,1.018311
80,-0.044678,0.001465,1.022217
100,-0.047852,0.009277,1.026611
120,-0.043213,-0.000732,1.021240
140,-0.046143,0.003906,1.023438
160,-0.045166,0.009033,1.018066
181,-0.040039,0.001709,1.025635
200,-0.041992,0.002197,1.024414
220,-0.043701,0.003418,1.024902
240,-0.043701,0.004883,1.028076
260,-0.040527,0.007568,1.014648
281,-0.046631,0.002686,1.028320
300,-0.044434,0.003662,1.023193
320,-0.042969,0.005127,1.022217
340,-0.044189,0.006104,1.026367
360,-0.043213,-0.001221,1.023193
381,-0.047607,0.002686,1.025146
400,-0.045410,0.002441,1.021973
420,-0.045410,0.000977,1.026123
440,-0.044434,0.001221,1.026367
460,-0.045898,0.004150,1.025391
480,-0.043213,0.003906,1.021240
500,-0.044922,0.004150,1.023682
520,-0.045166,0.003174,1.021484
540,-0.048096,0.004395,1.024170
560,-0.045898,0.004883,1.016113
581,-0.044678,0.002197,1.024902
600,-0.039551,0.005615,1.024170
620,-0.041748,0.004883,1.022461
640,-0.048828,0.001465,1.026123
660,-0.044434,0.006836,1.026855
680,-0.043945,0.002686,1.023682
700,-0.044434,0.003906,1.025635
720,-0.043945,0.005371,1.025146
740,-0.044678,0.002930,1.022217
760,-0.044678,0.004639,1.031982
780,-0.049805,0.005371,1.021973
800,-0.042725,0.006836,1.023193
820,-0.041016,0.002930,1.024902
840,-0.045654,0.001953,1.027344
860,-0.045166,0.004150,1.020752
880,-0.044922,0.004395,1.022705
900,-0.044922,0.003174,1.024170
920,-0.044922,0.006836,1.021240
940,-0.041504,0.006104,1.029297
960,-0.047852,0.001221,1.019287
980,-0.043945,0.004150,1.019287
1000,-0.044922,0.001709,1.019043
1020,-0.044189,0.001221,1.026855
1040,-0.043945,-0.004639,1.030273
1060,-0.046631,-0.005859,1.032715
1080,-0.051758,-0.011475,0.985352
1100,-0.042480,-0.001709,1.017578
1120,-0.047119,0.010010,1.017578
1140,-0.043213,0.005127,1.020264
1160,-0.048828,0.013428,1.030518
1180,-0.045410,0.009033,1.020020
1200,-0.044678,-0.000244,1.019531
1221,-0.045166,0.000488,1.024170
1240,-0.045166,0.000244,1.031982
1260,-0.049805,-0.006836,1.033203
1280,-0.037842,0.002930,1.023682
1300,-0.051514,0.004395,1.021973
1321,-0.041992,-0.000732,1.028076
1340,-0.048584,0.004150,1.019287
1360,-0.044678,-0.003662,1.027100
1380,-0.044922,0.005859,1.028564
1400,-0.042480,0.004639,1.025146
1421,-0.045166,-0.001221,1.022217
1440,-0.048340,0.001709,1.023438
1460,-0.039307,-0.000244,1.036865
1480,-0.050781,0.004150,1.023193
1500,-0.044434,0.003662,1.021973
1520,-0.043457,0.003662,1.020752
1540,-0.045166,0.000244,1.022949
1560,-0.041504,-0.000244,1.027344
1580,-0.042725,0.004639,1.022461
1600,-0.040283,0.003906,1.026367
1620,-0.049805,0.001709,1.019287
1640,-0.047852,-0.002441,1.026367
1661,-0.041504,0.003418,1.026855
1680,-0.047119,0.005127,1.021240
1700,-0.045410,0.000977,1.024658
1720,-0.046631,0.000244,1.020020
1740,-0.043457,0.004150,1.027588
1760,-0.041992,0.000000,1.019531
1780,-0.045410,0.000000,1.024170
1800,-0.045166,0.002441,1.021484
1820,-0.046875,0.001465,1.023926
1840,-0.045410,-0.001221,1.026855
1861,-0.043701,0.000244,1.027100
1880,-0.042969,0.001465,1.027344
1900,-0.046631,0.003662,1.026855
1920,-0.043457,0.003418,1.019287
1940,-0.045166,0.002197,1.023193
1960,-0.047119,-0.000977,1.029297
1980,-0.044922,0.005615,1.026855
2000,-0.045898,0.003662,1.022949
2020,-0.041748,0.002441,1.025146
2040,-0.042725,0.003418,1.023682
2060,-0.046631,0.004883,1.024902
2080,-0.043213,0.003174,1.031738
2100,-0.042236,0.005615,1.025391
2120,-0.045654,-0.000977,1.024414
2140,-0.045410,0.005615,1.024658
2161,-0.041260,0.002686,1.017578
2180,-0.043213,0.007080,1.024170
2200,-0.046143,0.004395,1.028809
2220,-0.043945,0.004150,1.026367
2240,-0.045410,0.000244,1.016113
2260,-0.044922,0.004150,1.023926
2280,-0.049561,0.002441,1.022217
2300,-0.041992,0.004639,1.025635
2320,-0.044189,0.000977,1.019043
2340,-0.046387,0.006348,1.028564
2360,-0.047607,-0.001709,1.019043
2380,-0.046387,0.001709,1.025635
2400,-0.043945,0.004150,1.024414
2420,-0.044189,0.000977,1.026123
2440,-0.044189,-0.000244,1.026123
2460,-0.046387,0.003662,1.023193
2480,-0.042969,0.007813,1.026855
2500,-0.045898,0.004150,1.020996
2520,-0.044922,0.004395,1.026855
2540,-0.049561,0.000977,1.025879
2560,-0.042236,0.003418,1.023926
2580,-0.048340,0.005371,1.031738
2600,-0.045166,0.002441,1.015625
2620,-0.043945,-0.000488,1.023438
2640,-0.045166,0.003174,1.023682
2660,-0.045654,0.003418,1.013672
2680,-0.044922,-0.002441,1.023193
2700,-0.045410,0.005371,1.025635
2720,-0.044189,0.005615,1.025146
2740,-0.041504,0.006836,1.021484
2761,-0.042725,0.001953,1.027832
2780,-0.044922,0.003662,1.021240
2800,-0.042725,0.001221,1.024414
2820,-0.043701,0.002441,1.025635
2840,-0.046143,0.010254,1.020752
2861,-0.042725,0.001465,1.032227
2880,-0.047119,0.001953,1.018799
2900,-0.046631,0.000488,1.027832
2920,-0.045166,0.001709,1.016846
2940,-0.048340,0.000732,1.024170
2960,-0.041504,0.004395,1.030029
2980,-0.043457,0.003174,1.024170
3000,-0.041504,0.004150,1.027588
3020,-0.046631,0.004883,1.021973
3040,-0.039795,0.002197,1.025879
3061,-0.045654,0.004395,1.020996
3080,-0.047363,0.002930,1.019775
3100,-0.042969,0.003906,1.022949
3120,-0.042725,0.000732,1.017090
3140,-0.043701,0.002930,1.028320
3160,-0.047119,0.000732,1.023682
3180,-0.041992,0.003174,1.024902
3200,-0.045166,0.000244,1.020264
3220,-0.042480,0.003174,1.027100
3240,-0.045166,0.000977,1.023438
3260,-0.044922,0.007324,1.028809
3280,-0.042236,0.000244,1.024414
3300,-0.047852,0.009277,1.024170
3320,-0.042480,0.000244,1.020752
3340,-0.045166,0.000000,1.021729
3360,-0.040771,0.005371,1.022705
3380,-0.044922,0.003174,1.019775
3400,-0.042480,0.002441,1.026855
3420,-0.045166,0.001953,1.023193
3440,-0.049805,0.001709,1.018799
3460,-0.046143,0.004150,1.026367
3480,-0.045410,0.001709,1.019287
3500,-0.043457,0.004639,1.016113
3520,-0.046143,0.002686,1.023193
3540,-0.043945,0.000977,1.028564
3560,-0.044434,0.005615,1.026855
3580,-0.043701,-0.000732,1.023682
3600,-0.044922,0.004150,1.026611
3620,-0.047852,0.004883,1.020020
3640,-0.042969,-0.000244,1.024414
3660,-0.044678,0.002930,1.025635
3680,-0.044678,0.003662,1.027100
3700,-0.042725,0.002930,1.028320
3720,-0.047363,0.000000,1.017090
3740,-0.043213,0.000244,1.029297
3760,-0.046631,0.004639,1.024414
3780,-0.044678,0.004150,1.021729
3800,-0.046875,0.001465,1.031250
3820,-0.047119,-0.000488,1.019531
3840,-0.043701,0.000732,1.023682
3860,-0.044189,-0.002441,1.020752
3880,-0.048096,0.004639,1.032715
3900,-0.042969,0.000977,1.016846
3921,-0.048096,0.001953,1.022949
3940,-0.042725,0.005371,1.020508
3960,-0.045654,0.006348,1.031982
3980,-0.043701,0.004639,1.021973
4000,-0.047852,0.002197,1.019287
4021,-0.042725,0.000732,1.018311
4040,-0.044189,0.001221,1.028564
4060,-0.041992,0.001709,1.028320
4080,-0.043457,0.003418,1.023193
4100,-0.047363,0.001221,1.023193
4121,-0.042725,0.005615,1.028320
4140,-0.049072,-0.000244,1.025146
4160,-0.043945,0.010010,1.015869
4180,-0.041260,0.003418,1.029541
4200,-0.043945,0.004395,1.025879
4220,-0.043701,0.005371,1.025635
4240,-0.050293,0.001465,1.028564
4260,-0.045166,0.005859,1.024414
4280,-0.048340,0.004883,1.025391
4300,-0.043701,-0.001465,1.024414
4320,-0.044678,0.002441,1.028320
4340,-0.049805,0.007324,1.026123
4360,-0.043945,0.003906,1.023438
4380,-0.041504,0.006836,1.028320
4400,-0.046875,0.003174,1.028320
4420,-0.044922,0.001465,1.024170
4440,-0.043945,0.005859,1.026611
4460,-0.041504,0.004639,1.024658
4480,-0.046387,0.004395,1.021240
4500,-0.047607,0.004883,1.026611
4520,-0.045166,0.008545,1.022217
4540,-0.041260,0.005615,1.024658
4560,-0.045410,0.003418,1.019531
4580,-0.041748,0.002197,1.019775
4600,-0.046143,0.004395,1.019043
4620,-0.041504,0.000977,1.023193
4640,-0.046143,0.002197,1.019531
4660,-0.041260,0.003418,1.024902
4680,-0.046875,0.001221,1.020020
4700,-0.042969,0.004150,1.022705
4720,-0.047852,0.004150,1.024414
4740,-0.045898,0.003174,1.025635
4760,-0.044678,0.003662,1.028076
4780,-0.041504,0.004639,1.026367
4800,-0.046875,0.002930,1.024902
4820,-0.047852,0.007080,1.019287
4840,-0.043213,0.003662,1.020996
4860,-0.045654,0.005127,1.019531
4880,-0.042480,0.005371,1.022217
4900,-0.045654,0.006348,1.026611
4920,-0.044922,0.000000,1.024658
4940,-0.047363,0.001709,1.020264
4960,-0.042969,0.005859,1.022705
4980,-0.041992,0.001221,1.024170
5000,-0.044922,0.003662,1.024658
5020,-0.047607,0.002930,1.020264
5040,-0.042480,0.003418,1.023193
5061,-0.045898,0.000977,1.021484
5080,-0.044678,0.002930,1.021973
5100,-0.044189,0.005127,1.019531
5120,-0.044434,0.006104,1.029541
5141,-0.042480,0.003906,1.019287
5160,-0.047119,0.003906,1.027100
5180,-0.041992,0.004395,1.019775
5200,-0.045654,0.002441,1.024170
5220,-0.045166,0.005859,1.027588
5240,-0.042725,0.006836,1.026123
5260,-0.042236,0.006104,1.030762
5280,-0.044922,0.007568,1.019287
5300,-0.044678,0.003174,1.024658
5320,-0.040283,0.002197,1.023926
5340,-0.039063,0.002197,1.017334
5360,-0.044678,-0.000488,1.024414
5380,-0.044922,0.006104,1.023438
5400,-0.043945,0.000244,1.022217
5420,-0.044678,0.004639,1.028809
5440,-0.043945,0.000977,1.026123
5460,-0.046143,0.002930,1.018066
5480,-0.043213,0.001465,1.015137
5500,-0.045654,0.005127,1.025391
5520,-0.046631,0.004395,1.026367
5540,-0.046631,0.000732,1.029297
5560,-0.046143,0.007813,1.027100
5580,-0.045410,0.003174,1.028076
5600,-0.047119,0.004395,1.017334
5620,-0.044434,0.005859,1.020996
5640,-0.046875,0.000732,1.027344
5660,-0.044189,0.001953,1.022461
5680,-0.044189,0.003174,1.021729
5700,-0.042725,0.001465,1.024414
5720,-0.046875,0.004150,1.029297
5740,-0.046143,0.003174,1.027588
5760,-0.044189,0.002441,1.020264
5780,-0.047607,0.004639,1.023193
5800,-0.043945,0.002197,1.022461
5820,-0.046631,0.002441,1.020508
5840,-0.047119,0.002197,1.023926
5860,-0.041992,0.004883,1.024658
5880,-0.043701,0.002930,1.028809
5901,-0.045654,0.002930,1.029053
5920,-0.041748,0.002930,1.022461
5940,-0.046143,0.001221,1.024170
5960,-0.042480,0.005859,1.022217
5980,-0.040039,0.006348,1.025146
6000,-0.040283,0.001953,1.020020
6020,-0.044678,0.005615,1.025391
6040,-0.046875,0.002441,1.026123
