t_ms,utc_time,date,lat,lon,alt_m,speed_knots,course_deg,fix_quality,satellites,hdop
854084,023019.00,170626,26.035203499999998,119.19223099999999,24.7,10.975,192.05,1,5,1.43
854346,023020.00,170626,26.0351655,119.1922175,28.5,9.438,196.87,1,5,1.43
855223,023021.00,170626,26.035121166666666,119.19220116666665,31.1,9.433,197.21,1,5,1.43
856224,023022.00,170626,26.035081166666668,119.19219550000001,33.3,9.155,197.75,1,5,1.43
857221,023023.00,170626,26.035041,119.192184,37.1,9.254,194.67,1,4,9.37
858221,023024.00,170626,26.035001166666667,119.19216966666666,41.2,9.103,196.1,1,5,9.36
859220,023025.00,170626,26.034966666666666,119.19215950000002,44.5,7.405,197.33,1,5,9.34
860224,023026.00,170626,26.0349285,119.19216616666667,43.0,6.066,201.82,1,5,1.43
861223,023027.00,170626,26.034869166666667,119.19217866666668,37.2,7.585,198.67,1,5,1.43
862246,023028.00,170626,26.0348325,119.19217233333332,38.5,6.462,201.45,1,5,1.43
863223,023029.00,170626,26.034792666666664,119.19217250000001,38.1,6.45,200.03,1,5,1.43
864222,023030.00,170626,26.034765166666663,119.19216233333333,41.2,5.662,204.18,1,5,1.43
865232,023031.00,170626,26.034721166666667,119.19217166666667,39.1,6.34,202.51,1,6,1.37
866226,023032.00,170626,26.034678500000002,119.192175,37.0,6.554,197.27,1,6,1.37
867226,023033.00,170626,26.034644000000004,119.1921745,36.8,5.565,197.39,1,6,1.37
868228,023034.00,170626,26.034610833333332,119.19217116666665,37.4,6.339,195.16,1,6,1.37
869227,023035.00,170626,26.034576833333336,119.1921685,38.7,7.073,190.94,1,6,1.37
870224,023036.00,170626,26.034537999999998,119.19217099999999,37.0,7.448,187.86,1,6,1.37
871226,023037.00,170626,26.034498666666664,119.19216183333334,39.0,7.979,191.13,1,6,1.37
872225,023038.00,170626,26.034458166666663,119.19215883333332,39.3,7.93,190.19,1,6,1.37
873226,023039.00,170626,26.03442316666667,119.19215433333332,41.2,7.015,189.12,1,5,2.89
874224,023040.00,170626,26.03439283333333,119.19215316666666,43.3,6.322,187.17,1,6,2.89
875224,023041.00,170626,26.034363999999997,119.1921465,45.2,6.386,191.38,1,6,2.89
876229,023042.00,170626,26.034321833333333,119.19214883333333,42.4,7.245,191.52,1,6,1.37
877259,023043.00,170626,26.034279,119.192149,38.5,7.293,192.41,1,6,1.37
878232,023044.00,170626,26.034246833333334,119.19214966666665,37.1,6.543,191.2,1,6,1.37
879226,023045.00,170626,26.034219,119.19215133333334,35.6,5.788,189.56,1,6,1.37
880221,023046.00,170626,26.034197000000002,119.19215666666666,32.9,4.456,189.24,1,6,1.37
881261,023047.00,170626,26.034182666666666,119.19215516666667,33.4,3.128,189.3,1,6,1.37
882222,023048.00,170626,26.03417233333333,119.19215766666666,32.0,1.756,189.97,1,6,1.37
883223,023049.00,170626,26.034162999999996,119.19215633333333,31.3,1.469,194.48,1,6,1.37
884220,023050.00,170626,26.034150833333335,119.19215733333334,30.0,1.807,191.94,1,6,1.37
885222,023051.00,170626,26.03413683333333,119.19215700000001,29.9,2.625,183.45,1,6,1.37
886222,023052.00,170626,26.034121333333328,119.19214850000002,32.1,2.681,188.48,1,6,1.37
887220,023053.00,170626,26.03409866666667,119.19213533333335,34.8,3.823,193.01,1,6,1.37
888221,023054.00,170626,26.034069,119.19213283333332,33.6,5.361,189.66,1,6,1.37
889222,023055.00,170626,26.034040833333332,119.19213050000002,33.7,5.7,187.07,1,6,1.37
890225,023056.00,170626,26.034018,119.19212466666667,35.1,5.082,187.37,1,6,1.37
891223,023057.00,170626,26.033986833333334,119.19210916666667,35.9,6.198,195.83,1,6,1.37
892242,023058.00,170626,26.03395383333333,119.192085,34.0,7.315,211.9,1,6,1.37
893224,023059.00,170626,26.033927666666667,119.19205783333334,35.2,7.459,216.79,1,6,1.37
894223,023100.00,170626,26.03390116666667,119.19202433333334,38.0,7.878,221.41,1,6,1.37
895223,023101.00,170626,26.03387366666667,119.19199466666666,39.8,7.893,222.08,1,6,1.37
896225,023102.00,170626,26.033835,119.19197783333333,37.5,8.362,217.21,1,6,1.37
897222,023103.00,170626,26.033799833333333,119.19194999999999,35.2,9.159,220.92,1,6,1.37
898224,023104.00,170626,26.033766500000002,119.19192616666666,33.4,8.763,222.03,1,6,1.37
899222,023105.00,170626,26.033732499999996,119.19191133333334,29.5,7.359,221.61,1,6,1.37
899608,023106.00,170626,26.033704166666666,119.19190083333334,nan,6.111,219.08,0,0,nan
