# purpose,attitude fusion experiment
# label,level_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
0,level_static,-0.031006,0.013428,1.033447,43.721,0.251908,0.908397,-0.160305,223,208,260
20,level_static,-0.031494,0.016602,1.022217,43.706,0.152672,0.977099,-0.114504,223,208,260
40,level_static,-0.030273,0.011719,1.019043,43.712,0.198473,0.977099,-0.122137,224,207,261
61,level_static,-0.028076,0.015381,1.025635,43.715,0.251908,0.946565,-0.061069,224,207,261
80,level_static,-0.033936,0.016113,1.026855,43.695,0.244275,1.015267,-0.068702,224,207,261
100,level_static,-0.029785,0.014893,1.020508,43.721,0.198473,1.000000,-0.083969,224,207,261
121,level_static,-0.030029,0.018066,1.024170,43.727,0.274809,0.954198,-0.083969,223,207,260
140,level_static,-0.033936,0.012695,1.026855,43.715,0.290076,1.015267,-0.068702,223,207,260
160,level_static,-0.034424,0.015625,1.022705,43.724,0.267176,1.083969,-0.122137,223,207,260
181,level_static,-0.036377,0.013184,1.025146,43.721,0.274809,0.893130,-0.061069,223,207,260
200,level_static,-0.036865,0.015137,1.023193,43.727,0.183206,0.992366,-0.068702,223,207,260
220,level_static,-0.029297,0.015625,1.020996,43.704,0.259542,0.977099,-0.175573,223,207,260
241,level_static,-0.030518,0.016357,1.023438,43.727,0.221374,1.038168,-0.061069,223,208,259
260,level_static,-0.036865,0.014648,1.026367,43.751,0.274809,0.854962,-0.091603,223,208,259
280,level_static,-0.032715,0.014648,1.026611,43.742,0.312977,0.977099,-0.137405,223,208,259
301,level_static,-0.031982,0.015625,1.027344,43.709,0.152672,0.946565,-0.076336,223,208,259
320,level_static,-0.032471,0.018311,1.021240,43.701,0.236641,1.061069,-0.068702,223,208,260
340,level_static,-0.032715,0.015137,1.030029,43.712,0.251908,0.801527,-0.045802,223,208,260
360,level_static,-0.036621,0.010742,1.023682,43.730,0.206107,0.984733,0.000000,223,208,260
380,level_static,-0.031738,0.016846,1.027588,43.730,0.137405,0.946565,-0.099237,223,208,259
400,level_static,-0.035400,0.015625,1.021973,43.721,0.244275,0.984733,0.045802,223,208,259
420,level_static,-0.031982,0.011963,1.026367,43.704,0.236641,1.022901,-0.106870,223,208,259
440,level_static,-0.031982,0.015137,1.025391,43.721,0.221374,0.992366,-0.114504,223,208,259
460,level_static,-0.031738,0.013672,1.029297,43.709,0.282443,0.961832,-0.099237,223,208,259
480,level_static,-0.035889,0.010742,1.021484,43.756,0.160305,0.938931,-0.183206,223,208,259
500,level_static,-0.033203,0.014160,1.020996,43.704,0.160305,0.946565,-0.221374,223,208,259
520,level_static,-0.033691,0.017334,1.025146,43.701,0.244275,1.045802,-0.106870,223,208,259
540,level_static,-0.034668,0.011475,1.029785,43.739,0.229008,1.015267,-0.038168,223,208,259
560,level_static,-0.033447,0.016357,1.029297,43.718,0.206107,1.015267,-0.045802,223,208,259
