# label,height_change
# sample_hz,5
# duration_s,180
# chip_id,0x58
# sda_gpio,21
# scl_gpio,22
# p0_pa,100661.891
t_ms,label,temp_c,pressure_pa,pressure_hpa,relative_alt_m
0,height_change,31.770,100666.422,1006.66425,-0.3805
200,height_change,31.770,100667.844,1006.67847,-0.4967
400,height_change,31.770,100668.383,1006.68384,-0.5443
600,height_change,31.770,100668.734,1006.68732,-0.5707
800,height_change,31.780,100669.867,1006.69867,-0.6711
1001,height_change,31.780,100670.047,1006.70044,-0.6817
1200,height_change,31.780,100670.609,1006.70612,-0.7293
1400,height_change,31.780,100671.438,1006.71436,-0.7980
1600,height_change,31.790,100671.883,1006.71881,-0.8402
1800,height_change,31.790,100672.125,1006.72125,-0.8561
2000,height_change,31.800,100672.797,1006.72797,-0.9142
2200,height_change,31.800,100672.859,1006.72858,-0.9195
2400,height_change,31.810,100673.477,1006.73474,-0.9724
2601,height_change,31.810,100673.797,1006.73798,-0.9988
2800,height_change,31.820,100674.266,1006.74268,-1.0358
3000,height_change,31.820,100674.328,1006.74329,-1.0411
3200,height_change,31.830,100674.859,1006.74860,-1.0886
3400,height_change,31.840,100674.969,1006.74969,-1.0939
3600,height_change,31.840,100675.414,1006.75415,-1.1309
3800,height_change,31.850,100675.609,1006.75610,-1.1520
4000,height_change,31.860,100675.734,1006.75732,-1.1626
4200,height_change,31.860,100676.234,1006.76233,-1.1996
4400,height_change,31.870,100676.141,1006.76141,-1.1943
4600,height_change,31.880,100676.156,1006.76154,-1.1943
4800,height_change,31.880,100676.242,1006.76245,-1.2049
5000,height_change,31.890,100676.172,1006.76172,-1.1943
5200,height_change,31.900,100676.375,1006.76373,-1.2154
5400,height_change,31.900,100676.281,1006.76282,-1.2049
5600,height_change,31.910,100676.398,1006.76398,-1.2154
5800,height_change,31.920,100676.984,1006.76984,-1.2630
6000,height_change,31.920,100677.102,1006.77100,-1.2736
6200,height_change,31.930,100677.008,1006.77008,-1.2683
6400,height_change,31.940,100677.031,1006.77032,-1.2683
6600,height_change,31.940,100677.289,1006.77289,-1.2894
6800,height_change,31.950,100677.789,1006.77789,-1.3317
7000,height_change,31.960,100678.172,1006.78174,-1.3634
7200,height_change,31.960,100678.047,1006.78046,-1.3528
7400,height_change,31.970,100678.313,1006.78314,-1.3793
7600,height_change,31.970,100678.609,1006.78607,-1.4004
7800,height_change,31.980,100678.664,1006.78662,-1.4057
8000,height_change,31.980,100678.867,1006.78870,-1.4215
8200,height_change,31.980,100679.102,1006.79102,-1.4427
8400,height_change,31.980,100679.102,1006.79102,-1.4427
8601,height_change,31.980,100678.867,1006.78870,-1.4215
8800,height_change,31.980,100679.016,1006.79016,-1.4374
9000,height_change,31.970,100679.266,1006.79266,-1.4585
9201,height_change,31.970,100679.359,1006.79358,-1.4638
9400,height_change,31.960,100679.422,1006.79419,-1.4691
9600,height_change,31.950,100679.727,1006.79724,-1.4955
9801,height_change,31.940,100679.766,1006.79767,-1.5008
10000,height_change,31.930,100679.766,1006.79767,-1.5008
10200,height_change,31.920,100679.844,1006.79846,-1.5061
10401,height_change,31.910,100679.875,1006.79877,-1.5061
10600,height_change,31.900,100679.922,1006.79919,-1.5114
10800,height_change,31.890,100679.578,1006.79578,-1.4797
11000,height_change,31.880,100679.430,1006.79431,-1.4691
11200,height_change,31.870,100679.289,1006.79291,-1.4585
11400,height_change,31.860,100679.563,1006.79565,-1.4797
11600,height_change,31.850,100679.602,1006.79602,-1.4850
11800,height_change,31.850,100679.641,1006.79639,-1.4850
12000,height_change,31.830,100679.320,1006.79321,-1.4585
12200,height_change,31.830,100679.773,1006.79773,-1.5008
12400,height_change,31.820,100679.633,1006.79633,-1.4850
12600,height_change,31.810,100679.672,1006.79669,-1.4902
12800,height_change,31.800,100679.766,1006.79767,-1.5008
13000,height_change,31.790,100679.625,1006.79626,-1.4850
13200,height_change,31.790,100679.719,1006.79718,-1.4955
13401,height_change,31.770,100680.000,1006.79999,-1.5167
13600,height_change,31.770,100680.086,1006.80084,-1.5219
13800,height_change,31.760,100680.156,1006.80157,-1.5325
14001,height_change,31.750,100680.313,1006.80310,-1.5431
14200,height_change,31.750,100679.813,1006.79810,-1.5008
14400,height_change,31.740,100679.906,1006.79907,-1.5114
14601,height_change,31.730,100680.117,1006.80115,-1.5272
14800,height_change,31.730,100679.820,1006.79822,-1.5008
15000,height_change,31.720,100679.734,1006.79736,-1.4955
15201,height_change,31.720,100679.594,1006.79596,-1.4850
15400,height_change,31.710,100679.891,1006.79889,-1.5061
15600,height_change,31.710,100679.828,1006.79828,-1.5008
15801,height_change,31.710,100679.750,1006.79749,-1.4955
16000,height_change,31.700,100679.875,1006.79877,-1.5061
16200,height_change,31.700,100679.813,1006.79810,-1.5008
16401,height_change,31.700,100679.781,1006.79779,-1.5008
16600,height_change,31.700,100679.906,1006.79907,-1.5114
16800,height_change,31.690,100679.672,1006.79669,-1.4902
17001,height_change,31.690,100679.844,1006.79846,-1.5061
17200,height_change,31.690,100679.789,1006.79791,-1.5008
17400,height_change,31.690,100679.789,1006.79791,-1.5008
17601,height_change,31.690,100679.969,1006.79968,-1.5167
17800,height_change,31.690,100679.844,1006.79846,-1.5061
18000,height_change,31.700,100680.500,1006.80499,-1.5589
18200,height_change,31.700,100680.531,1006.80530,-1.5642
18400,height_change,31.710,100680.672,1006.80670,-1.5748
18600,height_change,31.720,100680.844,1006.80841,-1.5854
18800,height_change,31.720,100681.344,1006.81342,-1.6276
19000,height_change,31.730,100681.313,1006.81311,-1.6276
19200,height_change,31.730,100681.359,1006.81360,-1.6329
19400,height_change,31.730,100681.359,1006.81360,-1.6329
19600,height_change,31.740,100681.391,1006.81390,-1.6329
19800,height_change,31.740,100681.570,1006.81567,-1.6488
20000,height_change,31.740,100681.570,1006.81567,-1.6488
20200,height_change,31.740,100681.570,1006.81567,-1.6488
20400,height_change,31.730,100681.547,1006.81549,-1.6488
20600,height_change,31.730,100681.906,1006.81909,-1.6752
20800,height_change,31.730,100681.484,1006.81482,-1.6435
21000,height_change,31.730,100681.781,1006.81781,-1.6646
21200,height_change,31.730,100681.727,1006.81726,-1.6646
21400,height_change,31.720,100681.523,1006.81525,-1.6435
21600,height_change,31.720,100681.406,1006.81409,-1.6329
21800,height_change,31.720,100681.766,1006.81763,-1.6646
22000,height_change,31.720,100681.734,1006.81732,-1.6646
22200,height_change,31.710,100681.859,1006.81860,-1.6752
22400,height_change,31.710,100681.797,1006.81799,-1.6699
22600,height_change,31.710,100681.734,1006.81732,-1.6646
22800,height_change,31.700,100681.781,1006.81781,-1.6646
23000,height_change,31.700,100681.516,1006.81519,-1.6435
23200,height_change,31.690,100681.813,1006.81812,-1.6699
23400,height_change,31.680,100681.609,1006.81610,-1.6541
23600,height_change,31.680,100681.289,1006.81287,-1.6276
23800,height_change,31.670,100681.391,1006.81390,-1.6329
24000,height_change,31.660,100681.305,1006.81305,-1.6276
24200,height_change,31.650,100681.578,1006.81580,-1.6488
24400,height_change,31.650,100681.250,1006.81250,-1.6224
24600,height_change,31.640,100681.078,1006.81079,-1.6065
24800,height_change,31.630,100681.391,1006.81390,-1.6329
25000,height_change,31.620,100681.063,1006.81061,-1.6065
