# label,static
# sample_hz,5
# duration_s,300
# chip_id,0x58
# sda_gpio,21
# scl_gpio,22
# p0_pa,100677.422
t_ms,label,temp_c,pressure_pa,pressure_hpa,relative_alt_m
1,static,31.020,100678.750,1006.78748,-0.1110
200,static,31.030,100679.484,1006.79486,-0.1744
400,static,31.040,100679.750,1006.79749,-0.1955
600,static,31.050,100681.617,1006.81616,-0.3541
800,static,31.040,100679.297,1006.79297,-0.1585
1000,static,31.040,100680.609,1006.80609,-0.2695
1200,static,31.050,100677.453,1006.77454,-0.0053
1400,static,31.050,100679.750,1006.79749,-0.1955
1600,static,31.040,100676.508,1006.76508,0.0766
1800,static,31.060,100676.266,1006.76263,0.0978
2000,static,31.060,100675.664,1006.75665,0.1480
2200,static,31.060,100677.805,1006.77808,-0.0317
2400,static,31.070,100677.172,1006.77173,0.0211
2600,static,31.070,100678.547,1006.78546,-0.0951
2800,static,31.080,100681.961,1006.81958,-0.3805
3001,static,31.080,100678.094,1006.78094,-0.0581
3200,static,31.080,100679.844,1006.79846,-0.2008
3400,static,31.080,100682.438,1006.82440,-0.4228
3600,static,31.090,100680.625,1006.80627,-0.2695
3800,static,31.090,100679.070,1006.79071,-0.1374
4000,static,31.090,100678.266,1006.78265,-0.0687
4200,static,31.080,100677.266,1006.77264,0.0132
4400,static,31.090,100674.016,1006.74017,0.2854
4601,static,31.090,100678.359,1006.78357,-0.0793
4800,static,31.080,100678.063,1006.78064,-0.0528
5000,static,31.080,100676.102,1006.76099,0.1110
5200,static,31.080,100676.281,1006.76282,0.0951
5400,static,31.090,100678.531,1006.78534,-0.0951
5600,static,31.080,100673.422,1006.73419,0.3356
5800,static,31.090,100675.984,1006.75983,0.1215
6000,static,31.090,100679.375,1006.79376,-0.1638
6200,static,31.090,100677.375,1006.77374,0.0053
6400,static,31.090,100678.266,1006.78265,-0.0687
6600,static,31.100,100678.922,1006.78925,-0.1268
6800,static,31.090,100679.094,1006.79095,-0.1374
7000,static,31.090,100676.656,1006.76654,0.0634
7200,static,31.090,100676.750,1006.76752,0.0555
7400,static,31.090,100679.688,1006.79688,-0.1902
7600,static,31.100,100676.602,1006.76599,0.0687
7801,static,31.110,100679.242,1006.79242,-0.1533
8000,static,31.100,100677.398,1006.77399,0.0026
8200,static,31.110,100676.594,1006.76593,0.0687
8400,static,31.110,100677.281,1006.77283,0.0106
8600,static,31.110,100675.492,1006.75494,0.1612
8800,static,31.110,100674.250,1006.74249,0.2669
9000,static,31.110,100676.234,1006.76233,0.1004
9200,static,31.100,100674.813,1006.74811,0.2193
9400,static,31.120,100678.375,1006.78375,-0.0793
9600,static,31.120,100678.375,1006.78375,-0.0793
9800,static,31.100,100673.469,1006.73468,0.3303
10000,static,31.120,100679.172,1006.79175,-0.1480
10200,static,31.120,100678.453,1006.78455,-0.0846
10401,static,31.120,100677.297,1006.77295,0.0106
10600,static,31.120,100678.453,1006.78455,-0.0846
10800,static,31.130,100678.953,1006.78955,-0.1268
11000,static,31.120,100678.516,1006.78516,-0.0898
11200,static,31.120,100678.156,1006.78156,-0.0634
11400,static,31.120,100673.641,1006.73639,0.3171
11600,static,31.130,100677.172,1006.77173,0.0211
11800,static,31.130,100677.891,1006.77893,-0.0370
12000,static,31.130,100678.898,1006.78900,-0.1215
12200,static,31.130,100675.031,1006.75031,0.2008
12400,static,31.140,100679.961,1006.79962,-0.2114
12600,static,31.140,100678.805,1006.78802,-0.1163
12800,static,31.140,100677.734,1006.77734,-0.0264
13000,static,31.140,100680.656,1006.80658,-0.2695
13200,static,31.140,100678.531,1006.78534,-0.0951
13400,static,31.150,100677.703,1006.77704,-0.0211
13601,static,31.140,100679.250,1006.79248,-0.1533
13800,static,31.140,100677.023,1006.77026,0.0343
14000,static,31.150,100680.344,1006.80347,-0.2431
14200,static,31.160,100679.063,1006.79065,-0.1374
14400,static,31.160,100679.125,1006.79126,-0.1427
14600,static,31.160,100678.141,1006.78143,-0.0581
14800,static,31.170,100681.227,1006.81226,-0.3171
15000,static,31.160,100678.938,1006.78937,-0.1268
15200,static,31.170,100678.375,1006.78375,-0.0793
15400,static,31.180,100678.133,1006.78131,-0.0581
15600,static,31.180,100680.453,1006.80450,-0.2537
15800,static,31.180,100678.578,1006.78577,-0.0951
16000,static,31.180,100677.500,1006.77502,-0.0053
16201,static,31.180,100678.398,1006.78400,-0.0793
16400,static,31.180,100680.125,1006.80127,-0.2272
16600,static,31.180,100679.531,1006.79529,-0.1744
16800,static,31.190,100679.609,1006.79608,-0.1850
17000,static,31.190,100680.477,1006.80475,-0.2589
17200,static,31.180,100677.563,1006.77563,-0.0106
17400,static,31.190,100679.938,1006.79938,-0.2114
17600,static,31.190,100677.797,1006.77795,-0.0317
17801,static,31.190,100681.094,1006.81091,-0.3065
18000,static,31.190,100678.875,1006.78876,-0.1215
18200,static,31.190,100681.813,1006.81812,-0.3699
18400,static,31.190,100679.438,1006.79437,-0.1691
18600,static,31.190,100679.406,1006.79407,-0.1638
18800,static,31.190,100681.688,1006.81689,-0.3593
19000,static,31.190,100678.156,1006.78156,-0.0634
19200,static,31.190,100679.906,1006.79907,-0.2061
19400,static,31.200,100679.219,1006.79218,-0.1533
19600,static,31.200,100678.563,1006.78564,-0.0951
19800,static,31.200,100678.688,1006.78687,-0.1057
20001,static,31.200,100680.766,1006.80768,-0.2801
20200,static,31.200,100680.109,1006.80109,-0.2272
20400,static,31.200,100677.859,1006.77856,-0.0370
20600,static,31.200,100678.563,1006.78564,-0.0951
20800,static,31.200,100678.148,1006.78149,-0.0634
21000,static,31.210,100679.484,1006.79486,-0.1744
21200,static,31.210,100677.813,1006.77814,-0.0317
21400,static,31.210,100678.055,1006.78052,-0.0528
21600,static,31.210,100678.000,1006.78003,-0.0476
21800,static,31.210,100680.500,1006.80499,-0.2589
22000,static,31.200,100681.719,1006.81720,-0.3593
22200,static,31.210,100678.469,1006.78467,-0.0898
22400,static,31.210,100680.016,1006.80017,-0.2167
22600,static,31.210,100679.422,1006.79419,-0.1691
22800,static,31.210,100678.891,1006.78888,-0.1215
23000,static,31.210,100680.375,1006.80377,-0.2484
23200,static,31.210,100681.922,1006.81921,-0.3752
