# sample_hz,50
# duration_s,120
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
0,-0.065186,0.009521,1.015869,43.871,0.305344,1.053435,-0.160305
20,-0.057373,0.010254,1.021973,43.859,0.335878,1.015267,-0.083969
40,-0.059082,0.010498,1.019043,43.871,0.213740,0.862595,-0.152672
60,-0.065430,0.007813,1.022217,43.889,0.183206,0.992366,-0.137405
80,-0.062256,0.009766,1.025879,43.865,0.320611,0.923664,-0.198473
100,-0.063721,0.011963,1.020264,43.886,0.167939,0.961832,-0.282443
120,-0.063721,0.007568,1.024170,43.883,0.190840,0.908397,-0.007634
140,-0.062012,0.003906,1.016846,43.883,0.229008,1.099237,-0.030534
160,-0.063477,0.006836,1.023682,43.883,0.251908,0.977099,-0.038168
180,-0.064453,0.008301,1.024414,43.892,0.259542,1.038168,-0.114504
200,-0.065186,0.011963,1.024414,43.854,0.160305,1.137405,-0.091603
220,-0.059082,0.011963,1.025635,43.871,0.167939,0.961832,-0.114504
240,-0.062500,0.005371,1.022705,43.845,0.274809,0.977099,-0.221374
260,-0.066162,0.010254,1.024902,43.886,0.244275,0.916031,-0.221374
280,-0.062744,0.007568,1.025146,43.862,0.267176,0.961832,-0.122137
300,-0.064453,0.004883,1.019287,43.880,0.061069,0.961832,-0.091603
321,-0.068115,0.007568,1.024414,43.862,0.366412,0.961832,-0.099237
340,-0.064453,0.007080,1.027100,43.856,0.198473,0.908397,-0.061069
360,-0.062744,0.008057,1.019043,43.865,0.305344,0.931298,-0.045802
380,-0.067139,0.010010,1.026367,43.842,0.343511,0.954198,-0.282443
400,-0.065430,0.005371,1.019287,43.854,0.190840,1.007634,-0.114504
420,-0.062256,0.010010,1.024170,43.892,0.267176,0.854962,-0.091603
440,-0.065918,0.007813,1.020508,43.883,0.206107,0.946565,-0.129771
460,-0.063965,0.009277,1.022949,43.886,0.213740,0.862595,-0.129771
480,-0.062744,0.007813,1.026855,43.868,0.167939,1.022901,-0.160305
500,-0.069092,0.006836,1.021240,43.833,0.190840,0.908397,-0.160305
