# sensor,HMC5883L
# sample_hz,20
# duration_s,90
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw
1,74,90,407
50,76,122,391
100,76,122,391
150,72,118,392
200,85,106,396
250,72,90,403
300,72,90,403
350,67,89,405
400,46,107,395
450,44,132,383
500,44,132,383
550,52,153,371
600,59,191,341
650,47,250,282
700,47,250,282
750,56,261,269
800,49,271,254
850,37,278,245
900,37,278,245
950,51,295,215
1000,77,311,175
1050,92,319,150
1100,92,319,150
1150,108,327,96
1200,129,328,54
1250,131,327,34
1300,131,327,34
1350,142,325,2
1400,152,321,-14
1450,151,320,-26
1500,151,320,-26
1550,153,316,-53
1600,148,310,-78
1650,148,311,-76
1700,148,311,-76
1750,148,318,-54
1800,149,312,-76
1850,160,297,-105
1900,160,297,-105
1951,154,286,-136
2000,148,271,-171
2050,143,237,-219
2100,143,237,-219
2150,132,197,-268
2200,111,154,-308
2250,111,154,-308
2300,104,119,-333
2350,102,95,-348
2400,101,68,-360
2450,101,68,-360
2500,103,48,-368
2550,105,33,-375
2600,101,17,-380
2650,101,17,-380
2700,92,0,-389
2750,84,-16,-396
2800,88,-23,-401
2850,88,-23,-401
2900,89,-36,-407
2950,101,-38,-407
3000,119,-46,-404
3050,119,-46,-404
3100,145,-28,-394
3150,175,-15,-382
3200,190,-11,-373
3250,190,-11,-373
3300,207,-24,-367
3350,205,-45,-369
3400,194,-73,-377
3450,194,-73,-377
3501,186,-92,-382
3550,185,-99,-382
3600,172,-105,-387
3650,172,-105,-387
3700,160,-151,-388
3750,154,-166,-390
3800,139,-204,-389
3850,139,-204,-389
3900,130,-265,-375
3950,118,-294,-365
4000,113,-323,-355
4050,113,-323,-355
4100,92,-367,-333
4150,87,-380,-326
4200,83,-367,-332
4250,83,-367,-332
4300,77,-396,-311
4350,67,-405,-303
4400,58,-409,-297
4450,58,-409,-297
4500,68,-405,-299
4550,88,-388,-308
4600,112,-347,-328
4650,112,-347,-328
4700,154,-332,-323
4751,209,-342,-297
4800,209,-342,-297
4850,246,-343,-278
4900,294,-349,-235
4950,330,-367,-180
5000,330,-367,-180
5051,370,-369,-108
5100,394,-351,-76
5150,417,-329,-21
5200,417,-329,-21
5250,437,-293,37
5300,442,-264,102
5351,443,-233,139
5400,443,-233,139
5450,435,-214,176
5500,424,-209,208
5550,406,-210,241
5600,406,-210,241
5650,382,-217,276
5700,379,-221,280
5750,369,-234,295
5800,369,-234,295
5850,357,-240,304
5900,350,-269,299
