# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
0,-221,-325,319,0
50,-219,-325,319,0
100,-219,-325,319,0
151,-220,-325,320,0
200,-220,-325,318,0
250,-220,-325,321,0
300,-220,-325,321,0
350,-220,-325,319,0
400,-220,-326,320,0
450,-220,-326,320,0
500,-221,-325,320,0
550,-219,-325,319,0
600,-220,-326,320,0
650,-220,-326,320,0
700,-220,-325,320,0
750,-220,-325,320,0
800,-220,-324,321,0
850,-220,-324,321,0
900,-220,-325,320,0
950,-220,-325,319,0
1000,-220,-324,320,0
1050,-220,-324,320,0
1100,-220,-325,321,0
1150,-221,-325,319,0
1200,-220,-325,319,0
1250,-220,-325,319,0
1300,-221,-324,320,0
1350,-220,-326,320,0
1400,-220,-324,321,0
1450,-220,-324,321,0
1500,-220,-325,319,0
1550,-219,-325,319,0
1601,-220,-325,319,0
1650,-220,-325,319,0
1700,-220,-325,319,0
1750,-219,-323,320,0
1800,-220,-324,320,0
1850,-220,-324,320,0
1900,-220,-325,319,0
1950,-220,-325,321,0
2000,-220,-325,320,0
2050,-220,-325,320,0
2100,-221,-325,320,0
2150,-220,-325,319,0
2200,-221,-325,318,0
2250,-221,-325,318,0
2300,-220,-323,318,0
2350,-221,-324,321,0
2400,-220,-325,319,0
2450,-220,-325,319,0
2500,-219,-324,321,0
2550,-220,-325,320,0
2601,-220,-324,319,0
2650,-220,-324,319,0
2700,-220,-325,321,0
2750,-220,-325,321,0
2800,-220,-325,321,0
2850,-220,-325,320,0
2900,-220,-325,319,0
2950,-221,-324,319,0
3000,-221,-324,319,0
3050,-220,-325,320,0
3100,-220,-325,320,0
3150,-221,-325,320,0
3200,-221,-325,320,0
3250,-219,-324,320,0
3300,-220,-325,320,0
3350,-220,-324,320,0
3400,-220,-324,320,0
3450,-219,-325,321,0
3501,-220,-325,320,0
3550,-221,-324,319,0
3600,-221,-324,319,0
3650,-220,-324,320,0
3700,-220,-323,319,0
3750,-220,-324,319,0
3800,-220,-324,319,0
3850,-221,-325,320,0
3900,-220,-324,320,0
3950,-219,-324,321,0
4000,-219,-324,321,0
4050,-220,-324,319,0
4100,-220,-324,319,0
4150,-220,-325,320,0
4200,-220,-325,320,0
4250,-219,-325,320,0
4300,-220,-325,320,0
4350,-220,-325,320,0
4400,-220,-325,320,0
4450,-220,-325,319,0
4500,-219,-325,319,0
4550,-219,-324,320,0
4600,-219,-324,320,0
4650,-220,-325,319,0
4700,-221,-326,318,0
4750,-221,-325,320,0
4800,-221,-325,320,0
4850,-219,-325,320,0
4900,-219,-325,320,0
4950,-220,-325,320,0
5000,-220,-325,320,0
5050,-218,-326,321,0
5100,-221,-325,320,0
5150,-220,-325,321,0
5200,-220,-325,321,0
5250,-220,-325,321,0
5300,-220,-324,319,0
5350,-220,-324,319,0
5400,-221,-325,320,0
5450,-220,-325,320,0
5500,-220,-324,320,0
5550,-220,-324,320,0
5600,-219,-325,321,0
5650,-221,-324,320,0
5700,-218,-324,320,0
5750,-218,-324,320,0
5800,-220,-325,320,0
5850,-220,-325,320,0
5900,-219,-324,320,0
5950,-219,-324,320,0
6000,-220,-324,320,0
6050,-221,-325,318,0
6100,-221,-325,320,0
6150,-221,-325,320,0
6200,-220,-324,321,0
6250,-220,-325,319,0
6300,-221,-323,319,0
6350,-221,-323,319,0
6400,-219,-325,320,0
6450,-220,-324,320,0
6500,-220,-325,320,0
6550,-220,-325,320,0
6600,-219,-325,320,0
6650,-220,-325,320,0
6700,-221,-324,319,0
6750,-221,-324,319,0
6800,-220,-326,321,0
6850,-220,-326,320,0
6900,-220,-325,319,0
6950,-220,-325,319,0
7000,-219,-325,321,0
7050,-220,-323,319,0
7100,-219,-325,319,0
7150,-219,-325,319,0
7200,-220,-324,319,0
7250,-221,-325,320,0
7300,-221,-325,319,0
7350,-221,-325,319,0
7400,-221,-324,319,0
7450,-222,-326,319,0
7500,-220,-324,320,0
7550,-220,-324,320,0
7600,-220,-324,320,0
7650,-220,-325,320,0
7700,-220,-325,320,0
7750,-220,-325,320,0
7800,-219,-324,319,0
7850,-220,-325,320,0
7900,-220,-325,321,0
7950,-220,-325,321,0
8000,-220,-325,320,0
8050,-219,-325,320,0
8100,-219,-325,320,0
8150,-220,-326,320,0
8200,-221,-325,320,0
8250,-219,-324,321,0
8300,-219,-324,321,0
8350,-220,-325,319,0
8400,-221,-324,319,0
8450,-220,-326,319,0
8500,-220,-326,319,0
8550,-220,-326,320,0
8600,-220,-324,319,0
8650,-220,-324,321,0
8700,-220,-324,321,0
8750,-221,-324,321,0
8800,-221,-325,321,0
8850,-221,-325,319,0
8900,-221,-325,319,0
8950,-220,-325,319,0
9000,-221,-324,321,0
9050,-220,-325,319,0
9100,-220,-325,319,0
9150,-220,-324,319,0
9200,-220,-326,320,0
9250,-220,-325,321,0
9300,-220,-325,321,0
9350,-220,-325,320,0
9400,-220,-325,319,0
9450,-220,-324,322,0
9500,-220,-324,322,0
9550,-219,-324,320,0
9600,-221,-325,319,0
9650,-221,-325,319,0
9700,-221,-325,319,0
9750,-219,-325,320,0
9800,-221,-324,320,0
9850,-221,-325,319,0
9900,-221,-325,319,0
9950,-220,-324,319,0
10000,-219,-325,322,0
10050,-220,-325,320,0
10100,-220,-325,320,0
10150,-221,-325,319,0
10200,-220,-325,321,0
10250,-220,-325,320,0
10300,-220,-325,320,0
10350,-222,-324,320,0
10400,-220,-325,321,0
10450,-220,-326,321,0
10500,-221,-326,322,0
10550,-220,-325,320,0
10600,-221,-325,319,0
10650,-221,-325,319,0
10700,-220,-325,319,0
10751,-221,-324,319,0
10800,-221,-324,320,0
10850,-221,-324,320,0
10900,-221,-325,321,0
10950,-220,-325,320,0
11000,-221,-324,320,0
11050,-221,-324,320,0
11100,-220,-325,320,0
11150,-221,-324,321,0
11200,-220,-325,320,0
11250,-220,-325,320,0
11300,-220,-325,319,0
11350,-221,-324,319,0
11400,-220,-324,319,0
11450,-220,-324,319,0
11500,-221,-325,319,0
11550,-221,-324,318,0
11600,-221,-325,320,0
11650,-221,-325,320,0
11700,-220,-325,319,0
11751,-220,-324,319,0
11800,-220,-324,319,0
11850,-220,-324,319,0
11900,-220,-325,321,0
11950,-220,-325,320,0
12000,-221,-325,320,0
12050,-221,-325,320,0
12100,-220,-324,319,0
12150,-220,-325,320,0
12200,-220,-324,321,0
12250,-220,-324,321,0
12300,-220,-325,320,0
12350,-220,-323,320,0
12400,-220,-325,320,0
12450,-220,-325,320,0
12500,-220,-324,319,0
12550,-222,-324,318,0
12600,-221,-325,321,0
12650,-221,-325,321,0
12700,-221,-324,319,0
12750,-220,-325,320,0
12800,-221,-326,320,0
12850,-221,-326,320,0
12900,-220,-326,320,0
12950,-220,-325,320,0
13000,-220,-324,319,0
13050,-220,-324,319,0
13100,-220,-324,319,0
13150,-220,-324,320,0
13200,-220,-324,320,0
13250,-220,-326,318,0
13300,-222,-325,320,0
13350,-220,-324,319,0
13400,-220,-324,319,0
13450,-221,-325,319,0
13500,-221,-324,320,0
13550,-221,-325,319,0
13600,-221,-325,319,0
13651,-222,-324,319,0
13700,-220,-325,320,0
13750,-221,-325,321,0
13800,-221,-325,321,0
13850,-220,-324,318,0
13900,-221,-325,320,0
13950,-220,-326,320,0
14000,-220,-326,320,0
14050,-220,-324,321,0
14100,-222,-325,319,0
14150,-221,-325,319,0
14200,-221,-325,319,0
14250,-220,-325,319,0
14300,-220,-325,320,0
14350,-221,-324,320,0
14400,-221,-324,320,0
14450,-220,-324,319,0
14500,-221,-325,321,0
14550,-222,-325,318,0
14600,-222,-325,318,0
14650,-220,-325,318,0
14700,-220,-325,320,0
14750,-221,-325,320,0
14800,-221,-325,320,0
14850,-220,-324,319,0
14900,-221,-325,319,0
14950,-221,-324,320,0
15000,-221,-324,320,0
15050,-220,-325,320,0
15100,-220,-325,319,0
15151,-220,-325,320,0
15200,-220,-325,320,0
15250,-221,-325,320,0
15300,-222,-325,320,0
15350,-222,-325,320,0
