# label,wifi_on_scan
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
0,172,260,163,1
2504,172,260,163,1
2506,172,260,163,1
2508,172,260,163,1
2510,172,260,163,1
2512,172,260,163,1
2514,172,260,163,1
2516,172,260,163,1
2518,172,260,163,1
2520,172,260,163,1
2522,172,260,163,1
2524,172,260,163,1
2526,172,260,163,1
2528,172,260,163,1
2530,172,260,163,1
2532,172,260,163,1
2534,172,260,163,1
2536,172,260,163,1
2538,172,260,163,1
2540,172,260,163,1
2542,172,260,163,1
2543,172,259,164,1
2545,172,259,164,1
2547,172,259,164,1
2549,172,259,164,1
2551,172,259,164,1
2553,172,259,164,1
2555,172,259,164,1
2557,172,259,164,1
2559,172,259,164,1
2561,172,259,164,1
2563,172,259,164,1
2565,172,259,164,1
2567,172,259,164,1
2569,172,259,164,1
2571,172,259,164,1
2573,172,259,164,1
2575,172,259,164,1
2577,172,259,164,1
2579,172,259,164,1
2581,172,259,164,1
2583,172,259,164,1
2585,172,259,164,1
2587,172,259,164,1
2589,172,259,164,1
2591,172,259,164,1
2593,172,259,164,1
2595,172,259,164,1
2597,172,259,164,1
2599,172,259,164,1
2601,172,259,164,1
2603,172,259,164,1
2605,172,259,164,1
2650,171,260,163,1
2700,172,260,165,1
2750,172,259,164,1
2800,172,259,164,1
2850,172,260,166,1
2900,172,260,164,1
2950,173,260,164,1
3000,173,260,164,1
3050,172,261,165,1
3100,171,260,165,1
3150,172,260,165,1
3200,172,260,165,1
3250,172,260,164,1
3300,172,261,164,1
3350,173,261,165,1
3400,173,261,165,1
3450,174,260,164,1
3500,171,261,164,1
3550,171,259,163,1
3600,171,259,163,1
3650,172,258,165,1
3700,172,261,164,1
3750,172,260,165,1
3800,172,260,165,1
3851,172,260,165,1
3900,172,259,164,1
3951,172,259,164,1
4000,172,259,164,1
4051,173,260,164,1
4100,172,260,164,1
4150,172,260,164,1
4200,173,261,164,1
4250,173,260,164,1
4300,171,261,165,1
4350,171,261,165,1
4400,172,262,165,1
4450,172,261,164,1
4500,172,259,165,1
4550,172,259,165,1
4600,171,259,164,1
4650,172,261,165,1
4700,172,261,165,1
4750,172,261,165,1
