t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
0.0,100666.422,31.77,0.8225261711256904,0.8225261711256904,0.0,0.19994839152273997
0.2,100667.844,31.77,0.7033664625766711,0.7614198238836101,-0.15306942412215083,0.20224084935246692
0.4,100668.383,31.77,0.6582000938119437,0.6884963103799164,-0.24817259635456146,0.215587833870899
0.6,100668.734,31.77,0.6287875916034236,0.6331371269160491,-0.25844770927972,0.21289240558950653
0.8,100669.867,31.78,0.5338469473724228,0.5565854468624903,-0.29507611446286525,0.20410483253745235
1.001,100670.047,31.78,0.5187637825701064,0.5074778480191457,-0.282269668326851,0.19460033567782184
1.2,100670.609,31.78,0.4716709307606648,0.4601013190596363,-0.27251420650557834,0.1855975265287217
1.4,100671.438,31.78,0.4022051731798837,0.40424925898983255,-0.2738774845562607,0.17808207207721283
1.6,100671.883,31.79,0.3649167488742666,0.3551933128085569,-0.26846757567475776,0.17187224230765852
1.8,100672.125,31.79,0.34463860561637305,0.31656562596370347,-0.25481659637078025,0.16689866832872732
2.0,100672.797,31.8,0.2883292577507224,0.27317694814076077,-0.24812031070547083,0.16304252275207057
2.2,100672.859,31.8,0.2831340653966763,0.2427148670291743,-0.23137066722422953,0.16016074854938214
2.4,100673.477,31.81,0.23134987030544285,0.20738038047012797,-0.22183339212908998,0.15809660074919243
2.601,100673.797,31.81,0.20453614875006743,0.1756570883498993,-0.21059305110050808,0.1567835704421703
2.8,100674.266,31.82,0.16523741278795523,0.14332628010445977,-0.20219047019385789,0.15575249826344728
3.0,100674.328,31.82,0.16004228181141555,0.1201519709397332,-0.18697699488425462,0.1552153839846647
3.2,100674.859,31.83,0.11554860489646046,0.09262389849020226,-0.17824895388157969,0.15491947412992824
3.4,100674.969,31.84,0.10633148277590543,0.07179829009747285,-0.16510042558944393,0.1547746327438292
3.6,100675.414,31.84,0.06904411743036909,0.04786149323145247,-0.1570297069558476,0.1547159531967438
3.8,100675.609,31.85,0.05270475219249726,0.027332335910276853,-0.14735612404881396,0.15470041294500658
4.0,100675.734,31.86,0.042230813597378125,0.01117478893433454,-0.1355104608027713,0.15470209616382924
4.2,100676.234,31.86,0.00033516451493298405,-0.01104722464239263,-0.1311682328185266,0.15470723295871017
4.4,100676.141,31.87,0.00812774248931225,-0.023654086627704414,-0.11904478897890954,0.15470986543315116
4.6,100676.156,31.88,0.006870874677343819,-0.0311581290425135,-0.10454139834585159,0.15470850648411444
4.8,100676.242,31.88,-0.0003351645050897467,-0.036543461519279626,-0.09073614839874888,0.15470382902765822
5.0,100676.172,31.89,0.0055302158498393705,-0.03662179863084071,-0.07466911955061713,0.1546972368042436
5.2,100676.375,31.9,-0.0114793780710154,-0.039532115365207836,-0.06397885996122098,0.15469009625935512
5.4,100676.281,31.9,-0.0036030178366597276,-0.03771091944480199,-0.05098359332624481,0.15468341060634389
5.6,100676.398,31.91,-0.013406571689189573,-0.03755842400163252,-0.041782911168538994,0.1546777553905364
5.8,100676.984,31.92,-0.06250799322202294,-0.05089208662153131,-0.0462075887831681,0.15467334442288058
6.0,100677.102,31.92,-0.07239528219526559,-0.06381135261733899,-0.04947714650172928,0.154670141435147
6.2,100677.008,31.93,-0.06451896800757417,-0.07095108093865296,-0.04702728271582328,0.15466796978631653
6.4,100677.031,31.94,-0.06644615182188396,-0.07618446955957692,-0.043318213614116745,0.15466659854734416
6.6,100677.289,31.94,-0.08806410227530925,-0.08581265707488787,-0.04417572408308481,0.15466579947977016
6.8,100677.789,31.95,-0.1299592274071526,-0.1052384026290642,-0.05359115867174501,0.15466537805681457
7.0,100678.172,31.96,-0.1620507793051318,-0.12978115321503617,-0.06588171943605399,0.15466518515483646
7.2,100678.047,31.96,-0.15157704607931644,-0.14554266299660035,-0.06818004335409257,0.15466511643272876
7.4,100678.313,31.97,-0.17386513774379608,-0.1635834202018856,-0.07209605984435513,0.15466510526124383
7.6,100678.609,31.97,-0.1986668679089898,-0.18420022736975367,-0.07760599882948309,0.1546651133846888
7.8,100678.664,31.98,-0.20327529099660957,-0.20078729825235975,-0.0785536058001588,0.1546651218803577
8.0,100678.867,31.98,-0.2202845440215473,-0.2176336699230289,-0.07956324945616625,0.15466512369730437
8.2,100679.102,31.98,-0.23997502391731595,-0.23547440990467178,-0.08127740640509393,0.15466511817480816
8.4,100679.102,31.98,-0.23997502391731595,-0.2482043843993641,-0.07814307674483788,0.15466510742123193
8.601,100678.867,31.98,-0.2202845440215473,-0.2508104105405552,-0.06649608876580257,0.1547613618631271
8.8,100679.016,31.98,-0.23276915049007751,-0.254666979272254,-0.05816023846080266,0.1546362064890425
9.0,100679.266,31.97,-0.25371644315935304,-0.2625262585268821,-0.0548060671177943,0.1546448971645853
9.201,100679.359,31.97,-0.26150882529268227,-0.26992938342557793,-0.051594070346770805,0.15474725439441292
9.4,100679.422,31.96,-0.2667875324561031,-0.2761769835201773,-0.048020423745626414,0.15462637844091048
9.6,100679.727,31.95,-0.2923431404197063,-0.28774846911171686,-0.04976954108132326,0.1546380486489018
