index,t_s,source_file,gps_lat,gps_lon,gps_alt_m,gps_e_m,gps_n_m,gps_u_m,eskf_lat,eskf_lon,eskf_alt_m,eskf_e_m,eskf_n_m,eskf_u_m,vel_e_mps,vel_n_mps,vel_u_mps,yaw_deg,sigma_e_m,sigma_n_m,sigma_u_m,innovation_xy_m,gps_update_accepted,satellites,hdop
0,0.378,gps_nmea_0001.txt,26.030523499999997,119.19304033333334,18.4,-2.030353321697299,2.500969070344693,-0.9150000000000027,26.030523499999997,119.19304033333334,18.4,-2.030353321697299,2.500969070344693,-0.9150000000000027,0.0,0.12987273932640875,0.0,0.0,2.6223870419720545,2.6223870419720545,6.246950475544242,0.0,1,8,1.1
1,1.373,gps_nmea_0001.txt,26.030524666666665,119.19304033333334,18.4,-2.030353321697299,2.630841809671102,-0.9150000000000027,26.030524663943883,119.19304033333334,18.4,-2.030353321697299,2.630538710831525,-0.9150000000000027,0.0,0.12999990383365254,0.0,0.0,2.2491111684459977,2.2491111684459977,5.235201900920477,0.0006493636966320437,1,8,1.1
2,2.37,gps_nmea_0001.txt,26.03052566666667,119.19303999999998,18.4,-2.063695758930474,2.7421613009742933,-0.9150000000000027,26.03052573744313,119.1930401460066,18.4,-2.0490911113792634,2.7500401005720767,-0.9150000000000027,-0.008132107561919717,0.12561285884928575,0.0,0.0,2.3089324390957917,2.3089324390957917,5.175504561837146,0.037884846374786056,1,8,1.1
3,3.428,gps_nmea_0001.txt,26.03052716666667,119.19303999999998,18.4,-2.063695758930474,2.9091405371381076,-0.9150000000000027,26.03052706679252,119.19304002545572,18.4,-2.0611494909522516,2.898022597801244,-0.9150000000000027,-0.00942791582842959,0.13127083272418028,0.0,0.0,2.336914511356656,2.336914511356656,5.3400996551086815,0.026880420563119328,1,8,1.1
4,4.371,gps_nmea_0001.txt,26.0305285,119.19304016666668,18.5,-2.047024538892413,3.057566524487733,-0.8150000000000013,26.03052834917992,119.19304005862568,18.443536762100962,-2.05783158756352,3.040777310270264,-0.8714632378990392,-0.0053907045020102,0.13754281389714043,0.011991476542765804,0.0,2.2432134630051084,2.2432134630051084,5.278591454603798,0.042522584525815615,1,8,1.1
5,5.41,gps_nmea_0001.txt,26.030529666666666,119.19304033333334,18.5,-2.030353321697299,3.187439263814141,-0.8150000000000013,26.03052965003461,119.19304017027342,18.47486825538666,-2.0466637657717652,3.185587791828419,-0.840131744613341,-0.00038836283319570574,0.1381106522356024,0.016642956935827326,0.0,2.1929245491963654,2.1929245491963654,5.239096859433861,0.03329164745937813,1,8,1.1
6,6.372,gps_nmea_0001.txt,26.0305315,119.19303999999998,18.7,-2.063695758930474,3.3915249968153622,-0.615000000000002,26.0305311534354,119.19304008792297,18.57520398179065,-2.054901059544511,3.352945602406514,-0.7397960182093504,-0.002629265641640565,0.14794074073378075,0.035650293941959454,0.0,2.116154564527368,2.116154564527368,5.080069216984325,0.07494946353055024,1,8,1.1
7,7.37,gps_nmea_0001.txt,26.030533,119.19303966666666,18.8,-2.0970381918992276,3.558504232979176,-0.5150000000000006,26.03053271657299,119.1930398818722,18.683376938844244,-2.075511763402057,3.526953282513496,-0.6316230611557556,-0.007669693269137443,0.15532841688367713,0.0508793217763984,0.0,2.078048752826796,2.078048752826796,4.955188010107954,0.07010914330614837,1,8,1.1
8,8.414,gps_nmea_0001.txt,26.030535,119.19303933333335,19.0,-2.1303806248679824,3.7811432147945867,-0.3150000000000013,26.030534546415524,119.1930395903808,18.833995767318356,-2.1046688607025255,3.730650422001331,-0.48100423268164516,-0.01357948805713621,0.16693407885851658,0.07028317570384505,0.0,2.0691702870782946,2.0691702870782946,4.8663085566207425,0.10327148584246146,1,8,1.1
9,9.371,gps_nmea_0001.txt,26.030536999999995,119.19303916666668,19.1,-2.1470518420630955,4.003782195819025,-0.21499999999999986,26.030536427037315,119.19303933194645,18.970797796939273,-2.1305193515232013,3.9400002818491116,-0.34420220306072946,-0.01722040796970393,0.18098065218480178,0.08378080684114658,0.0,2.0370643702540194,2.0370643702540194,4.732213957888504,0.11712260948444235,1,8,1.1
