item,value,unit,note
model,offline_15d_simplified_eskf,,
state_dimension,15,dim,"dx=[dp,dv,dtheta,dbg,dba]"
nominal_state,"p(3), v(3), q(4), bg(3), ba(3)",,
input_mode,gps_only_fallback,,no synchronized IMU in current outdoor dataset
gps_points_source,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\analysis\gps_track_points_offline_20260629_215118.csv,,
phone_reference_source,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\analysis\gps_phone_reference_points_20260629.csv,,
gps_quality_filter,satellites>=4 and HDOP<=5,,
gps_quality_points,1364,points,
eskf_states,1364,states,
gps_updates_accepted,1364,updates,
gps_updates_rejected,0,updates,large innovation gate
gps_filtered_distance,1641.0515707834804,m,
eskf_distance,1456.7466679654221,m,
gps_matched30_points,1305,points,nearest distance <= 30 m
eskf_matched30_points,1306,points,nearest distance <= 30 m
gps_matched30_median,2.460848864215104,m,
eskf_matched30_median,2.499100466270053,m,
gps_matched30_p95,12.617556934186249,m,
eskf_matched30_p95,12.340473697254758,m,
gps_filtered_to_phone_mean_m,7.179902607688474,m,nearest distance to phone reference
gps_filtered_to_phone_median_m,2.5605996795490364,m,nearest distance to phone reference
gps_filtered_to_phone_p95_m,18.274665978017428,m,nearest distance to phone reference
gps_filtered_to_phone_max_m,137.06861566097626,m,nearest distance to phone reference
eskf_to_phone_mean_m,7.275935754118731,m,nearest distance to phone reference
eskf_to_phone_median_m,2.589906646102227,m,nearest distance to phone reference
eskf_to_phone_p95_m,16.792583215482427,m,nearest distance to phone reference
eskf_to_phone_max_m,139.32375612241208,m,nearest distance to phone reference
mean_innovation_xy,1.4165754057941664,m,
median_innovation_xy,0.8676780740233623,m,
final_sigma_e,3.2176338243811604,m,
final_sigma_n,3.2176338243811604,m,
final_sigma_u,4.882330971124547,m,
