item,value,unit,note
source_csv,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\fusion_comparison\imu_gps_sync\imu_gps_sync_offline_20260701_223520.csv,,synchronized IMU+GPS log
rows,5975,rows,
eskf_states,4776,states,
duration,627.528,s,
sample_rate,7.838100910137976,Hz,from t_ms
gps_usable_rows,1116,rows,
pos_updates,157,updates,GPS position updates accepted
vel_updates,0,updates,GPS velocity updates accepted
gps_rejects,959,updates,position innovation gate rejects
gps_measurement_distance,632.4790528440715,m,GPS measurement horizontal path length
eskf_latlon_distance,193930.576674053,m,ESKF estimated lat/lon path length
eskf_enu_distance,194600.48388186138,m,ESKF ENU horizontal path length
pos_innovation_median,36865.10134651246,m,
pos_innovation_p95,151361.56078668553,m,
vel_innovation_median,0.0,m/s,
vel_innovation_p95,0.0,m/s,
final_sigma_e,1941798.3723993376,m,
final_sigma_n,639164.3867451627,m,
final_sigma_ve,10719.142263821368,m/s,
final_sigma_vn,1276.8351918846204,m/s,
