item,value,unit,note
source_csv,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\fusion_comparison\imu_gps_sync\imu_gps_sync_offline_20260701_223520.csv,,ESP32 synchronized IMU/GPS CSV
source_gpx,F:\mechineSight\stm32\罗丹\大作业\data\20260701户外步行.gpx,,phone GNSS reference GPX
esp_rows,5975,rows,
esp_duration,762.302,s,
esp_sample_rate_mean,7.836789094086071,Hz,from t_ms
esp_sample_rate_median,8.333333333333334,Hz,from t_ms
esp_gps_usable_points,1116,points,
esp_satellites_median,6.0,count,
esp_hdop_median,1.64,,
phone_gpx_points,439,points,
phone_gpx_distance_extension,788.09,m,from GPX extension
phone_gpx_distance_calculated,770.1479441013017,m,polyline distance
esp_gps_distance,632.4765668926548,m,quality-filtered GPS polyline
eskf_distance,912.8473840872983,m,robust ESKF state polyline
phone_span_east,145.4262155460948,m,
phone_span_north,282.63680550432633,m,
esp_span_east,88.5252038152537,m,
esp_span_north,233.98243769833118,m,
eskf_span_east,89.57373067372862,m,
eskf_span_north,234.51333568769957,m,
esp_to_phone_median,2.802045859705733,m,nearest distance to phone track
esp_to_phone_p90,14.182457324280602,m,nearest distance to phone track
esp_to_phone_p95,15.754668597029323,m,nearest distance to phone track
eskf_to_phone_median,4.879640378973529,m,nearest distance to phone track
eskf_to_phone_p90,13.19901932489933,m,nearest distance to phone track
eskf_to_phone_p95,15.370428316672403,m,nearest distance to phone track
eskf_position_updates,1116,updates,
eskf_velocity_updates,475,updates,GPS position difference pseudo velocity
eskf_soft_resets,0,events,"adaptive covariance inflation, not rejected"
eskf_gps_skips,94,updates,GPS updated but not usable
innovation_median,0.31833090493552413,m,before update
innovation_p95,2.343938985100616,m,before update
state_csv,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\analysis\eskf_15d_sync_robust_states_20260701_223520.csv,,
innovation_csv,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\analysis\eskf_15d_sync_robust_innovations_20260701_223520.csv,,
overlay_png,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\figures\gps_phone_esp32_eskf_overlay_20260701_223520.png,,
overlay_html,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\figures\gps_phone_esp32_eskf_overlay_20260701_223520.html,,folium map
innovation_png,F:\mechineSight\stm32\罗丹\大作业\sensor-final-project\data\figures\eskf_15d_sync_robust_innovation_20260701_223520.png,,
