t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
0,63,-300,294,-19.695625,-201.815516,338.883075,1
50,78,-258,317,-4.466666,-161.074083,361.611915,1
100,103,-243,324,20.828736,-146.365291,368.296571,1
150,103,-243,324,20.828736,-146.365291,368.296571,1
201,103,-227,330,20.885140,-130.852423,374.203068,1
250,98,-225,331,15.838406,-128.952876,375.245979,1
300,98,-238,327,15.783778,-141.567858,371.337053,1
350,98,-238,327,15.783778,-141.567858,371.337053,1
400,92,-250,321,9.695036,-153.227814,365.441630,1
450,77,-267,314,-5.512418,-169.811987,358.681040,1
500,63,-287,303,-19.691281,-189.262116,347.878302,1
550,63,-287,303,-19.691281,-189.262116,347.878302,1
600,59,-306,291,-23.750250,-207.652790,335.945420,1
650,70,-330,275,-12.651664,-230.755616,319.854230,1
700,84,-369,243,1.529144,-268.252083,287.641454,1
751,84,-369,243,1.529144,-268.252083,287.641454,1
800,90,-403,210,7.674459,-300.923741,254.430289,1
850,88,-428,177,5.803409,-324.886213,221.188728,1
900,86,-440,164,3.826080,-336.430767,208.132257,1
950,86,-440,164,3.826080,-336.430767,208.132257,1
1000,81,-446,155,-1.178459,-342.201439,199.101098,1
1050,74,-453,142,-8.170576,-348.911610,186.033327,1
1100,69,-458,129,-13.127591,-353.658843,172.920811,1
1150,69,-458,129,-13.127591,-353.658843,172.920811,1
1200,66,-461,126,-16.150073,-356.566302,169.936150,1
1250,61,-463,119,-21.145539,-358.464914,162.890245,1
1300,58,-468,112,-24.142387,-363.271453,155.861176,1
1350,58,-468,112,-24.142387,-363.271453,155.861176,1
1400,56,-468,110,-26.142782,-363.261413,153.846769,1
1450,58,-469,110,-24.129570,-364.220993,153.838972,1
1500,58,-469,110,-24.129570,-364.220993,153.838972,1
1550,61,-469,108,-21.078694,-364.174470,151.774281,1
1600,65,-469,110,-17.057792,-364.169917,153.768575,1
1650,72,-467,117,-10.041817,-362.256712,160.794367,1
1700,72,-467,117,-10.041817,-362.256712,160.794367,1
1750,75,-464,120,-7.019336,-359.349253,163.779028,1
1800,76,-461,127,-6.057589,-356.505653,170.852843,1
1850,73,-451,143,-9.176293,-346.982877,187.036011,1
1901,73,-451,143,-9.176293,-346.982877,187.036011,1
1950,67,-444,153,-15.287309,-340.330610,197.182738,1
2000,60,-439,162,-22.413115,-335.621670,206.346894,1
2050,57,-432,172,-25.493369,-328.947513,216.463450,1
2100,57,-432,172,-25.493369,-328.947513,216.463450,1
2150,54,-420,186,-28.577367,-317.451758,230.587465,1
2200,57,-408,200,-25.599841,-305.912224,244.651140,1
2250,61,-396,215,-21.622117,-294.377711,259.722018,1
2300,61,-396,215,-21.622117,-294.377711,259.722018,1
2350,60,-386,225,-22.659973,-284.766442,269.781512,1
2400,65,-382,228,-17.609687,-280.870218,272.733743,1
2450,70,-384,227,-12.562953,-282.769765,271.690832,1
2500,70,-384,227,-12.562953,-282.769765,271.690832,1
2550,75,-381,230,-7.519963,-279.847713,274.655380,1
2600,83,-380,231,0.559309,-278.827484,275.579870,1
2650,92,-380,232,9.641539,-278.774133,276.506620,1
2700,92,-380,232,9.641539,-278.774133,276.506620,1
2750,96,-378,233,13.687091,-276.808917,277.459020,1
2800,96,-375,236,13.678811,-273.923348,280.473851,1
2850,97,-379,234,14.679992,-277.788110,278.478540,1
2900,97,-379,234,14.679992,-277.788110,278.478540,1
2950,107,-399,210,24.877963,-296.903009,254.210059,1
3000,117,-425,179,35.102553,-321.776729,222.894655,1
3050,122,-435,162,40.251822,-331.272596,205.674113,1
3100,122,-435,162,40.251822,-331.272596,205.674113,1
3150,121,-442,153,39.281003,-337.988254,196.615043,1
3201,120,-448,143,38.327537,-343.717423,186.526397,1
3250,117,-456,128,35.389253,-351.347949,171.396196,1
3300,117,-456,128,35.389253,-351.347949,171.396196,1
3350,118,-469,103,36.556070,-363.696988,146.114749,1
3400,119,-484,68,37.808861,-377.871208,110.685333,1
3450,121,-495,26,40.171489,-388.055223,68.075772,1
3500,121,-495,26,40.171489,-388.055223,68.075772,1
3550,117,-502,-8,36.421324,-394.484858,33.615367,1
3600,111,-507,-45,30.695415,-398.943790,-3.901339,1
3650,102,-508,-74,21.887476,-399.626452,-33.299058,1
3700,102,-508,-74,21.887476,-399.626452,-33.299058,1
3750,95,-507,-95,15.034185,-398.444707,-54.603443,1
3800,90,-507,-103,10.063368,-398.382658,-62.691241,1
3850,90,-507,-104,10.073425,-398.370341,-63.708501,1
3900,90,-507,-104,10.073425,-398.370341,-63.708501,1
3950,87,-507,-106,7.062776,-398.367597,-65.712852,1
4000,81,-506,-104,0.988435,-397.461836,-63.630307,1
4050,78,-508,-94,-2.157487,-399.555237,-53.402902,1
4100,78,-508,-94,-2.157487,-399.555237,-53.402902,1
4150,71,-507,-86,-9.302423,-398.730672,-45.206740,1
4200,68,-507,-86,-12.333185,-398.752561,-45.176570,1
4250,68,-507,-86,-12.333185,-398.752561,-45.176570,1
4300,67,-507,-88,-13.323325,-398.735225,-47.201034,1
4350,69,-507,-91,-11.272647,-398.683682,-50.272928,1
4400,72,-507,-96,-8.191602,-398.600210,-55.389399,1
4451,72,-507,-96,-8.191602,-398.600210,-55.389399,1
4500,71,-507,-100,-9.161629,-398.558240,-59.448383,1
4550,71,-507,-96,-9.201856,-398.607507,-55.379342,1
4600,71,-508,-90,-9.269492,-399.655579,-49.263464,1
4650,71,-508,-90,-9.269492,-399.655579,-49.263464,1
4700,73,-508,-80,-7.349551,-399.764151,-39.110976,1
4750,76,-508,-60,-4.519923,-399.988592,-18.795941,1
4800,78,-505,-32,-2.759112,-397.396343,9.630282,1
4850,78,-505,-32,-2.759112,-397.396343,9.630282,1
4900,77,-503,-8,-3.996134,-395.750891,34.029951,1
4950,74,-499,13,-7.208901,-392.134735,55.373319,1
5000,75,-490,44,-6.444736,-383.741694,86.787481,1
5050,75,-490,44,-6.444736,-383.741694,86.787481,1
5100,75,-476,86,-6.764966,-370.620567,129.339979,1
5150,74,-460,123,-8.030574,-355.496807,166.791599,1
5200,76,-449,142,-6.120881,-345.000325,185.963948,1
5250,76,-449,142,-6.120881,-345.000325,185.963948,1
5300,82,-437,161,-0.162876,-333.500485,205.083753,1
5351,83,-417,188,0.721777,-314.342274,232.293392,1
5400,80,-387,224,-2.452132,-285.582369,268.575434,1
5450,80,-387,224,-2.452132,-285.582369,268.575434,1
5500,64,-345,261,-18.681842,-245.239559,305.857675,1
5550,48,-309,286,-34.834650,-210.593988,331.006692,1
5600,40,-292,295,-42.883153,-194.202267,340.033107,1
5650,40,-292,295,-42.883153,-194.202267,340.033107,1
5700,44,-286,300,-38.848641,-188.389626,345.005282,1
5750,58,-274,309,-24.708037,-176.708248,353.872032,1
5800,73,-258,317,-9.517936,-161.110565,361.662199,1
5850,73,-258,317,-9.517936,-161.110565,361.662199,1
5900,87,-250,320,4.653823,-153.251980,364.474653,1
5950,88,-232,328,5.714960,-135.808102,372.380981,1
