# sensor,HMC5883L
# purpose,magnetometer ellipsoid calibration
# sample_hz,20
# duration_s,180
# sda_gpio,21
# scl_gpio,22
# wifi,off
# note,move the board slowly through all 3D orientations
t_ms,mx_raw,my_raw,mz_raw
0,63,-300,294
50,78,-258,317
100,103,-243,324
150,103,-243,324
201,103,-227,330
250,98,-225,331
300,98,-238,327
350,98,-238,327
400,92,-250,321
450,77,-267,314
500,63,-287,303
550,63,-287,303
600,59,-306,291
650,70,-330,275
700,84,-369,243
751,84,-369,243
800,90,-403,210
850,88,-428,177
900,86,-440,164
950,86,-440,164
1000,81,-446,155
1050,74,-453,142
1100,69,-458,129
1150,69,-458,129
1200,66,-461,126
1250,61,-463,119
1300,58,-468,112
1350,58,-468,112
1400,56,-468,110
1450,58,-469,110
1500,58,-469,110
1550,61,-469,108
1600,65,-469,110
1650,72,-467,117
1700,72,-467,117
1750,75,-464,120
1800,76,-461,127
1850,73,-451,143
1901,73,-451,143
1950,67,-444,153
2000,60,-439,162
2050,57,-432,172
2100,57,-432,172
2150,54,-420,186
2200,57,-408,200
2250,61,-396,215
2300,61,-396,215
2350,60,-386,225
2400,65,-382,228
2450,70,-384,227
2500,70,-384,227
2550,75,-381,230
2600,83,-380,231
2650,92,-380,232
2700,92,-380,232
2750,96,-378,233
2800,96,-375,236
2850,97,-379,234
2900,97,-379,234
2950,107,-399,210
3000,117,-425,179
3050,122,-435,162
3100,122,-435,162
3150,121,-442,153
3201,120,-448,143
3250,117,-456,128
3300,117,-456,128
3350,118,-469,103
3400,119,-484,68
3450,121,-495,26
3500,121,-495,26
3550,117,-502,-8
3600,111,-507,-45
3650,102,-508,-74
3700,102,-508,-74
3750,95,-507,-95
3800,90,-507,-103
3850,90,-507,-104
3900,90,-507,-104
3950,87,-507,-106
4000,81,-506,-104
4050,78,-508,-94
4100,78,-508,-94
4150,71,-507,-86
4200,68,-507,-86
4250,68,-507,-86
4300,67,-507,-88
4350,69,-507,-91
4400,72,-507,-96
4451,72,-507,-96
4500,71,-507,-100
4550,71,-507,-96
4600,71,-508,-90
4650,71,-508,-90
4700,73,-508,-80
4750,76,-508,-60
4800,78,-505,-32
4850,78,-505,-32
4900,77,-503,-8
4950,74,-499,13
5000,75,-490,44
5050,75,-490,44
5100,75,-476,86
5150,74,-460,123
5200,76,-449,142
5250,76,-449,142
5300,82,-437,161
5351,83,-417,188
5400,80,-387,224
5450,80,-387,224
5500,64,-345,261
5550,48,-309,286
5600,40,-292,295
5650,40,-292,295
5700,44,-286,300
5750,58,-274,309
5800,73,-258,317
5850,73,-258,317
5900,87,-250,320
5950,88,-232,328
6000,77,-207,337
6050,77,-207,337
6100,61,-180,344
6150,42,-156,349
6200,17,-124,351
6250,17,-124,351
6300,-14,-89,351
6350,-37,-68,344
6400,-62,-43,336
6450,-62,-43,336
6500,-92,-20,324
6550,-121,-6,306
6601,-142,-3,293
6650,-142,-3,293
6700,-155,-11,286
6750,-165,-22,281
6800,-170,-25,276
6850,-170,-25,276
6900,-193,-10,255
6950,-223,10,223
7000,-223,12,223
7050,-242,12,202
7100,-245,5,198
7150,-246,1,198
7200,-246,1,198
7250,-243,-1,203
7300,-244,-3,201
7350,-249,-7,196
7400,-249,-7,196
7450,-258,-11,184
7501,-271,-8,162
7550,-274,-6,158
7600,-274,-6,158
7650,-277,-7,154
7700,-279,-10,149
7750,-281,-13,146
7800,-281,-13,146
7850,-287,-17,139
7900,-289,-24,134
7950,-292,-27,129
8000,-292,-27,129
8050,-297,-27,123
8100,-301,-26,111
8150,-308,-23,95
8200,-308,-23,95
8250,-317,-26,79
8300,-322,-29,58
8350,-326,-40,51
8400,-326,-40,51
8450,-323,-56,59
8500,-320,-61,70
8550,-317,-71,80
8600,-317,-71,80
8650,-313,-92,90
8700,-306,-117,102
8750,-301,-125,109
8801,-301,-125,109
8850,-295,-126,122
8900,-279,-143,146
8950,-273,-153,155
9000,-273,-153,155
9050,-271,-160,155
9100,-274,-177,146
9150,-277,-185,140
9200,-277,-185,140
9250,-277,-192,142
9300,-271,-203,147
9350,-257,-228,156
9400,-257,-228,156
9450,-230,-263,171
9500,-193,-298,188
9550,-139,-330,212
9600,-139,-330,212
9650,-88,-342,234
9700,-42,-337,260
9750,-42,-337,260
9800,2,-316,286
9850,43,-283,313
9900,82,-254,328
9950,82,-254,328
10000,111,-235,337
10050,157,-225,332
10100,181,-206,332
10150,181,-206,332
10200,215,-191,327
10250,246,-170,319
10300,286,-150,301
10350,286,-150,301
10400,321,-113,285
10450,340,-65,272
10500,351,-28,259
10550,351,-28,259
10600,361,6,245
10650,368,29,231
10700,381,49,208
10750,381,49,208
10800,389,72,184
10850,396,85,167
10900,399,95,157
10950,399,95,157
11000,401,100,147
11050,405,105,137
11100,400,114,134
11150,400,114,134
11200,394,125,136
11250,388,133,136
11300,375,137,155
11350,375,137,155
11400,358,140,177
11450,344,146,190
11501,326,156,199
11550,326,156,199
11600,306,173,204
11650,284,188,209
11700,261,198,217
11750,261,198,217
11800,236,197,236
11850,202,182,263
11900,162,162,290
11950,162,162,290
12000,145,144,305
12050,132,136,310
12100,98,136,314
12150,98,136,314
12200,58,125,322
12250,26,116,321
12300,-5,111,317
12350,-5,111,317
12400,-24,105,316
12450,-42,94,314
12500,-42,94,314
12550,-25,26,341
12600,18,-45,359
12650,74,-122,361
12700,74,-122,361
12750,138,-188,343
12800,196,-230,316
12850,248,-252,285
12900,248,-252,285
12950,285,-247,268
13000,290,-185,291
13050,269,-123,314
13101,269,-123,314
13150,251,-77,327
13200,246,-45,327
13250,247,-20,324
13300,247,-20,324
13350,248,-8,321
13400,244,2,321
13450,244,-1,322
13500,244,-1,322
13550,241,-2,324
13600,232,6,327
13650,225,7,329
13700,225,7,329
13750,225,3,333
13800,223,3,331
13850,226,3,330
13901,226,3,330
13950,224,7,329
14000,218,20,331
14050,206,36,329
14100,206,36,329
14150,189,57,330
14200,170,83,326
14250,144,121,316
14300,144,121,316
14350,109,165,298
14400,84,187,282
14450,62,197,274
14500,62,197,274
14550,30,205,266
14600,-11,203,259
14650,-56,181,258
14700,-56,181,258
14750,-93,143,264
14800,-116,103,271
14850,-127,58,281
14900,-127,58,281
14951,-116,11,299
15000,-91,-36,317
15050,-53,-92,334
15100,-53,-92,334
15150,-5,-150,342
15200,39,-196,337
15250,39,-230,337
15300,79,-230,331
15350,118,-254,321
15400,156,-269,309
15450,156,-269,309
15500,189,-275,300
15550,214,-274,293
15600,238,-267,285
15650,238,-267,285
15700,256,-237,292
15750,252,-182,313
15800,243,-118,325
15850,243,-118,325
15900,251,-87,326
15950,268,-77,317
16000,252,-40,321
16050,252,-40,321
16100,219,17,326
16150,187,54,328
16200,156,92,324
16251,156,92,324
16301,124,134,309
16350,98,173,288
16400,80,209,262
16450,80,209,262
16500,74,229,244
16550,73,238,236
16600,80,237,236
16650,80,237,236
16700,89,229,243
16750,109,203,266
16800,131,168,288
16850,131,168,288
16900,155,122,311
16950,178,90,320
17000,191,57,328
17050,191,57,328
17100,204,29,332
17150,202,-9,342
17200,164,-37,353
17250,164,-37,353
17300,146,-94,359
17350,138,-149,355
17401,136,-187,345
17450,136,-187,345
17500,138,-225,332
17550,130,-266,316
17600,129,-297,299
17650,129,-297,299
17700,153,-304,291
17750,161,-304,288
17800,178,-312,279
17850,178,-312,279
17900,178,-316,278
17950,173,-350,252
18000,173,-350,252
18050,153,-363,246
18100,134,-361,252
18150,124,-371,243
18200,124,-371,243
18250,124,-388,226
18300,126,-401,213
18350,129,-423,188
18400,129,-423,188
18450,123,-454,143
18500,112,-475,105
18550,98,-489,68
18600,98,-489,68
18650,95,-498,39
18700,93,-505,10
18750,91,-509,-14
18800,91,-509,-14
18850,87,-513,-42
18900,85,-513,-71
18950,79,-511,-102
19000,79,-511,-102
19050,74,-509,-113
19100,72,-508,-118
19150,66,-508,-117
19200,66,-508,-117
19250,55,-507,-117
19300,46,-505,-121
19350,26,-494,-166
19400,26,-494,-166
19450,7,-477,-208
19500,-10,-459,-237
19550,-30,-436,-272
19600,-30,-436,-272
19650,-63,-392,-313
19700,-93,-348,-341
19750,-112,-311,-356
19801,-112,-311,-356
19850,-121,-294,-363
19900,-125,-284,-366
19950,-136,-268,-367
20000,-136,-268,-367
20050,-155,-239,-368
20100,-189,-188,-361
20150,-228,-134,-338
20200,-228,-134,-338
20250,-255,-102,-305
20300,-275,-84,-279
20350,-281,-81,-268
20400,-281,-81,-268
20450,-283,-85,-262
20500,-300,-72,-239
20550,-319,-57,-195
20600,-319,-57,-195
20650,-323,-60,-166
20700,-325,-74,-165
20750,-325,-74,-165
20800,-333,-80,-137
20850,-340,-76,-91
20900,-338,-84,-52
20950,-338,-84,-52
21000,-337,-83,-24
21050,-334,-76,8
21100,-325,-77,47
21150,-325,-77,47
21200,-315,-77,77
21250,-305,-86,104
21300,-294,-89,126
21350,-294,-89,126
21400,-283,-86,146
21450,-276,-87,157
21500,-263,-83,178
21550,-263,-83,178
21600,-249,-81,200
21650,-224,-87,227
21700,-181,-107,264
21750,-181,-107,264
21800,-151,-114,284
21851,-132,-113,296
21900,-120,-102,305
21951,-120,-102,305
22000,-105,-83,314
22050,-85,-58,324
22100,-48,-46,338
22150,-48,-46,338
22200,-5,-46,349
22250,18,-43,354
22300,28,-41,356
22350,28,-41,356
22400,45,-57,358
22450,76,-90,358
22500,107,-119,355
22550,107,-119,355
22600,136,-149,349
22650,144,-158,346
22700,134,-153,347
22750,134,-153,347
22800,127,-162,349
22850,124,-166,349
22900,131,-168,348
22950,131,-168,348
23000,144,-180,344
23050,150,-191,340
23100,158,-212,331
23150,158,-212,331
23200,146,-221,331
23250,136,-241,324
23300,133,-262,316
23351,133,-262,316
23401,135,-287,303
23450,135,-313,288
23500,125,-331,278
23550,125,-331,278
23600,99,-335,276
23650,67,-333,277
23700,67,-333,277
23750,47,-347,263
23800,31,-360,252
23850,25,-372,239
23900,25,-372,239
23950,29,-388,225
24000,45,-415,198
24050,60,-442,166
24100,60,-442,166
24150,63,-451,152
24200,49,-449,152
24250,28,-445,156
24300,28,-445,156
24350,6,-440,154
24400,-9,-444,140
24450,-18,-459,110
24500,-18,-459,110
24550,-19,-477,67
24600,-17,-490,28
24650,-17,-497,-1
24700,-17,-497,-1
24751,-25,-497,-27
24801,-41,-495,-50
24850,-58,-489,-67
24900,-58,-489,-67
24950,-79,-478,-89
25000,-97,-468,-114
25050,-118,-450,-141
25100,-118,-450,-141
25150,-138,-430,-166
25200,-149,-410,-198
25250,-157,-388,-227
25300,-157,-388,-227
25350,-170,-362,-246
25400,-182,-339,-263
25450,-194,-315,-271
25500,-194,-315,-271
25550,-209,-293,-272
25600,-228,-263,-269
25650,-257,-230,-254
25700,-257,-230,-254
25750,-281,-197,-231
25800,-298,-168,-214
25850,-310,-144,-193
25900,-310,-144,-193
25950,-320,-125,-171
26000,-325,-109,-154
26051,-333,-71,-125
26100,-333,-71,-125
26150,-335,-33,-101
26200,-332,-5,-97
26250,-326,21,-99
26300,-326,21,-99
26350,-321,44,-100
26400,-314,66,-107
26450,-314,66,-107
26500,-304,91,-106
26550,-294,115,-103
26600,-289,129,-102
26650,-289,129,-102
26700,-289,130,-86
26750,-294,123,-74
26800,-299,114,-81
26850,-299,114,-81
26900,-302,105,-80
26950,-308,98,-87
27000,-310,93,-94
27050,-310,93,-94
27100,-308,96,-100
27150,-299,101,-134
27200,-292,111,-142
27250,-292,111,-142
27300,-288,113,-153
27351,-281,109,-179
27400,-276,108,-199
27450,-276,108,-199
27500,-266,102,-219
27550,-260,88,-242
27600,-257,68,-261
27650,-257,68,-261
27700,-253,41,-281
27750,-251,14,-294
27800,-252,-12,-300
27850,-252,-12,-300
27900,-248,-49,-310
27950,-243,-76,-320
28000,-243,-91,-317
28050,-243,-91,-317
28100,-245,-105,-314
28150,-250,-127,-306
28200,-253,-156,-294
28250,-253,-156,-294
28300,-259,-183,-278
28350,-261,-204,-264
28400,-263,-216,-257
28450,-263,-216,-257
28500,-263,-228,-250
28550,-264,-235,-241
28601,-268,-239,-231
28650,-268,-239,-231
28700,-268,-245,-222
28750,-273,-251,-211
28800,-278,-255,-194
28850,-278,-255,-194
28900,-282,-255,-178
28950,-288,-256,-164
29000,-288,-257,-164
29050,-291,-257,-146
29100,-292,-258,-125
29150,-295,-259,-104
29200,-295,-259,-104
29250,-301,-252,-86
29300,-306,-237,-74
29350,-315,-213,-54
29400,-315,-213,-54
29450,-321,-188,-34
29500,-325,-159,-10
29550,-325,-128,16
29600,-325,-128,16
29650,-323,-100,33
29700,-322,-71,42
29751,-321,-45,36
29800,-321,-45,36
29850,-320,-19,25
29900,-317,11,11
29950,-314,41,-11
30000,-314,41,-11
30050,-309,68,-36
30100,-299,93,-59
30150,-291,114,-78
30200,-291,114,-78
30250,-279,136,-97
30300,-264,157,-112
30350,-253,171,-129
30400,-253,171,-129
30450,-239,184,-147
30500,-221,205,-151
30550,-201,218,-169
30600,-201,218,-169
30650,-187,227,-183
30700,-171,238,-192
30750,-154,246,-202
30800,-154,246,-202
30850,-144,247,-222
30900,-136,240,-239
30950,-133,236,-248
31000,-133,236,-248
31050,-131,233,-256
31100,-126,224,-268
31150,-126,215,-280
31200,-126,215,-280
31250,-121,205,-294
31300,-122,189,-304
31350,-127,175,-318
31400,-127,175,-318
31450,-131,160,-325
31500,-135,146,-329
31550,-138,132,-339
31600,-138,132,-339
31650,-140,121,-345
31700,-142,108,-350
31750,-142,108,-350
31800,-144,93,-358
31850,-147,72,-364
31900,-149,45,-375
31950,-149,45,-375
32000,-153,16,-381
32050,-156,-15,-385
32100,-156,-45,-391
32150,-156,-45,-391
32200,-151,-74,-396
32251,-147,-98,-397
32300,-143,-115,-400
32350,-143,-115,-400
32400,-140,-130,-399
32450,-141,-146,-398
32500,-140,-165,-395
32550,-140,-165,-395
32600,-141,-181,-391
32650,-142,-197,-386
32700,-144,-213,-379
32750,-144,-213,-379
32800,-145,-230,-374
32850,-144,-246,-365
32900,-146,-262,-356
32950,-146,-262,-356
33000,-147,-280,-345
33050,-151,-298,-330
33100,-156,-316,-314
33150,-156,-316,-314
33200,-164,-325,-298
33250,-168,-332,-288
33300,-172,-337,-277
33350,-172,-337,-277
33400,-176,-345,-264
33450,-179,-353,-251
33500,-184,-359,-234
33550,-184,-359,-234
33601,-191,-362,-218
33650,-200,-361,-204
33700,-206,-362,-193
33750,-206,-362,-193
33800,-212,-360,-181
33850,-219,-356,-171
33900,-229,-347,-161
33950,-229,-347,-161
34000,-242,-336,-148
34050,-258,-321,-131
34100,-275,-298,-116
34150,-275,-298,-116
34200,-292,-270,-101
34250,-309,-235,-89
34300,-319,-198,-74
34350,-319,-198,-74
34400,-330,-160,-57
34450,-335,-124,-39
34500,-335,-124,-39
34550,-335,-93,-23
34600,-333,-62,0
34650,-331,-36,16
34700,-331,-36,16
34751,-324,-11,32
34801,-314,18,50
34850,-302,47,69
34900,-302,47,69
34950,-289,74,84
35000,-274,102,96
35050,-254,123,116
35100,-254,123,116
35150,-232,137,139
35200,-212,147,163
35250,-198,152,177
35300,-198,152,177
35350,-195,155,174
35400,-210,160,154
35450,-226,170,118
35500,-226,170,118
35550,-237,174,86
35600,-242,175,69
35650,-246,176,59
35700,-246,176,59
35750,-245,182,50
35800,-241,170,82
35850,-235,146,125
35900,-235,146,125
35950,-233,118,154
36000,-231,89,182
36050,-230,52,201
36100,-230,52,201
