# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
0,0.110596,0.012451,-1.011963
20,0.114258,0.010986,-1.010010
40,0.110107,0.013672,-1.008057
60,0.110352,0.014893,-1.013428
80,0.109619,0.012939,-1.006592
100,0.108643,0.012207,-1.006836
120,0.107910,0.013916,-1.018555
140,0.108398,0.016113,-1.006836
160,0.115234,0.014404,-1.015625
180,0.110107,0.016113,-1.008057
200,0.112061,0.012939,-1.005859
220,0.111816,0.015381,-1.012207
240,0.109375,0.011963,-1.009033
260,0.112305,0.016357,-1.005371
280,0.111816,0.015625,-1.010498
300,0.111572,0.011475,-1.003906
320,0.110352,0.013916,-1.006836
340,0.109619,0.017822,-1.010254
360,0.113037,0.017090,-1.003418
380,0.109375,0.015625,-1.004150
400,0.110107,0.010986,-1.011230
420,0.112549,0.014648,-1.008057
440,0.112793,0.016846,-1.013184
460,0.108643,0.016113,-1.012939
480,0.110596,0.014404,-1.010010
500,0.110107,0.013428,-1.014648
520,0.111572,0.010254,-1.011719
540,0.108643,0.014648,-1.008301
560,0.109375,0.017822,-1.008057
580,0.111816,0.015381,-1.013184
600,0.107666,0.015869,-1.006348
620,0.111328,0.012207,-1.016113
640,0.106934,0.010986,-1.007813
660,0.111084,0.015869,-1.009766
680,0.110840,0.012207,-1.011475
701,0.112061,0.014648,-1.009766
720,0.110840,0.014160,-1.010986
740,0.115234,0.009766,-1.010986
760,0.106201,0.011475,-1.011475
780,0.109131,0.013428,-1.010742
800,0.111816,0.014648,-1.015869
820,0.109375,0.016357,-1.008545
840,0.110596,0.018555,-1.015137
860,0.111084,0.011475,-1.011963
880,0.108154,0.014893,-1.008789
900,0.111572,0.014404,-1.017090
920,0.109131,0.014404,-1.014648
940,0.110840,0.015137,-1.015137
960,0.112061,0.014404,-1.011963
980,0.110352,0.015869,-1.012207
1000,0.107910,0.012939,-1.012939
1020,0.111816,0.018066,-1.010986
1040,0.110352,0.013916,-1.019043
1060,0.108154,0.015137,-1.010498
1080,0.110107,0.013672,-1.010498
1100,0.110352,0.012451,-1.008057
1120,0.110107,0.010010,-1.010986
1141,0.109375,0.014893,-1.013672
1160,0.113770,0.014404,-1.013184
1180,0.111328,0.008789,-1.012207
1200,0.111084,0.012451,-1.007324
1220,0.108887,0.013672,-1.008301
1241,0.109619,0.014160,-1.012695
1260,0.110596,0.010986,-1.004639
1280,0.111328,0.016846,-1.013184
1300,0.107910,0.018311,-1.012207
1320,0.110840,0.016846,-1.009033
1340,0.110107,0.016357,-1.001953
1360,0.108643,0.010010,-1.017334
1380,0.113037,0.014404,-1.012939
1400,0.112061,0.010498,-1.007324
1420,0.112793,0.014404,-1.010742
1441,0.112061,0.013916,-1.012939
1460,0.108643,0.015625,-1.008057
1480,0.112061,0.012939,-1.014404
1500,0.106934,0.011719,-1.012939
1520,0.107422,0.013428,-1.005615
1540,0.106934,0.015137,-1.014648
1560,0.105957,0.014404,-1.009521
1580,0.107910,0.013916,-1.007568
1600,0.109131,0.015381,-1.006592
1620,0.109619,0.010254,-1.008057
1640,0.107422,0.018799,-1.008301
1660,0.110840,0.011963,-1.012207
1680,0.111328,0.015137,-1.008057
1700,0.109375,0.017334,-1.010254
1720,0.110107,0.019531,-1.010010
1740,0.110596,0.014893,-1.010742
1760,0.109863,0.013672,-1.009033
1780,0.108398,0.015381,-1.010742
1800,0.107910,0.014404,-1.007568
1820,0.110840,0.016113,-1.010986
1840,0.110107,0.013672,-1.010498
1860,0.109375,0.013672,-1.007813
1881,0.109131,0.015381,-1.014160
1900,0.104980,0.015869,-1.014404
