# purpose,attitude fusion experiment
# label,continuous_motion
# sample_hz,50
# duration_s,120
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
0,continuous_motion,-0.037354,0.012207,1.027100,43.756,0.160305,1.068702,-0.022901,245,191,258
20,continuous_motion,-0.036377,0.015381,1.026123,43.736,0.190840,1.000000,-0.083969,245,191,258
40,continuous_motion,-0.034424,0.017822,1.019043,43.748,0.236641,0.977099,-0.183206,245,191,258
61,continuous_motion,-0.038330,0.016113,1.025635,43.745,0.206107,0.839695,-0.183206,245,191,258
80,continuous_motion,-0.038330,0.013672,1.023926,43.751,0.206107,1.038168,-0.061069,246,190,260
100,continuous_motion,-0.048584,0.024658,1.017090,43.736,0.328244,0.335878,-0.030534,246,190,260
121,continuous_motion,-0.031738,0.013672,1.027832,43.765,0.374046,-2.946565,-0.160305,246,190,260
140,continuous_motion,-0.020020,0.012695,1.039307,43.756,0.007634,0.244275,-0.083969,246,190,260
160,continuous_motion,-0.029541,0.011230,1.024414,43.733,0.175573,2.763359,-0.183206,245,190,259
181,continuous_motion,-0.040771,0.011719,1.021973,43.759,0.221374,3.274809,-0.244275,245,190,259
200,continuous_motion,-0.059082,0.005371,1.004395,43.736,0.190840,2.519084,-0.152672,245,190,259
220,continuous_motion,-0.038086,0.012939,1.014160,43.742,0.175573,0.671756,-0.053435,245,190,258
240,continuous_motion,-0.025391,0.016113,1.028320,43.730,0.259542,0.755725,-0.122137,245,190,258
260,continuous_motion,-0.040039,0.013184,1.021240,43.736,0.251908,1.694656,-0.068702,245,190,258
280,continuous_motion,-0.042480,0.002686,1.017822,43.765,0.152672,0.786260,-0.122137,245,190,258
300,continuous_motion,-0.049316,0.019043,1.007813,43.774,0.335878,-0.114504,-0.259542,246,190,259
320,continuous_motion,-0.040771,0.019775,1.027100,43.748,0.511450,-1.587786,-0.160305,246,190,259
340,continuous_motion,-0.015381,0.022217,1.041016,43.765,0.312977,-0.687023,-0.038168,246,190,259
360,continuous_motion,-0.035645,0.008301,1.025635,43.748,0.007634,3.557252,-0.030534,245,189,258
380,continuous_motion,-0.047363,0.016846,1.022461,43.742,0.206107,1.625954,-0.106870,245,189,258
400,continuous_motion,-0.035156,0.015137,1.025146,43.754,0.221374,1.229008,-0.038168,245,189,258
420,continuous_motion,0.020264,0.001221,1.011475,43.727,0.282443,1.351145,-0.160305,245,189,257
440,continuous_motion,-0.039063,0.006836,1.023682,43.748,0.122137,2.038168,-0.167939,245,189,257
460,continuous_motion,-0.052734,0.014160,1.014893,43.751,0.160305,1.450382,-0.045802,245,189,257
480,continuous_motion,-0.034668,0.015381,1.030029,43.742,0.328244,-1.587786,-0.053435,245,189,257
500,continuous_motion,-0.008545,0.012695,1.021484,43.759,0.183206,0.961832,-0.091603,244,190,258
520,continuous_motion,-0.045898,0.018066,1.026123,43.762,0.190840,2.183206,-0.137405,244,190,258
540,continuous_motion,-0.022217,0.013428,1.034424,43.762,0.099237,2.465649,-0.091603,244,190,258
560,continuous_motion,-0.037109,0.018799,1.029297,43.754,0.297710,3.778626,-0.198473,244,191,257
580,continuous_motion,-0.073975,0.017822,0.996826,43.745,0.175573,1.389313,0.015267,244,191,257
600,continuous_motion,-0.032471,0.015137,1.030762,43.751,0.396947,-2.274809,-0.083969,244,191,257
620,continuous_motion,0.007568,0.011230,1.058838,43.777,0.229008,2.625954,-0.083969,245,190,258
