# purpose,attitude fusion experiment
# label,tilt_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
0,tilt_static,0.638184,0.052734,0.796631,43.736,0.251908,0.900763,-0.145038,224,-62,392
20,tilt_static,0.639160,0.056641,0.795898,43.715,0.282443,0.992366,-0.190840,224,-62,390
40,tilt_static,0.634277,0.049561,0.796875,43.730,0.267176,1.061069,-0.160305,224,-62,390
60,tilt_static,0.635498,0.054932,0.798828,43.701,0.167939,0.946565,-0.038168,224,-62,390
80,tilt_static,0.634766,0.049316,0.795410,43.733,0.167939,1.015267,-0.015267,224,-62,392
100,tilt_static,0.639648,0.048584,0.793457,43.698,0.236641,1.038168,-0.099237,224,-62,392
120,tilt_static,0.639893,0.048584,0.792969,43.724,0.175573,0.992366,-0.175573,224,-62,392
140,tilt_static,0.640381,0.050781,0.795166,43.695,0.167939,0.954198,-0.175573,224,-62,391
160,tilt_static,0.640625,0.053955,0.790771,43.704,0.183206,0.900763,-0.068702,224,-62,391
180,tilt_static,0.645996,0.049561,0.799072,43.698,0.259542,1.000000,-0.099237,224,-62,391
200,tilt_static,0.638428,0.051514,0.791260,43.718,0.305344,0.969466,-0.122137,224,-62,391
220,tilt_static,0.638916,0.050781,0.797607,43.733,0.374046,0.908397,-0.175573,223,-63,390
240,tilt_static,0.639893,0.047119,0.791260,43.733,0.198473,0.801527,-0.038168,223,-63,390
260,tilt_static,0.635986,0.053955,0.797852,43.701,0.114504,0.832061,-0.053435,223,-63,390
281,tilt_static,0.637207,0.048584,0.790283,43.701,0.198473,0.893130,-0.137405,224,-62,391
300,tilt_static,0.638916,0.051025,0.789795,43.715,0.152672,1.091603,-0.152672,224,-62,391
320,tilt_static,0.638916,0.049072,0.796143,43.701,0.328244,0.984733,-0.106870,224,-62,391
340,tilt_static,0.638672,0.050781,0.795654,43.698,0.290076,1.007634,-0.167939,224,-62,390
360,tilt_static,0.639648,0.052979,0.796875,43.709,0.206107,1.038168,-0.167939,224,-62,390
380,tilt_static,0.638916,0.055176,0.794434,43.721,0.267176,0.946565,-0.229008,224,-62,390
400,tilt_static,0.640869,0.047852,0.797607,43.736,0.175573,0.870229,-0.106870,224,-62,390
