t_ms,initialized,gps_fix,satellites,hdop,gps_lat,gps_lon,gps_alt_m,est_lat,est_lon,est_alt_m,e_m,n_m,u_m,ve_mps,vn_mps,vu_mps,roll_deg,pitch_deg,yaw_deg,innov_xy_m,sigma_e_m,sigma_n_m,imu_hz,gps_updates,gps_rejects,nmea_count
42179233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.12,0.0,0.0,0.0,100.0,0,0,1292
42179433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1295
42179633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1298
42179833,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1298
42180033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1298
42180233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.48,-7.29,-103.11,0.0,0.0,0.0,100.0,0,0,1301
42180433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.27,-103.12,0.0,0.0,0.0,100.0,0,0,1304
42180633,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.27,-103.11,0.0,0.0,0.0,100.0,0,0,1307
42180833,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.27,-103.09,0.0,0.0,0.0,100.0,0,0,1307
42181033,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1307
42181233,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.27,-103.1,0.0,0.0,0.0,100.0,0,0,1310
42181433,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.08,0.0,0.0,0.0,100.0,0,0,1313
42181634,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.29,-103.1,0.0,0.0,0.0,99.9,0,0,1316
42181843,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.1,0.0,0.0,0.0,99.9,0,0,1316
42182043,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.29,-103.12,0.0,0.0,0.0,99.9,0,0,1316
42182243,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.28,-103.12,0.0,0.0,0.0,99.9,0,0,1320
42182443,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.12,0.0,0.0,0.0,99.9,0,0,1323
42182643,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.26,-103.12,0.0,0.0,0.0,100.1,0,0,1325
42182843,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.26,-103.12,0.0,0.0,0.0,100.1,0,0,1325
42183043,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.27,-103.1,0.0,0.0,0.0,100.1,0,0,1325
42183243,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.11,0.0,0.0,0.0,100.1,0,0,1329
42183444,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.26,-103.13,0.0,0.0,0.0,100.1,0,0,1332
42183654,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.27,-103.12,0.0,0.0,0.0,100.0,0,0,1334
42183863,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.27,-103.11,0.0,0.0,0.0,100.0,0,0,1334
42184063,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.29,-103.11,0.0,0.0,0.0,100.0,0,0,1334
42184264,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.28,-103.13,0.0,0.0,0.0,100.0,0,0,1338
42184474,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.12,0.0,0.0,0.0,100.0,0,0,1341
42184683,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1343
42184883,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1343
42185083,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1343
42185283,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.29,-103.08,0.0,0.0,0.0,100.0,0,0,1347
42185483,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.09,0.0,0.0,0.0,100.0,0,0,1351
42185683,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1352
42185883,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1352
42186083,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1352
42186283,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.52,-7.28,-103.1,0.0,0.0,0.0,100.0,0,0,1356
42186483,0,0,0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-7.28,-103.11,0.0,0.0,0.0,100.0,0,0,1360
