# ESP32 offline IMU GPS sync logger
# log_path,/imu_gps_logs/imu_gps_sync_0002_02.csv
# session_index,2
# part_index,2
# sample_hz,20
# capture_duration_s,900
# i2c_sda_gpio,21
# i2c_scl_gpio,22
# gps_uart_id,2
# gps_rx_gpio,16
# gps_tx_gpio,17
# gps_baudrate,9600
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw,gps_updated,gps_valid,gps_usable,fix_quality,satellites,hdop,gps_lat,gps_lon,gps_alt_m,gps_speed_mps,gps_course_deg,gps_utc,gps_date,nmea_count,fix_count,checksum_fail_count
235178,0.003662,0.003662,1.017822,44.756,0.1374,0.9847,0.1145,180,-722,5,0,,,,,,,,,,,,,1643,182,0
235346,-0.003662,0.004395,1.024902,44.698,0.0916,0.9847,0.0916,180,-723,6,0,,,,,,,,,,,,,1643,182,0
235453,-0.000488,0.005859,1.029785,44.730,0.1450,1.0611,0.0382,180,-721,5,0,,,,,,,,,,,,,1643,182,0
235563,0.001465,0.003662,1.020020,44.692,0.1374,0.9237,0.0840,181,-721,6,0,,,,,,,,,,,,,1643,182,0
235673,0.001953,0.003662,1.023193,44.712,0.1832,1.0076,0.0687,182,-721,6,0,,,,,,,,,,,,,1643,182,0
235779,-0.001221,0.000977,1.026367,44.706,0.2061,1.0305,0.0992,180,-720,6,1,1,1,1,6,2.30,26.03064346,119.19295502,40.40,0.086,,045656.00,300626,1644,182,0
235895,-0.002686,0.001221,1.021484,44.751,0.2290,0.8397,-0.0153,180,-722,7,1,1,1,1,6,2.30,26.03064346,119.19295502,40.30,0.086,,045656.00,300626,1646,183,0
236012,0.000732,0.004395,1.024414,44.712,0.1221,0.9466,0.0992,180,-721,6,0,,,,,,,,,,,,,1648,183,0
236128,-0.001221,0.003662,1.030518,44.718,0.1832,0.9084,0.0763,181,-722,6,0,,,,,,,,,,,,,1650,183,0
236242,0.000488,0.002930,1.014648,44.724,0.1298,0.9847,0.0458,180,-722,6,0,,,,,,,,,,,,,1650,183,0
236353,0.000488,0.002197,1.023926,44.662,0.1374,0.9313,0.0992,181,-721,6,0,,,,,,,,,,,,,1650,183,0
236463,0.000000,0.002930,1.018555,44.730,0.2519,0.9924,0.1679,181,-721,6,0,,,,,,,,,,,,,1650,183,0
236573,0.001709,0.002686,1.027344,44.712,0.1374,1.0000,0.1908,181,-722,6,0,,,,,,,,,,,,,1650,183,0
236682,0.000244,-0.000244,1.022461,44.680,0.2061,0.8244,0.2519,181,-720,6,0,,,,,,,,,,,,,1650,183,0
236793,0.002686,0.000488,1.018555,44.706,0.2137,1.0687,0.0229,181,-720,6,1,1,1,1,6,2.30,26.03063965,119.19295502,40.30,0.035,,045657.00,300626,1651,183,0
236908,-0.003662,0.000000,1.021973,44.692,0.2366,0.9847,0.0992,181,-720,6,1,1,1,1,6,2.30,26.03063965,119.19295502,40.50,0.035,,045657.00,300626,1653,184,0
237026,0.000488,0.003174,1.026611,44.686,0.0840,0.8855,0.0229,180,-720,6,0,,,,,,,,,,,,,1655,184,0
237141,-0.004395,-0.000244,1.020752,44.712,0.1756,0.8855,0.0458,181,-721,5,0,,,,,,,,,,,,,1657,184,0
237255,-0.001953,0.005127,1.021484,44.677,0.1603,0.9695,0.0840,180,-720,7,0,,,,,,,,,,,,,1657,184,0
237362,0.000000,0.001953,1.021729,44.730,0.1603,0.9313,0.1145,181,-721,7,0,,,,,,,,,,,,,1657,184,0
237475,-0.001953,0.001709,1.024414,44.718,0.1603,0.8626,0.1145,181,-722,6,0,,,,,,,,,,,,,1657,184,0
237655,-0.000244,-0.001953,1.025391,44.686,0.0305,1.0153,0.0382,181,-721,7,0,,,,,,,,,,,,,1657,184,0
237763,0.002197,0.002930,1.021484,44.715,0.1298,0.9084,0.1069,180,-720,6,0,,,,,,,,,,,,,1657,184,0
237871,0.000732,0.003174,1.026367,44.715,0.0687,0.8473,0.1221,180,-721,6,1,1,1,1,6,2.30,26.03063583,119.19293976,40.50,0.187,,045658.00,300626,1659,184,0
237989,0.004639,0.001709,1.023438,44.730,0.1832,0.8855,0.2443,180,-721,6,1,1,1,1,6,2.30,26.03063583,119.19293976,40.50,0.187,,045658.00,300626,1661,185,0
238111,-0.001953,0.001465,1.016602,44.686,0.1985,0.9160,0.0992,181,-722,5,0,,,,,,,,,,,,,1663,185,0
238227,0.005615,0.000488,1.018799,44.689,0.1527,1.0382,0.0229,181,-721,6,0,,,,,,,,,,,,,1664,185,0
238338,-0.001465,-0.000488,1.024170,44.686,0.1527,0.9771,-0.0153,181,-721,6,0,,,,,,,,,,,,,1664,185,0
238445,-0.000732,0.000732,1.016602,44.724,0.0840,0.9237,0.1679,181,-721,6,0,,,,,,,,,,,,,1664,185,0
238551,-0.000732,0.001953,1.024414,44.683,0.0687,0.9618,0.1069,179,-719,7,0,,,,,,,,,,,,,1664,185,0
238663,-0.002686,0.002197,1.015381,44.698,0.1450,1.0153,0.1221,180,-720,6,0,,,,,,,,,,,,,1664,185,0
238773,0.000732,0.000244,1.022949,44.677,0.1221,1.0916,0.1908,182,-721,6,1,1,1,1,6,2.30,26.03063965,119.19293976,40.50,0.212,,045659.00,300626,1665,185,0
238888,-0.002686,0.000000,1.019043,44.656,0.0916,0.9084,0.1374,180,-721,6,1,1,1,1,6,2.30,26.03063965,119.19293976,40.80,0.212,,045659.00,300626,1667,186,0
239049,-0.001709,0.001709,1.020752,44.674,0.0763,1.0305,0.0534,181,-721,7,0,,,,,,,,,,,,,1669,186,0
239165,0.002197,0.003174,1.021484,44.689,0.1221,0.9313,0.1832,181,-720,5,0,,,,,,,,,,,,,1671,186,0
239280,0.001465,0.000977,1.021484,44.695,0.0992,1.0382,-0.0229,181,-722,6,0,,,,,,,,,,,,,1671,186,0
239393,-0.003174,0.002441,1.020020,44.680,0.1603,0.9847,0.0611,180,-722,7,0,,,,,,,,,,,,,1671,186,0
239503,0.000244,0.006592,1.023926,44.683,0.0840,0.8244,0.1603,181,-724,8,0,,,,,,,,,,,,,1671,186,0
239612,0.003906,0.005127,1.023682,44.709,0.0840,0.9771,-0.0076,180,-722,6,0,,,,,,,,,,,,,1671,186,0
239723,-0.003174,0.003906,1.026123,44.651,0.1450,0.9084,0.0687,181,-721,6,0,,,,,,,,,,,,,1671,186,0
239835,-0.004639,0.003174,1.020996,44.692,0.1756,1.1069,0.1527,182,-723,5,1,1,1,1,6,2.30,26.03063965,119.19293976,40.80,0.089,,045700.00,300626,1673,186,0
240001,-0.003174,0.001709,1.024170,44.695,0.1985,1.0229,0.1145,181,-721,6,1,1,1,1,6,2.30,26.03063965,119.19293976,41.20,0.089,,045700.00,300626,1675,187,0
240121,0.000000,0.000244,1.022705,44.698,0.1221,0.9542,0.1298,180,-722,7,0,,,,,,,,,,,,,1677,187,0
240239,0.000488,0.004395,1.021484,44.680,0.0687,0.9237,0.0153,182,-723,5,0,,,,,,,,,,,,,1678,187,0
240351,0.002686,-0.000488,1.023193,44.674,0.0992,0.9618,0.0763,181,-720,6,0,,,,,,,,,,,,,1678,187,0
240464,-0.001953,0.001465,1.018799,44.668,0.0687,0.9695,0.2214,181,-721,7,0,,,,,,,,,,,,,1678,187,0
240571,-0.001953,0.001709,1.025879,44.654,0.1985,0.9847,0.1298,180,-721,7,0,,,,,,,,,,,,,1678,187,0
240684,-0.002686,0.004639,1.023926,44.633,0.1603,0.8550,0.1908,182,-722,6,0,,,,,,,,,,,,,1678,187,0
240793,-0.000488,0.001221,1.023438,44.677,0.1145,0.9847,0.0763,181,-723,6,1,1,1,1,6,2.30,26.03064346,119.19295502,41.20,0.332,,045701.00,300626,1679,187,0
240910,-0.002197,0.002686,1.024658,44.680,0.0076,0.9695,0.0153,181,-722,6,1,1,1,1,6,2.30,26.03064346,119.19295502,41.60,0.332,,045701.00,300626,1681,188,0
241032,0.000732,0.001465,1.022217,44.683,0.0763,1.0687,0.0458,180,-720,7,0,,,,,,,,,,,,,1683,188,0
241149,-0.005859,0.000732,1.024414,44.656,0.1679,0.8168,0.0840,180,-721,6,0,,,,,,,,,,,,,1685,188,0
241265,0.010254,-0.004883,1.027344,44.686,0.0916,0.8473,0.0076,180,-721,6,0,,,,,,,,,,,,,1685,188,0
241374,-0.006592,-0.002686,1.020508,44.689,0.1603,1.1069,0.0763,181,-720,7,0,,,,,,,,,,,,,1685,188,0
241482,0.004639,0.004150,1.015381,44.686,0.0382,0.9847,0.0305,180,-721,6,0,,,,,,,,,,,,,1685,188,0
241594,-0.006348,-0.001953,1.026123,44.715,0.1603,0.9466,-0.0229,180,-720,5,0,,,,,,,,,,,,,1685,188,0
# status,241 s,lines,2056,nmea,1685,fix,188,sats,6,hdop,2.30,free,696320
241808,-0.001953,0.000977,1.023438,44.671,0.1603,0.9695,0.1145,180,-722,7,1,1,1,1,6,2.30,26.03064346,119.19293976,41.60,0.162,,045702.00,300626,1687,188,0
241998,-0.001221,0.003906,1.022217,44.659,0.0611,1.0534,0.2290,180,-721,6,1,1,1,1,6,2.30,26.03064346,119.19293976,41.80,0.162,,045702.00,300626,1689,189,0
242119,-0.004395,0.005615,1.020752,44.674,0.1069,0.9084,0.0992,180,-721,5,0,,,,,,,,,,,,,1691,189,0
242236,-0.002197,0.002930,1.019775,44.698,0.1069,0.9618,0.1221,181,-721,6,0,,,,,,,,,,,,,1692,189,0
242351,-0.005127,0.005371,1.028564,44.677,0.1298,0.9542,0.1756,181,-722,6,0,,,,,,,,,,,,,1692,189,0
242542,0.002930,0.006104,1.024658,44.674,0.2519,0.9466,0.1145,180,-721,6,0,,,,,,,,,,,,,1692,189,0
242655,0.000977,0.000488,1.023193,44.645,0.1374,0.9389,0.0763,181,-721,6,0,,,,,,,,,,,,,1692,189,0
242766,-0.003662,0.005371,1.019775,44.674,0.1145,0.8931,-0.0153,181,-721,6,0,,,,,,,,,,,,,1692,189,0
242877,0.003418,0.003174,1.023193,44.662,0.0153,0.9542,0.0229,180,-721,6,1,1,1,1,6,2.30,26.03064728,119.19293976,41.80,0.008,,045703.00,300626,1694,189,0
242997,0.001465,0.003418,1.026367,44.659,0.0687,0.9618,0.1298,181,-720,7,1,1,1,1,6,2.30,26.03064728,119.19293976,42.20,0.008,,045703.00,300626,1696,190,0
243118,-0.002686,0.000000,1.027100,44.698,0.0916,0.8931,0.1832,180,-722,6,0,,,,,,,,,,,,,1698,190,0
243237,-0.002686,0.000977,1.026123,44.656,0.0992,0.9466,0.0840,182,-721,7,0,,,,,,,,,,,,,1699,190,0
243386,-0.001465,0.002197,1.027344,44.671,0.1221,0.8244,0.1221,182,-722,6,0,,,,,,,,,,,,,1699,190,0
243495,0.000000,0.003174,1.023438,44.689,0.0534,0.9313,0.0916,181,-720,7,0,,,,,,,,,,,,,1699,190,0
243605,0.004883,0.004639,1.029053,44.662,0.1374,0.9466,0.0687,180,-721,6,0,,,,,,,,,,,,,1699,190,0
243726,0.003418,0.000732,1.030273,44.654,0.0916,0.9389,0.1527,180,-721,5,0,,,,,,,,,,,,,1699,190,0
243837,0.000977,0.001953,1.026855,44.659,0.1298,0.9466,0.2214,180,-721,7,1,1,1,1,6,2.30,26.03064728,119.19293976,42.20,0.029,,045704.00,300626,1701,190,0
243957,0.001465,0.001953,1.022705,44.654,0.1679,1.0076,0.1832,180,-720,5,1,1,1,1,6,2.30,26.03064728,119.19293976,42.50,0.029,,045704.00,300626,1703,191,0
244081,0.000244,-0.000244,1.022705,44.654,0.1756,1.0229,0.0000,180,-722,6,0,,,,,,,,,,,,,1705,191,0
244199,0.002441,0.003174,1.025391,44.686,0.0916,1.0534,0.0305,181,-723,7,0,,,,,,,,,,,,,1706,191,0
244313,0.000000,0.006592,1.021729,44.662,0.1221,0.9389,0.1374,179,-722,6,0,,,,,,,,,,,,,1706,191,0
