axis,tau_s,allan_deviation_dps
x,0.020000000,0.052161574346
x,0.040000000,0.037563203929
x,0.060000000,0.030741257199
x,0.080000000,0.026719377039
x,0.100000000,0.023590519320
x,0.120000000,0.021592170734
x,0.140000000,0.019906159494
x,0.160000000,0.018878963276
x,0.180000000,0.017573375669
x,0.200000000,0.016835949385
x,0.240000000,0.015075339241
x,0.280000000,0.014003865319
x,0.300000000,0.013440392492
x,0.360000000,0.012401056754
x,0.400000000,0.011746970315
x,0.460000000,0.011294709633
x,0.540000000,0.010341441304
x,0.600000000,0.009957933445
x,0.700000000,0.008947635696
x,0.800000000,0.008560801968
x,0.900000000,0.008327491496
x,1.040000000,0.007500192279
x,1.180000000,0.007229917716
x,1.360000000,0.006943799183
x,1.540000000,0.006410474350
x,1.760000000,0.005951169748
x,2.020000000,0.005689296696
x,2.300000000,0.005564099414
x,2.620000000,0.004952630549
x,3.000000000,0.004735472861
x,3.420000000,0.004587922154
x,3.920000000,0.004248754861
x,4.460000000,0.004191816141
x,5.100000000,0.003986830689
x,5.820000000,0.003833854680
x,6.640000000,0.003394587749
x,7.580000000,0.003529727953
x,8.640000000,0.003497501794
x,9.860000000,0.002935941971
x,11.260000000,0.003025007891
x,12.840000000,0.002575202775
x,14.660000000,0.002688076809
x,16.720000000,0.002420443928
x,19.100000000,0.002379226758
x,21.780000000,0.002419740345
x,24.860000000,0.002384200041
x,28.360000000,0.002335631623
x,32.360000000,0.002141268864
x,36.940000000,0.002255818852
x,42.140000000,0.002266544786
x,48.100000000,0.002239575378
x,54.880000000,0.002534814549
x,62.620000000,0.002249463687
x,71.460000000,0.002184752475
x,81.540000000,0.002242754733
x,93.040000000,0.001971195407
x,106.160000000,0.002174024061
x,121.140000000,0.001843764522
x,138.240000000,0.001626978246
x,157.740000000,0.001480901496
x,179.980000000,0.001524932089
y,0.020000000,0.071220568995
y,0.040000000,0.049230386142
y,0.060000000,0.040306529016
y,0.080000000,0.035315258399
y,0.100000000,0.031698568017
y,0.120000000,0.028784727178
y,0.140000000,0.026625849558
y,0.160000000,0.025072675114
y,0.180000000,0.023605539897
y,0.200000000,0.022367875218
y,0.240000000,0.020295571756
y,0.280000000,0.019033676525
y,0.300000000,0.018295297972
y,0.360000000,0.016694888342
y,0.400000000,0.015910680305
y,0.460000000,0.014760907373
y,0.540000000,0.013450840498
y,0.600000000,0.012531462692
y,0.700000000,0.011915079132
y,0.800000000,0.011344431229
y,0.900000000,0.010447013842
y,1.040000000,0.010202329879
y,1.180000000,0.009400932504
y,1.360000000,0.008765717222
y,1.540000000,0.008303456236
y,1.760000000,0.007572755127
y,2.020000000,0.007366788025
y,2.300000000,0.006744306996
y,2.620000000,0.006285066336
y,3.000000000,0.006017377574
y,3.420000000,0.005750092920
y,3.920000000,0.005407960635
y,4.460000000,0.005521566345
y,5.100000000,0.005235463583
y,5.820000000,0.005136994690
y,6.640000000,0.004656715160
y,7.580000000,0.004579892566
y,8.640000000,0.004511607162
y,9.860000000,0.004018900387
y,11.260000000,0.003666383581
y,12.840000000,0.003196485156
y,14.660000000,0.003349324415
y,16.720000000,0.003470791605
y,19.100000000,0.003460650049
y,21.780000000,0.003015720851
y,24.860000000,0.003092714751
y,28.360000000,0.002758590519
y,32.360000000,0.003061410984
y,36.940000000,0.002419200221
y,42.140000000,0.002803756034
y,48.100000000,0.002501793994
y,54.880000000,0.002079982298
y,62.620000000,0.002034467954
y,71.460000000,0.002081109181
y,81.540000000,0.002469113362
y,93.040000000,0.002026627032
y,106.160000000,0.001963454783
y,121.140000000,0.002613309169
y,138.240000000,0.002666856390
y,157.740000000,0.002563939718
y,179.980000000,0.002632844803
z,0.020000000,0.059901440262
z,0.040000000,0.042231249411
z,0.060000000,0.034633567800
z,0.080000000,0.030040542810
z,0.100000000,0.026805961181
z,0.120000000,0.024655400768
z,0.140000000,0.022848182523
z,0.160000000,0.021461802911
z,0.180000000,0.020217525592
z,0.200000000,0.019305438908
z,0.240000000,0.017670608634
z,0.280000000,0.016246605420
z,0.300000000,0.015737909727
z,0.360000000,0.014550855748
z,0.400000000,0.013734611696
z,0.460000000,0.012880576740
z,0.540000000,0.011564917176
z,0.600000000,0.011189284405
z,0.700000000,0.010174045639
z,0.800000000,0.009905519712
z,0.900000000,0.009354614011
z,1.040000000,0.008861987207
z,1.180000000,0.008228099924
z,1.360000000,0.007904488922
z,1.540000000,0.007376929124
z,1.760000000,0.006941934822
z,2.020000000,0.006458266068
z,2.300000000,0.006120775201
z,2.620000000,0.005594751468
z,3.000000000,0.005223623774
z,3.420000000,0.004855452717
z,3.920000000,0.004567284355
z,4.460000000,0.004532215891
z,5.100000000,0.003991292772
z,5.820000000,0.003697076487
z,6.640000000,0.003678169725
z,7.580000000,0.003449374279
z,8.640000000,0.003277044268
z,9.860000000,0.003091491177
z,11.260000000,0.003050575353
z,12.840000000,0.002812978261
z,14.660000000,0.002387888311
z,16.720000000,0.002502049721
z,19.100000000,0.002280102227
z,21.780000000,0.002237316133
z,24.860000000,0.002331636423
z,28.360000000,0.002007031198
z,32.360000000,0.002170216256
z,36.940000000,0.001939498196
z,42.140000000,0.002324368991
z,48.100000000,0.002230281830
z,54.880000000,0.002349710845
z,62.620000000,0.002194838026
z,71.460000000,0.002247685436
z,81.540000000,0.002534862969
z,93.040000000,0.002259724978
z,106.160000000,0.002002432790
z,121.140000000,0.002495256478
z,138.240000000,0.002615754791
z,157.740000000,0.002570448688
z,179.980000000,0.002593098405
