item,value,unit,note
source_file,mag_ellipsoid_20260616_203040.csv,,latest mag ellipsoid data
samples,3600,rows,
hard_iron_x,77.082135,raw count,ellipsoid center
hard_iron_y,-94.427834,raw count,ellipsoid center
hard_iron_z,-36.852085,raw count,ellipsoid center
ellipsoid_radius_1,432.418608,raw count,principal radius
ellipsoid_radius_2,419.271149,raw count,principal radius
ellipsoid_radius_3,409.794040,raw count,principal radius
axis_imbalance,1.055210,ratio,larger means stronger soft-iron
target_radius,420.494599,raw count,mean principal radius
raw_radius_mean,414.624132,raw count,before calibration
raw_radius_std,25.286043,raw count,before calibration
raw_radius_cv,0.060985,ratio,before calibration
cal_radius_mean,416.979395,raw count,after calibration
cal_radius_std,23.861538,raw count,after calibration
cal_radius_cv,0.057225,ratio,after calibration
cv_improvement,1.065718,ratio,raw CV / calibrated CV
