m,tau_s,allan_dev_c,local_slope
1,0.10000000000002274,0.23387493066489778,-0.4555607562832654
2,0.20000000000004547,0.17054783837360182,-0.44832475732733856
3,0.3000000000000682,0.14244444100595602,-0.4318085701306056
4,0.40000000000009095,0.12612023039105177,-0.36626160954772313
5,0.5000000000001137,0.1173714143327621,-0.2832665610357257
6,0.6000000000001364,0.11211157158373888,-0.21259208193582246
7,0.7000000000001592,0.10904827847715477,-0.1667343294857737
8,0.8000000000001819,0.10680752750819769,0.026680970745115218
9,0.9000000000002046,0.10919078706858466,0.10606167359263097
10,1.0000000000002274,0.1095749532166413,-0.0675612485437096
11,1.1000000000002501,0.10792866186637252,0.17899670861517158
12,1.2000000000002728,0.11260439362034101,0.377493257620638
14,1.4000000000003183,0.11582189637138633,0.5080125151760626
15,1.500000000000341,0.12116415509100711,0.6252922081836729
17,1.7000000000003865,0.13018880443379333,0.402142303888807
19,1.900000000000432,0.13385152175415346,0.4716702507196775
21,2.1000000000004775,0.1431581534275581,0.7009652220120941
24,2.4000000000005457,0.15802883375472546,0.6645211382419944
27,2.700000000000614,0.16955783138668665,0.7016866671772384
30,3.000000000000682,0.18436372556853256,0.8010705578182993
33,3.3000000000007503,0.19910275497415253,0.7713732485070022
37,3.7000000000008413,0.21641290858385615,0.753675344971013
42,4.200000000000955,0.23894406516576164,0.785039247795563
47,4.700000000001069,0.2610976096311878,0.7644637778171104
52,5.200000000001182,0.2814666587288598,0.7987362488062146
58,5.800000000001319,0.30914285706359884,0.8574896227086013
65,6.500000000001478,0.34081634743488987,0.7933494130982996
73,7.30000000000166,0.37093157852123576,0.7929911992819738
81,8.100000000001842,0.4052063073094547,0.8070108250866435
91,9.100000000002069,0.4426389171265914,0.7783625221558736
102,10.20000000000232,0.4848014079176238,0.752346423803345
113,11.30000000000257,0.5214727291553521,0.7490947326135555
127,12.700000000002888,0.571974410037742,0.8884251791363833
141,14.100000000003206,0.6333869899296842,0.9585183608654522
158,15.800000000003593,0.704943813715208,0.7494059988279165
176,17.600000000004002,0.7495354275698439,0.7007293901050266
197,19.70000000000448,0.8238687103967248,0.8666936531653557
220,22.000000000005002,0.9093447088902958,0.725842342963557
246,24.600000000005593,0.9675896210670863,0.6869620883200416
274,27.40000000000623,1.0562768866135381,0.8491684058205938
306,30.600000000006958,1.1648341085372724,0.734604523274541
342,34.200000000007776,1.242799357112245,0.7892123077183408
382,38.200000000008686,1.3873564643507776,0.9201092889238927
426,42.600000000009686,1.5214816857011968,0.7358441365543091
476,47.60000000001082,1.6304338913027965,0.6813782868176452
532,53.200000000012096,1.7702459996530686,0.9602037266205707
594,59.400000000013506,2.015887818657048,0.8644087605306465
663,66.30000000001507,2.1417337060712893,0.5636819281385881
740,74.00000000001683,2.2817439732444185,0.7207953343972586
826,82.60000000001878,2.509493083216268,0.6988246718058573
922,92.20000000002096,2.6607450452850343,0.6168342061225225
1030,103.00000000002342,2.875903520626013,0.8722329726859179
1150,115.00000000002615,3.225710166173406,1.1863624658766927
1284,128.4000000000292,3.735459928762261,0.6590283669247121
1433,143.30000000003258,3.7311609588146655,0.3177383824384279
1600,160.00000000003638,4.007119233412109,0.8035738439988247
1786,178.6000000000406,4.453063775992127,0.5824327660690729
1994,199.40000000004534,4.554637182775542,0.46394466135700796
2227,222.70000000005064,4.934025546984714,0.9913002253343395
2486,248.60000000005653,5.666074605525466,0.3087092212678968
2775,277.5000000000631,5.281198068421857,0.7613309108562367
3098,309.80000000007044,6.702072096621889,1.2370411097762748
3459,345.90000000007865,6.934383222860074,0.13868522058769273
3862,386.2000000000878,6.910159740729915,-0.9006634392295894
4311,431.100000000098,5.689135333130594,0.68401123412497
4813,481.30000000010943,8.03962457552918,2.0534151638007545
5374,537.4000000001222,8.943404685733444,0.3317549290355224
5999,599.9000000001364,8.651670551977995,-0.3014346516946704
