sample,elapsed_s,temp_c
0,0.007,31.000
1,0.100,31.000
2,0.201,31.000
3,0.300,31.000
4,0.400,31.000
5,0.500,31.000
6,0.600,31.000
7,0.701,31.000
8,0.800,31.000
9,0.900,31.000
10,1.000,31.000
11,1.100,31.000
12,1.201,31.000
13,1.300,31.000
14,1.400,31.000
15,1.500,31.000
16,1.600,31.000
17,1.700,31.000
18,1.800,31.000
19,1.901,31.000
20,2.000,31.000
21,2.100,31.000
22,2.200,31.000
23,2.301,31.000
24,2.400,31.000
25,2.500,31.000
26,2.600,31.000
27,2.701,31.000
28,2.800,31.000
29,2.900,31.000
30,3.000,31.000
31,3.100,31.000
32,3.200,31.000
33,3.300,31.000
34,3.400,31.000
35,3.501,31.000
36,3.600,31.000
37,3.700,31.000
38,3.801,31.000
39,3.900,31.000
40,4.001,31.000
41,4.100,31.000
42,4.200,31.000
43,4.301,31.000
44,4.400,31.000
45,4.500,31.000
46,4.600,31.000
47,4.700,31.000
48,4.800,31.000
49,4.900,31.000
50,5.001,31.000
51,5.100,31.000
52,5.200,31.000
53,5.300,31.000
54,5.401,31.000
55,5.500,31.000
56,5.601,31.000
57,5.700,31.000
58,5.800,31.000
59,5.900,31.000
60,6.000,31.000
61,6.100,31.000
62,6.200,31.000
63,6.300,31.000
64,6.401,31.000
65,6.500,31.000
66,6.600,31.000
67,6.700,31.000
68,6.800,31.000
69,6.900,31.000
70,7.000,31.000
71,7.282,31.000
72,7.337,31.000
73,7.343,31.000
74,7.401,31.000
75,7.500,31.000
76,7.600,31.000
77,7.700,31.000
78,7.800,31.000
79,7.901,31.000
80,8.000,31.000
81,8.100,31.000
82,8.200,31.000
83,8.300,31.000
84,8.400,31.000
85,8.501,31.000
86,8.600,31.000
87,8.700,31.000
88,8.800,31.000
89,8.900,31.000
90,9.000,31.000
91,9.100,31.000
92,9.200,31.000
93,9.301,31.000
94,9.400,31.000
95,9.500,31.000
96,9.600,31.000
97,9.700,31.000
98,9.800,31.000
99,9.900,31.000
100,10.001,31.000
101,10.100,31.000
102,10.200,31.000
103,10.300,31.000
104,10.400,31.000
105,10.500,31.000
106,10.601,31.000
107,10.700,31.000
108,10.800,31.000
109,10.900,31.000
110,11.001,31.000
111,11.100,31.000
112,11.200,31.000
113,11.300,31.000
114,11.400,31.000
115,11.500,31.000
116,11.600,31.000
117,11.700,31.000
118,11.800,31.000
119,11.900,31.000
120,12.000,31.000
121,12.100,31.000
122,12.200,31.000
123,12.300,31.000
124,12.401,31.000
125,12.500,31.000
126,12.600,31.000
127,12.700,31.000
128,12.801,31.000
129,12.900,31.000
130,13.000,31.000
131,13.100,31.000
132,13.200,31.000
133,13.300,31.000
134,13.400,31.000
135,13.500,31.000
136,13.601,31.000
137,13.700,31.000
138,13.800,31.000
139,13.900,31.000
140,14.001,31.000
141,14.100,31.000
142,14.201,31.000
143,14.300,31.000
144,14.400,31.000
145,14.500,31.000
146,14.601,31.000
147,14.700,31.000
148,14.800,31.000
149,14.900,31.000
150,15.000,31.000
151,15.101,31.000
152,15.200,31.000
153,15.300,31.000
154,15.401,31.000
155,15.500,31.000
156,15.600,31.000
157,15.700,31.000
158,15.800,31.000
159,15.900,31.000
160,16.000,31.000
161,16.101,31.000
162,16.201,31.000
163,16.300,31.000
164,16.400,31.000
165,16.500,31.000
166,16.600,31.000
167,16.700,31.000
168,16.800,31.000
169,16.901,31.000
170,17.000,31.000
171,17.100,31.000
