pc_time_ns,line
1780022516430227300,# timestamp drift capture
1780022516441429500,"# columns: index,esp_ticks_ms,esp_ticks_us,cpu_freq_hz"
1780022516441429500,"index,esp_ticks_ms,esp_ticks_us,cpu_freq_hz"
1780022516442459200,"0,1431410,357668276,160000000"
1780022517435448200,"1,1432412,358670690,160000000"
1780022518429790300,"2,1433410,359668689,160000000"
1780022519432409500,"3,1434413,360671688,160000000"
1780022520429954400,"4,1435411,361669676,160000000"
1780022521434228300,"5,1436409,362667663,160000000"
1780022522431649800,"6,1437412,363670659,160000000"
1780022523427530400,"7,1438410,364668631,160000000"
1780022524440526400,"8,1439413,365671615,160000000"
1780022525437475600,"9,1440411,366669602,160000000"
1780022526434118000,"10,1441409,367667585,160000000"
1780022527431633400,"11,1442412,368670566,160000000"
1780022528429080100,"12,1443410,369668546,160000000"
1780022529441221200,"13,1444413,370671550,160000000"
1780022530429552600,"14,1445411,371669539,160000000"
1780022531426684000,"15,1446409,372667516,160000000"
1780022532438043000,"16,1447412,373670504,160000000"
1780022533433485300,"17,1448410,374668481,160000000"
1780022534438575400,"18,1449413,375671477,160000000"
1780022535433346300,"19,1450411,376669446,160000000"
1780022536427364700,"20,1451409,377667417,160000000"
1780022537432416600,"21,1452412,378670424,160000000"
1780022538431337100,"22,1453410,379668402,160000000"
1780022539432250200,"23,1454413,380671383,160000000"
1780022540431103700,"24,1455411,381669371,160000000"
1780022541426990100,"25,1456409,382667354,160000000"
1780022542431726700,"26,1457412,383670335,160000000"
1780022543431579100,"27,1458410,384668310,160000000"
1780022544429781200,"28,1459413,385671301,160000000"
1780022545427479500,"29,1460411,386669281,160000000"
1780022546428710800,"30,1461409,387667257,160000000"
1780022547438096500,"31,1462412,388670265,160000000"
1780022548426399600,"32,1463410,389668241,160000000"
1780022549434410800,"33,1464413,390671244,160000000"
1780022550432181900,"34,1465411,391669239,160000000"
1780022551431317000,"35,1466409,392667214,160000000"
1780022552431754600,"36,1467412,393670217,160000000"
1780022553434330100,"37,1468410,394668210,160000000"
1780022554433942500,"38,1469413,395671204,160000000"
1780022555433092300,"39,1470411,396669192,160000000"
1780022556435010900,"40,1471414,397672187,160000000"
1780022557428578500,"41,1472411,398670175,160000000"
1780022558429037400,"42,1473409,399668156,160000000"
1780022559430674900,"43,1474412,400671164,160000000"
1780022560431590000,"44,1475410,401669149,160000000"
1780022561437243300,"45,1476413,402672139,160000000"
1780022562434974200,"46,1477411,403670121,160000000"
1780022563432383700,"47,1478409,404668115,160000000"
1780022564429838600,"48,1479412,405671096,160000000"
1780022565427863800,"49,1480410,406669078,160000000"
1780022566437423000,"50,1481413,407672074,160000000"
1780022567435251600,"51,1482411,408670060,160000000"
1780022568432851800,"52,1483409,409668032,160000000"
1780022569432590400,"53,1484412,410671050,160000000"
1780022570427721300,"54,1485410,411669035,160000000"
1780022571430384400,"55,1486413,412672025,160000000"
1780022572427061000,"56,1487411,413670021,160000000"
1780022573434431700,"57,1488409,414668005,160000000"
1780022574427798200,"58,1489412,415671000,160000000"
1780022575433747400,"59,1490410,416668971,160000000"
1780022576428075200,"60,1491413,417671956,160000000"
1780022577434567700,"61,1492411,418669949,160000000"
1780022578429997900,"62,1493409,419667936,160000000"
1780022579427945000,"63,1494412,420670935,160000000"
1780022580425704700,"64,1495410,421668914,160000000"
1780022581430182500,"65,1496413,422671918,160000000"
1780022582432898300,"66,1497411,423669904,160000000"
1780022583430218900,"67,1498409,424667887,160000000"
1780022584430105700,"68,1499412,425670876,160000000"
1780022585433321200,"69,1500410,426668854,160000000"
1780022586431124200,"70,1501413,427671846,160000000"
1780022587430483200,"71,1502411,428669840,160000000"
1780022588429171500,"72,1503409,429667820,160000000"
1780022589427057400,"73,1504412,430670824,160000000"
1780022590425939800,"74,1505410,431668814,160000000"
1780022591433013200,"75,1506413,432671802,160000000"
1780022592433177300,"76,1507411,433669792,160000000"
1780022593431198700,"77,1508409,434667778,160000000"
1780022594430227700,"78,1509412,435670763,160000000"
1780022595431213100,"79,1510410,436668744,160000000"
1780022596437972700,"80,1511413,437671737,160000000"
1780022597424827600,"81,1512411,438669725,160000000"
1780022598424788400,"82,1513409,439667704,160000000"
1780022599434702700,"83,1514412,440670713,160000000"
1780022600424585400,"84,1515410,441668692,160000000"
1780022601435084300,"85,1516413,442671689,160000000"
1780022602425862100,"86,1517411,443669684,160000000"
1780022603427535400,"87,1518409,444667662,160000000"
1780022604428360900,"88,1519412,445670646,160000000"
1780022605433511500,"89,1520410,446668629,160000000"
1780022606432015600,"90,1521413,447671624,160000000"
1780022607432646500,"91,1522411,448669610,160000000"
1780022608430194500,"92,1523409,449667589,160000000"
1780022609435909000,"93,1524412,450670600,160000000"
1780022610425978900,"94,1525410,451668581,160000000"
1780022611434773900,"95,1526413,452671575,160000000"
1780022612431138800,"96,1527411,453669560,160000000"
1780022613429569800,"97,1528409,454667548,160000000"
1780022614430711400,"98,1529412,455670550,160000000"
1780022615431422800,"99,1530410,456668524,160000000"
1780022616434801900,"100,1531413,457671506,160000000"
1780022617427321400,"101,1532411,458669499,160000000"
1780022618422462100,"102,1533409,459667482,160000000"
1780022619434986400,"103,1534412,460670485,160000000"
1780022620430385200,"104,1535410,461668456,160000000"
1780022621431350800,"105,1536413,462671452,160000000"
1780022622427143600,"106,1537411,463669417,160000000"
1780022623425264100,"107,1538409,464667413,160000000"
1780022624427850100,"108,1539412,465670421,160000000"
1780022625425181000,"109,1540410,466668406,160000000"
1780022626429786800,"110,1541413,467671396,160000000"
1780022627426215400,"111,1542411,468669390,160000000"
1780022628423907900,"112,1543409,469667367,160000000"
1780022629430892000,"113,1544412,470670374,160000000"
1780022630430285000,"114,1545410,471668360,160000000"
1780022631431816200,"115,1546413,472671352,160000000"
1780022632430611700,"116,1547411,473669342,160000000"
1780022633431264300,"117,1548409,474667328,160000000"
1780022634429997200,"118,1549412,475670328,160000000"
1780022635430973700,"119,1550410,476668299,160000000"
1780022636434813400,"120,1551413,477671287,160000000"
1780022637429492400,"121,1552411,478669275,160000000"
1780022638426805900,"122,1553409,479667254,160000000"
1780022639428552900,"123,1554412,480670263,160000000"
1780022640424774300,"124,1555410,481668235,160000000"
1780022641424871600,"125,1556413,482671228,160000000"
1780022642423764200,"126,1557411,483669200,160000000"
1780022643433612100,"127,1558414,484672202,160000000"
1780022644434183800,"128,1559412,485670192,160000000"
1780022645424891000,"129,1560409,486668171,160000000"
1780022646426010400,"130,1561412,487671163,160000000"
1780022647425771700,"131,1562410,488669142,160000000"
1780022648427003200,"132,1563413,489672129,160000000"
1780022649428298000,"133,1564411,490670125,160000000"
1780022650426806700,"134,1565409,491668099,160000000"
1780022651430367500,"135,1566412,492671100,160000000"
1780022652430655300,"136,1567410,493669075,160000000"
1780022653432446500,"137,1568413,494672063,160000000"
1780022654430417600,"138,1569411,495670025,160000000"
1780022655429234200,"139,1570409,496668013,160000000"
1780022656424996800,"140,1571412,497671006,160000000"
1780022657425936500,"141,1572410,498668999,160000000"
1780022658426848700,"142,1573413,499671992,160000000"
1780022659426779900,"143,1574411,500669983,160000000"
1780022660423621400,"144,1575409,501667951,160000000"
1780022661427540100,"145,1576412,502670949,160000000"
1780022662425335600,"146,1577410,503668917,160000000"
1780022663431460800,"147,1578413,504671925,160000000"
1780022664422719900,"148,1579411,505669894,160000000"
1780022665423774800,"149,1580409,506667874,160000000"
1780022666432614500,"150,1581412,507670854,160000000"
1780022667422898700,"151,1582410,508668840,160000000"
1780022668432733000,"152,1583413,509671831,160000000"
1780022669428587100,"153,1584411,510669824,160000000"
1780022670429260800,"154,1585409,511667808,160000000"
1780022671426951800,"155,1586412,512670802,160000000"
1780022672425776000,"156,1587410,513668792,160000000"
1780022673431285800,"157,1588413,514671791,160000000"
1780022674429147900,"158,1589411,515669754,160000000"
1780022675425463500,"159,1590409,516667728,160000000"
1780022676425996900,"160,1591412,517670718,160000000"
1780022677425130000,"161,1592410,518668690,160000000"
1780022678432096700,"162,1593413,519671671,160000000"
1780022679430995600,"163,1594411,520669663,160000000"
1780022680428802700,"164,1595409,521667638,160000000"
1780022681422941700,"165,1596412,522670628,160000000"
1780022682422423800,"166,1597410,523668608,160000000"
1780022683424588400,"167,1598413,524671602,160000000"
1780022684428383200,"168,1599411,525669592,160000000"
1780022685424864500,"169,1600409,526667575,160000000"
1780022686422829200,"170,1601412,527670574,160000000"
1780022687423626500,"171,1602410,528668554,160000000"
1780022688431326500,"172,1603413,529671553,160000000"
1780022689429450500,"173,1604411,530669550,160000000"
1780022690427554600,"174,1605409,531667520,160000000"
1780022691424363700,"175,1606412,532670514,160000000"
1780022692425253500,"176,1607410,533668518,160000000"
1780022693426976500,"177,1608413,534671514,160000000"
1780022694428469300,"178,1609411,535669502,160000000"
1780022695420653400,"179,1610409,536667488,160000000"
1780022696430065200,"180,1611412,537670481,160000000"
1780022697430449400,"181,1612410,538668460,160000000"
1780022698432304400,"182,1613413,539671449,160000000"
1780022699423915300,"183,1614411,540669431,160000000"
1780022700423189000,"184,1615409,541667410,160000000"
1780022701430872500,"185,1616412,542670399,160000000"
1780022702420250600,"186,1617410,543668377,160000000"
1780022703429795900,"187,1618413,544671375,160000000"
1780022704423859300,"188,1619411,545669371,160000000"
1780022705421633700,"189,1620409,546667345,160000000"
1780022706427192300,"190,1621412,547670346,160000000"
1780022707421621500,"191,1622410,548668334,160000000"
1780022708429214100,"192,1623413,549671306,160000000"
1780022709430332900,"193,1624411,550669278,160000000"
1780022710426269900,"194,1625409,551667251,160000000"
1780022711422395000,"195,1626412,552670231,160000000"
1780022712419389800,"196,1627410,553668210,160000000"
1780022713424269100,"197,1628413,554671216,160000000"
1780022714421992200,"198,1629411,555669204,160000000"
1780022715428415500,"199,1630414,556672192,160000000"
1780022716425436100,"200,1631411,557670162,160000000"
1780022717424996300,"201,1632409,558668141,160000000"
1780022718427013300,"202,1633412,559671116,160000000"
1780022719425946200,"203,1634410,560669113,160000000"
1780022720431904000,"204,1635413,561672100,160000000"
1780022721423832300,"205,1636411,562670089,160000000"
1780022722423252400,"206,1637409,563668067,160000000"
1780022723421894400,"207,1638412,564671052,160000000"
1780022724420811300,"208,1639410,565669039,160000000"
1780022725428945800,"209,1640413,566672039,160000000"
1780022726428231800,"210,1641411,567670013,160000000"
1780022727426300700,"211,1642409,568668010,160000000"
1780022728423877400,"212,1643412,569671003,160000000"
1780022729423016700,"213,1644410,570668975,160000000"
1780022730427124100,"214,1645413,571671960,160000000"
1780022731421243200,"215,1646411,572669950,160000000"
1780022732422840200,"216,1647409,573667939,160000000"
1780022733428014000,"217,1648412,574670938,160000000"
