pc_time_ns,index,esp_ticks_ms,esp_ticks_us,cpu_freq_hz,pc_elapsed_s,esp_elapsed_s,drift_ms
1780022516442459200,0,1431410,357668276,160000000,0.0,0.0,0.0
1780022517435448200,1,1432412,358670690,160000000,0.992989,1.002,9.010999999999992
1780022518429790300,2,1433410,359668689,160000000,1.9873311,2.0,12.668899999999983
1780022519432409500,3,1434413,360671688,160000000,2.9899503,3.003,13.049700000000275
1780022520429954400,4,1435411,361669676,160000000,3.9874952,4.001,13.504800000000206
1780022521434228300,5,1436409,362667663,160000000,4.9917691,4.999,7.230899999999707
1780022522431649800,6,1437412,363670659,160000000,5.9891906,6.002,12.809400000000082
1780022523427530400,7,1438410,364668631,160000000,6.9850712,7.0,14.928799999999853
1780022524440526400,8,1439413,365671615,160000000,7.9980672,8.003,4.932799999999737
1780022525437475600,9,1440411,366669602,160000000,8.9950164,9.001,5.983599999998646
1780022526434118000,10,1441409,367667585,160000000,9.9916588,9.999,7.341200000000825
1780022527431633400,11,1442412,368670566,160000000,10.9891742,11.002,12.825799999999887
1780022528429080100,12,1443410,369668546,160000000,11.9866209,12.0,13.379099999999866
1780022529441221200,13,1444413,370671550,160000000,12.998762,13.003,4.238000000000852
1780022530429552600,14,1445411,371669539,160000000,13.9870934,14.001,13.906600000000324
1780022531426684000,15,1446409,372667516,160000000,14.9842248,14.999,14.775200000000765
1780022532438043000,16,1447412,373670504,160000000,15.9955838,16.002,6.41619999999854
1780022533433485300,17,1448410,374668481,160000000,16.9910261,17.0,8.973900000000867
1780022534438575400,18,1449413,375671477,160000000,17.9961162,18.003,6.883800000000662
1780022535433346300,19,1450411,376669446,160000000,18.9908871,19.001,10.112900000002867
1780022536427364700,20,1451409,377667417,160000000,19.9849055,19.999,14.094499999998789
1780022537432416600,21,1452412,378670424,160000000,20.9899574,21.002,12.04259999999735
1780022538431337100,22,1453410,379668402,160000000,21.9888779,22.0,11.122100000001467
1780022539432250200,23,1454413,380671383,160000000,22.989791,23.003,13.208999999999804
1780022540431103700,24,1455411,381669371,160000000,23.9886445,24.001,12.35550000000174
1780022541426990100,25,1456409,382667354,160000000,24.9845309,24.999,14.469099999999457
1780022542431726700,26,1457412,383670335,160000000,25.9892675,26.002,12.732499999998481
1780022543431579100,27,1458410,384668310,160000000,26.9891199,27.0,10.880100000001391
1780022544429781200,28,1459413,385671301,160000000,27.987322,28.003,15.678000000001191
1780022545427479500,29,1460411,386669281,160000000,28.9850203,29.001,15.979700000002595
1780022546428710800,30,1461409,387667257,160000000,29.9862516,29.999,12.748399999999549
1780022547438096500,31,1462412,388670265,160000000,30.9956373,31.002,6.3627000000003875
1780022548426399600,32,1463410,389668241,160000000,31.9839404,32.0,16.059599999998397
1780022549434410800,33,1464413,390671244,160000000,32.9919516,33.003,11.048399999999958
1780022550432181900,34,1465411,391669239,160000000,33.9897227,34.001,11.27729999999616
1780022551431317000,35,1466409,392667214,160000000,34.9888578,34.999,10.142200000004209
1780022552431754600,36,1467412,393670217,160000000,35.9892954,36.002,12.704599999999289
1780022553434330100,37,1468410,394668210,160000000,36.9918709,37.0,8.12909999999789
1780022554433942500,38,1469413,395671204,160000000,37.9914833,38.003,11.516700000001379
1780022555433092300,39,1470411,396669192,160000000,38.9906331,39.001,10.366900000001067
