angle_deg,n,yaw_raw_mean_deg,yaw_raw_sd_deg,yaw_cal_mean_deg,yaw_cal_sd_deg,b_cal_mean_ut,b_cal_sd_ut,raw_relative_deg,cal_relative_deg,raw_rel_error_deg,cal_rel_error_deg
0,26,62.08,0.74,65.43,0.91,48.75,0.05,0.00,0.00,0.00,0.00
30,17,91.37,0.09,104.02,0.12,52.00,0.06,29.28,38.59,-0.72,8.59
60,17,120.23,0.23,138.79,0.26,48.89,0.07,58.14,73.36,-1.86,13.36
90,15,150.49,0.27,172.83,0.19,45.15,0.07,88.41,107.40,-1.59,17.40
120,16,182.70,1.56,196.09,1.26,42.07,0.10,120.61,130.66,0.61,10.66
150,12,210.06,0.30,214.04,0.19,43.59,0.05,147.98,148.61,-2.02,-1.39
180,16,241.50,1.23,233.73,0.84,42.61,0.05,179.41,168.30,-0.59,-11.70
210,20,270.78,0.53,254.31,0.45,40.75,0.07,208.70,188.89,-1.30,-21.11
240,15,301.30,0.35,278.68,0.39,41.66,0.06,239.21,213.25,-0.79,-26.75
270,15,330.16,0.23,312.54,0.20,40.51,0.07,268.07,247.11,-1.93,-22.89
300,12,1.12,0.41,347.34,0.48,43.27,0.06,299.04,281.91,-0.96,-18.09
330,12,30.20,0.13,25.35,0.15,47.06,0.04,328.11,319.92,-1.89,-10.08
