run_id,t_s,bx_ut,by_ut,bz_ut
2342474,8.656,18.8991,6.5138,41.1009
2342474,8.829,25.5046,2.8440,39.5413
2342474,8.996,36.1468,3.4862,31.3761
2342474,9.182,41.8349,11.1009,18.8991
2342474,9.348,39.9083,17.8899,14.5872
2342474,9.514,38.3486,21.7431,10.9174
2342474,9.680,35.5046,26.5138,5.5963
2342474,9.848,31.2844,28.8991,10.0917
2342474,10.014,28.7156,27.7982,16.7890
2342474,10.180,25.5963,24.6789,24.6789
2342474,10.348,29.1743,20.6422,26.1468
2342474,10.514,37.3394,14.7706,22.6606
2342474,10.680,35.7798,1.7431,32.5688
2342474,10.848,29.0826,-13.0275,39.5413
2342474,11.014,16.5138,-19.7248,44.0367
2342474,11.180,12.3853,-20.4587,44.6789
2342474,11.348,12.0183,-23.8532,43.6697
2342474,11.514,12.6606,-27.5229,42.2018
2342474,11.680,20.6422,-24.5872,41.1009
2342474,11.846,31.1927,-14.6789,37.6147
2342474,12.014,30.8257,-3.8532,37.8899
2342474,12.180,32.7523,8.7156,32.2018
2342474,12.346,32.0183,20.4587,23.5780
2342474,12.514,32.6605,24.8624,16.5138
2342474,12.680,34.3119,26.2385,10.4587
2342474,12.846,31.1927,23.3945,21.1009
2342474,13.015,34.0367,19.2661,22.7523
2342474,13.214,37.8899,15.9633,20.7339
2342474,13.381,40.3670,13.4862,19.2661
2342474,13.548,40.0917,5.3211,25.7798
2342474,13.715,38.0734,-0.1835,30.5505
2342474,13.881,30.0917,7.3394,35.0459
2342474,14.047,18.9908,8.3486,40.4587
2342474,14.214,23.1193,7.4312,39.0826
2342474,14.381,31.3761,0.7339,36.6972
2342474,14.547,30.0000,11.8349,32.8440
2342474,14.714,20.7339,10.3670,38.7156
2342474,14.881,31.2844,21.8349,23.0275
2342474,15.047,25.5963,19.9083,29.8165
2342474,15.214,26.4220,18.0734,30.9174
2342474,15.381,28.0734,13.8532,33.0275
2342474,15.547,23.1193,18.0734,33.0275
2342474,15.713,23.2110,16.4220,34.0367
2342474,15.880,24.6789,14.6789,34.4954
2342474,16.047,26.8807,7.7064,37.1560
2342474,16.213,28.9908,6.6055,36.4220
2342474,16.380,28.8991,5.6881,36.9725
2342474,16.547,30.0000,6.4220,35.9633
2342474,16.713,35.8716,12.3853,27.0642
2342474,16.880,40.9174,18.1651,11.3761
2342474,17.047,39.3578,22.0183,5.8716
2342474,17.215,33.6697,25.5963,12.9358
2342474,17.423,28.7156,26.1468,19.1743
2342474,17.590,26.0550,22.2936,26.5138
2342474,17.759,3.1193,13.8532,39.5413
2342474,17.925,-5.0459,7.7982,41.4679
2342474,18.092,-12.3853,6.2385,39.5413
2342474,18.259,-10.4587,11.2844,37.8899
2342474,18.425,4.9541,17.4312,37.5229
2342474,18.592,19.7248,23.1193,29.1743
2342474,18.759,25.8716,25.6881,22.2018
2342474,18.925,25.7798,26.1468,21.3761
2342474,19.091,21.2844,20.1835,31.1927
2342474,19.259,3.4862,10.6422,41.5596
2342474,19.425,3.8532,7.0642,43.5780
2342474,19.591,3.0275,4.4954,44.9541
2342474,19.759,24.4954,7.4312,39.3578
2342474,19.925,32.2018,12.9358,30.3670
2342474,20.091,37.8899,16.8807,18.4404
2342474,20.259,28.8991,26.7890,15.5046
2342474,20.425,24.4037,31.1009,11.2844
2342474,20.591,22.2936,32.0183,11.3761
2342474,20.757,18.3486,31.7431,15.8716
2342474,20.925,18.9908,28.7156,21.5596
2342474,21.091,22.5688,17.7982,32.7523
2342474,21.257,26.3303,3.6697,39.4495
2342474,21.427,25.9633,-4.4954,42.0183
2342474,21.650,22.5688,-8.0734,44.6789
2342474,21.817,24.0367,2.4771,41.4679
2342474,21.984,32.9358,9.8165,31.8349
2342474,22.150,37.2477,13.3945,23.7615
2342474,22.317,38.9908,18.1651,13.3945
2342474,22.483,35.8716,23.9450,6.4220
2342474,22.650,32.1101,27.3394,5.5046
2342474,22.817,25.5963,31.6514,1.2844
2342474,22.983,21.6514,32.9358,3.6697
2342474,23.150,24.1284,28.3486,15.8716
2342474,23.317,22.3853,21.5596,28.0734
2342474,23.483,16.5138,15.0459,36.7890
2342474,23.650,0.3670,8.7156,42.2018
2342474,23.817,-5.6881,8.5321,41.0092
2342474,23.983,-6.3303,14.2202,37.4312
2342474,24.149,3.6697,21.7431,33.3027
2342474,24.316,20.7339,26.2385,23.5780
2342474,24.483,26.9725,28.8073,12.2018
2342474,24.649,25.9633,30.9174,7.3394
2342474,24.816,29.4495,28.5321,7.4312
2342474,24.983,35.7798,20.6422,14.4954
2342474,25.149,38.0734,11.1927,23.2110
2342474,25.316,37.2477,0.7339,31.1009
2342474,25.483,27.1560,-3.5780,40.9174
2342474,25.651,23.5780,-1.9266,42.5688
2342474,25.886,26.6972,13.6697,33.3027
2342474,26.053,31.0092,22.2936,19.4495
2342474,26.219,29.8165,27.2477,10.0917
2342474,26.385,27.1560,30.0000,2.4771
2342474,26.569,32.3853,23.5780,13.5780
2342474,26.736,34.9541,12.5688,26.2385
2342474,26.902,36.0550,2.5688,31.7431
2342474,27.069,30.8257,-5.7798,39.0826
2342474,27.236,19.2661,-12.2936,45.8716
2342474,27.402,5.5963,-5.6881,47.4312
2342474,27.569,9.0826,6.2385,44.0367
2342474,27.736,23.0275,17.3395,32.6605
2342474,27.902,28.6239,22.8440,21.1927
2342474,28.068,28.5321,26.7890,12.4771
2342474,28.236,26.6055,26.0550,17.2477
2342474,28.404,26.6055,21.6514,24.4954
2342474,28.570,31.1927,12.7523,29.9083
2342474,28.737,29.0826,-2.7523,40.0917
2342474,28.904,12.4771,-16.6972,47.9817
2342474,29.070,-2.5688,-17.7064,47.6147
2342474,29.237,-5.7798,-12.5688,47.0642
2342474,29.404,-1.3761,-2.7523,47.0642
2342474,29.570,11.3761,7.3394,43.4862
2342474,29.737,27.1560,14.9541,31.9266
2342474,29.906,32.8440,19.2661,20.8257
2342474,30.101,34.2202,19.6330,17.8899
2342474,30.268,30.9174,11.4679,31.0092
2342474,30.435,23.6697,1.8349,41.3761
2342474,30.601,16.4220,-6.1468,46.4220
