item,value,unit,note
source_file,gps_baro_0005.csv,,
samples,4501,,
duration_s,899.751,s,
gps_valid_samples,4499,,
gps_valid_duration_s,899.654,s,
satellites_mean,5.870637919537675,,
satellites_max,7,,
hdop_mean,1.9416403645254503,,
gps_alt_mean_m,34.82902867303845,m,
gps_alt_std_m,8.38989523437894,m,
gps_relative_alt_std_m,8.38989523437894,m,
baro_alt_std_on_gps_valid_m,0.18485994508778486,m,
corrected_fused_alt_std_m,0.28553249406976744,m,
baro_alt_range_m,1.3369999999999997,m,
note,corrected_fused uses GPS relative altitude: gps_alt - first_valid_gps_alt,,
