# experiment,bmp280_staircase
# chip_id,0x58
# sample_hz,5
# sample_seconds,30
# p0_pa,100213.813
record_index,floor_hint,direction,samples,temp_c,pressure_pa,pressure_hpa,pressure_min_pa,pressure_max_pa,relative_alt_m
1,1,up,150,27.347,100253.914,1002.53912,100248.578,100258.719,-3.3768
2,2,up,150,27.609,100197.750,1001.97748,100191.625,100203.422,1.3528
3,3,up,150,28.256,100154.797,1001.54797,100150.453,100160.188,4.9701
4,4,up,150,28.677,100107.664,1001.07666,100102.906,100113.156,8.9388
5,5,up,150,28.957,100059.648,1000.59650,100050.281,100067.828,12.9868
6,6,up,150,29.575,100023.148,1000.23151,100018.422,100026.906,16.0624
7,6,down,150,29.927,100024.930,1000.24927,100019.406,100032.016,15.9118
8,5,down,150,29.582,100059.023,1000.59021,100053.938,100068.969,13.0396
9,4,down,150,29.574,100104.445,1001.04443,100097.813,100109.773,9.2110
10,3,down,150,29.306,100146.047,1001.46045,100141.133,100152.977,5.7073
11,2,down,150,29.278,100192.203,1001.92206,100184.625,100201.055,1.8205
12,1,down,150,28.715,100236.977,1002.36975,100230.250,100241.773,-1.9500
