t,gz_dps
0.196752,-0.045802
0.201401,0.0
0.206376,-0.076336
0.211387,-0.053435
0.216376,0.022901
0.221387,-0.061069
0.226376,0.022901
0.231387,-0.061069
0.236376,-0.083969
0.241387,-0.099237
0.246376,-0.068702
0.251387,-0.167939
0.256376,-0.083969
0.261387,-0.038168
0.266376,0.0
0.271387,0.007634
0.276376,-0.091603
0.281387,-0.045802
0.286376,-0.038168
0.291387,-0.045802
0.296376,-0.045802
0.301387,-0.053435
0.306376,0.0
0.311387,-0.076336
0.316376,-0.091603
0.321387,-0.175573
0.326376,-0.206107
0.331387,-0.244275
0.336376,-0.167939
0.341387,-0.091603
0.346376,-0.091603
0.351387,-0.122137
0.356376,-0.167939
0.361387,-0.10687
0.366376,-0.068702
0.371387,0.0
0.376376,-0.015267
0.381387,-0.091603
0.386376,-0.167939
0.391387,-0.183206
0.396376,-0.198473
0.401387,-0.068702
0.406376,0.0
0.411387,0.038168
0.416376,0.0
0.421387,0.022901
0.426376,-0.007634
0.431387,-0.068702
0.436376,-0.10687
0.441387,-0.083969
0.446376,-0.114504
0.451387,-0.114504
0.456376,-0.10687
0.461387,-0.030534
0.466376,0.007634
0.471387,-0.083969
0.476376,-0.152672
0.481387,-0.183206
0.486376,-0.137405
0.491387,0.0
0.496376,-0.015267
0.501387,-0.175573
0.506376,-0.122137
0.511387,-0.10687
0.516376,0.007634
0.521387,0.030534
0.526376,-0.091603
0.531387,-0.068702
0.536376,0.0
0.541387,-0.038168
0.546376,-0.030534
0.551387,-0.114504
0.556376,-0.114504
0.561387,-0.198473
0.566376,-0.221374
0.571387,-0.053435
0.576376,-0.038168
0.581387,0.0
0.586376,-0.068702
0.591387,-0.099237
0.596376,0.0
0.601387,0.015267
0.606376,-0.038168
0.611387,-0.083969
0.616376,-0.022901
0.621387,-0.091603
0.626376,-0.129771
0.631387,-0.038168
0.636376,-0.022901
0.641387,-0.030534
0.646376,-0.076336
0.651387,-0.068702
0.656376,-0.061069
0.661387,0.007634
0.666376,0.030534
0.671387,-0.030534
0.676376,-0.061069
0.681387,-0.129771
0.686376,-0.21374
0.691387,-0.061069
0.696376,0.053435
0.701387,0.022901
0.706376,-0.038168
0.711387,-0.099237
0.716376,-0.030534
0.721387,0.015267
0.726376,0.114504
0.731387,-0.068702
0.736376,-0.129771
0.741387,-0.160305
0.746376,-0.160305
0.751387,-0.152672
0.756376,-0.083969
0.761387,0.0
0.766376,-0.015267
0.771387,-0.091603
0.776376,-0.160305
0.781387,-0.083969
0.786376,-0.083969
0.791387,-0.152672
0.796376,-0.099237
0.801387,-0.061069
0.806376,-0.099237
0.811387,-0.076336
0.816376,-0.129771
0.821387,-0.083969
0.826376,-0.137405
0.831387,-0.122137
0.836376,-0.076336
0.841387,-0.030534
0.846376,0.045802
0.851387,-0.045802
0.856376,-0.068702
0.861387,-0.122137
0.866376,-0.221374
0.871387,-0.21374
0.876376,-0.083969
0.881387,-0.045802
0.886376,-0.152672
0.891387,-0.091603
0.896376,-0.099237
0.901387,-0.061069
0.906376,-0.114504
0.911387,-0.030534
0.916376,-0.045802
0.921387,-0.114504
0.926376,-0.129771
0.931387,-0.068702
0.936376,-0.015267
0.941387,-0.053435
0.946376,-0.145038
0.951387,-0.099237
0.956376,-0.038168
0.961387,0.038168
0.966376,0.061069
0.971387,0.030534
0.976376,-0.068702
0.981387,-0.129771
0.986376,-0.061069
0.991387,-0.122137
0.996376,-0.175573
1.001387,0.015267
1.006376,-0.030534
1.011387,-0.053435
1.016376,0.0
1.021387,-0.022901
1.026376,-0.022901
1.031387,-0.099237
1.036376,-0.129771
1.041387,-0.145038
1.046376,-0.053435
1.051387,-0.030534
1.056376,-0.099237
1.061387,-0.099237
1.066376,-0.068702
1.071387,-0.045802
1.076376,-0.038168
1.081387,-0.030534
1.086376,-0.053435
1.091387,-0.053435
1.096376,-0.038168
1.101387,-0.068702
1.106376,-0.038168
1.111387,-0.10687
1.116376,-0.099237
1.121387,-0.122137
1.126376,-0.221374
1.131387,-0.083969
1.136376,-0.053435
1.141387,-0.007634
1.146376,-0.015267
1.151387,-0.076336
1.156376,-0.114504
1.161387,-0.137405
1.166376,-0.114504
1.171387,-0.122137
1.176376,-0.145038
1.181387,-0.175573
1.186376,-0.114504
1.191387,-0.10687
1.196376,-0.068702
1.201387,-0.076336
1.206376,-0.022901
1.211387,-0.10687
1.216376,-0.10687
1.221387,-0.160305
1.226376,-0.022901
1.231387,-0.114504
1.236376,-0.122137
1.241387,-0.122137
1.246376,-0.122137
1.251387,-0.129771
1.256376,-0.083969
1.261387,-0.038168
1.266376,-0.038168
1.271387,-0.083969
1.276376,-0.091603
1.281387,-0.10687
1.286376,0.007634
1.291387,-0.053435
1.296376,-0.160305
1.301387,-0.099237
1.306376,-0.076336
1.311387,-0.091603
1.316376,-0.022901
1.321387,0.015267
1.326376,0.0
1.331387,-0.015267
1.336376,-0.076336
1.341387,-0.007634
1.346376,0.007634
1.351387,-0.083969
1.356376,-0.045802
1.361387,-0.083969
1.366376,-0.10687
1.371387,-0.10687
1.376376,-0.022901
1.381387,-0.091603
1.386376,-0.061069
1.391387,-0.007634
1.396376,0.022901
1.401387,-0.129771
1.406376,-0.068702
1.411387,-0.091603
1.416376,-0.030534
1.421387,-0.183206
1.426376,-0.137405
1.431387,-0.10687
1.436376,-0.053435
1.441387,0.015267
1.446376,-0.015267
1.451387,-0.167939
1.456376,-0.045802
1.461387,0.030534
1.466376,0.0
1.471387,0.053435
1.476376,-0.015267
1.481387,-0.152672
1.486376,-0.099237
1.491387,-0.038168
1.496376,-0.045802
1.501387,-0.007634
1.506376,-0.061069
1.511387,-0.099237
1.516376,-0.152672
1.521387,-0.122137
1.526376,-0.045802
1.531387,-0.091603
1.536376,-0.083969
1.541387,-0.145038
1.546376,-0.114504
1.551387,-0.061069
1.556376,-0.099237
1.561387,-0.076336
1.566376,-0.091603
1.571387,-0.083969
1.576376,-0.10687
1.581387,-0.030534
1.586376,-0.076336
1.591387,-0.19084
1.596376,-0.114504
1.601387,-0.129771
1.606376,-0.099237
1.611387,-0.10687
1.616376,-0.114504
1.621387,-0.129771
1.626376,-0.083969
1.631387,-0.114504
1.636376,-0.061069
1.641387,-0.061069
1.646376,0.0
1.651387,-0.053435
1.656376,-0.038168
1.661387,-0.167939
1.666376,-0.152672
1.671387,-0.099237
1.676376,-0.022901
1.681387,-0.045802
1.686376,-0.122137
1.691387,-0.061069
1.696376,-0.083969
1.701387,-0.007634
1.706376,-0.068702
1.711387,-0.061069
1.716376,-0.160305
1.721387,-0.122137
1.726376,-0.076336
1.731387,-0.076336
1.736376,0.022901
1.741387,-0.091603
1.746376,-0.137405
1.751387,-0.053435
1.756376,0.015267
1.761387,0.038168
1.766376,0.030534
1.771387,-0.091603
1.776376,-0.10687
1.781387,-0.198473
1.786376,-0.129771
1.791387,-0.091603
1.796376,-0.175573
1.801387,-0.076336
1.806376,-0.045802
1.811387,-0.10687
1.816376,-0.038168
1.821387,-0.068702
1.826376,-0.122137
1.831387,-0.160305
1.836376,-0.122137
1.841387,-0.152672
1.846376,-0.10687
1.851387,-0.022901
1.856376,-0.076336
1.861387,-0.022901
1.866376,-0.068702
1.871387,-0.10687
1.876376,-0.129771
1.881387,-0.007634
1.886376,-0.015267
1.891387,-0.076336
1.896376,0.030534
1.901387,-0.045802
1.906376,-0.122137
1.911387,-0.061069
1.916376,-0.015267
1.921387,0.0
1.926376,-0.045802
1.931387,-0.045802
1.936376,0.015267
1.941387,-0.030534
1.946376,-0.114504
1.951387,-0.099237
1.956376,-0.068702
1.961387,-0.091603
1.966376,-0.099237
1.971387,0.0
1.976376,0.015267
1.981387,-0.068702
1.986376,-0.198473
1.991387,-0.083969
1.996376,0.007634
2.001387,-0.007634
2.006376,-0.152672
2.011387,-0.129771
2.016376,-0.099237
2.021387,0.038168
2.026376,-0.015267
2.031387,-0.053435
2.036376,-0.10687
2.041387,-0.083969
2.046376,-0.068702
2.051387,-0.099237
2.056376,-0.030534
2.061387,-0.068702
2.066376,-0.091603
2.071387,-0.030534
2.076376,-0.007634
2.081387,-0.10687
2.086376,-0.198473
2.091387,-0.030534
2.096376,0.007634
2.101387,0.053435
2.106376,0.007634
2.111387,-0.114504
2.116376,-0.137405
2.121387,-0.152672
2.126376,-0.10687
2.131387,-0.045802
2.136376,-0.045802
2.141387,-0.076336
2.146376,-0.053435
2.151387,-0.053435
2.156376,-0.038168
2.161387,0.015267
2.166376,-0.129771
2.171387,-0.145038
2.176376,-0.099237
2.181387,-0.099237
2.186376,-0.122137
