t,roll_deg,pitch_deg,roll_acc_deg,pitch_acc_deg,gx_dps,gy_dps,temp_c
2.248,-0.17,-0.0,-0.23,-0.01,0.001,0.05,27.41
2.298,-0.07,0.01,1.47,-0.12,-0.014,0.02,27.4
2.348,-0.37,0.01,-1.26,0.18,-0.083,0.012,27.36
2.398,-0.61,0.01,-1.63,-0.03,-0.029,0.18,27.41
2.448,-0.62,0.01,-1.13,-0.04,0.039,-0.095,27.39
2.498,-0.51,0.02,4.09,0.05,0.047,0.004,27.38
2.548,-0.55,0.04,0.61,0.27,0.055,0.035,27.4
2.598,-0.58,0.03,0.51,-0.13,0.123,0.104,27.42
2.648,-0.45,0.01,1.77,-0.15,0.001,-0.003,27.4
2.698,-0.53,0.01,-0.85,-0.23,-0.014,0.065,27.4
2.748,-0.42,-0.0,-1.61,0.04,0.001,0.012,27.39
2.798,-0.48,-0.01,-2.29,0.09,-0.029,-0.049,27.42
2.848,-0.33,-0.0,0.84,-0.01,0.055,-0.019,27.4
2.898,-0.33,0.0,-2.95,0.12,0.085,-0.019,27.39
2.948,-0.14,-0.01,-1.36,0.02,0.039,-0.026,27.39
2.998,-0.24,-0.02,0.06,-0.25,0.047,0.104,27.39
3.048,-0.24,-0.02,-0.18,-0.01,0.024,0.027,27.37
3.098,-0.26,-0.01,-0.34,0.18,0.009,0.012,27.38
3.148,-0.16,0.0,3.42,0.13,-0.014,0.05,27.39
3.198,-0.03,-0.0,3.22,-0.09,0.169,-0.011,27.39
3.248,-0.07,0.01,-1.74,0.05,-0.014,-0.003,27.39
3.298,0.21,-0.01,0.72,0.21,0.016,-0.095,27.39
3.348,0.06,-0.01,2.16,0.04,-0.014,0.02,27.38
3.398,0.17,0.0,0.17,-0.1,0.093,-0.003,27.38
3.448,0.27,-0.01,0.1,0.14,0.001,0.004,27.41
3.498,0.3,-0.0,1.21,-0.04,-0.037,0.126,27.39
3.548,0.4,0.01,0.1,-0.22,0.039,-0.041,27.38
3.598,0.33,0.02,1.33,0.27,-0.029,-0.003,27.38
3.648,0.2,0.02,-0.47,-0.13,-0.075,-0.026,27.39
3.698,0.17,0.02,2.02,-0.16,0.039,-0.011,27.4
3.748,0.23,-0.0,-2.77,-0.3,-0.022,0.065,27.36
3.798,0.12,-0.0,-1.44,-0.04,0.055,-0.118,27.39
3.848,0.07,-0.01,-0.55,0.24,0.039,0.012,27.34
3.898,-0.07,-0.01,-0.52,-0.18,0.039,-0.049,27.4
3.948,-0.13,-0.01,-2.82,0.07,0.1,-0.057,27.38
3.998,-0.14,-0.02,0.83,-0.26,0.009,0.027,27.36
4.048,-0.12,-0.02,0.89,0.2,-0.006,-0.049,27.39
4.098,-0.05,-0.01,0.77,0.01,0.016,0.035,27.39
4.148,0.21,-0.0,0.73,-0.09,-0.098,0.05,27.4
4.198,0.35,-0.01,1.73,-0.09,0.055,-0.064,27.36
4.248,0.29,-0.01,3.4,-0.09,0.009,-0.011,27.41
4.298,0.37,0.0,-0.13,0.03,-0.052,-0.041,27.39
4.348,0.45,-0.01,0.85,0.13,-0.014,0.02,27.36
4.398,0.41,-0.01,2.9,0.29,0.016,0.05,27.37
4.448,0.41,0.01,2.57,0.12,-0.067,0.065,27.4
4.498,0.31,0.02,2.01,-0.26,0.047,0.065,27.37
4.548,0.27,0.02,-0.07,-0.04,0.009,-0.026,27.41
4.598,0.17,0.03,-1.23,0.35,0.024,-0.049,27.4
4.648,0.06,0.03,1.25,-0.12,0.009,0.004,27.39
4.698,-0.03,0.03,-1.85,0.15,-0.029,0.035,27.38
4.748,0.13,0.03,2.16,0.08,-0.075,0.043,27.38
4.798,0.13,0.03,-2.25,-0.08,0.039,-0.064,27.39
4.848,-0.03,0.02,-0.5,-0.01,0.001,0.073,27.37
4.898,-0.01,0.01,-2.42,-0.23,-0.014,-0.019,27.38
4.948,0.14,0.01,1.63,-0.34,-0.006,-0.034,27.39
4.998,0.05,0.01,-0.35,-0.08,0.009,0.111,27.37
5.048,0.12,0.01,1.08,-0.06,0.062,0.027,27.36
5.098,0.18,0.01,1.22,0.04,0.039,0.027,27.41
5.148,-0.05,0.01,0.37,0.16,0.07,0.073,27.38
5.198,-0.01,0.03,-2.12,0.11,-0.037,-0.034,27.37
5.248,0.05,0.01,3.19,-0.12,0.009,0.05,27.39
5.298,0.03,0.0,1.66,-0.08,0.047,0.104,27.37
5.348,0.18,0.02,0.98,0.07,0.039,-0.041,27.35
5.398,0.18,0.01,-2.4,-0.11,0.001,-0.003,27.36
5.448,0.37,0.0,1.9,-0.05,0.062,0.027,27.39
5.498,0.33,0.03,1.47,-0.22,-0.006,-0.041,27.38
5.548,0.14,0.02,0.9,0.14,0.093,0.012,27.39
5.598,0.21,0.02,-1.28,-0.14,-0.006,0.111,27.39
5.648,0.21,0.02,-1.4,-0.04,-0.029,-0.057,27.37
5.698,-0.12,0.01,-4.49,0.22,0.093,0.05,27.39
5.748,0.03,-0.0,-1.51,-0.1,-0.075,-0.034,27.39
5.798,0.03,0.01,4.9,-0.16,0.055,-0.057,27.39
5.848,0.01,0.0,-2.26,0.06,0.039,-0.08,27.39
5.898,0.18,0.02,2.84,0.14,0.024,-0.087,27.41
5.948,0.22,0.01,1.59,-0.05,-0.098,-0.087,27.4
5.998,0.08,0.01,-1.57,0.14,-0.014,0.02,27.38
6.048,0.06,0.02,-0.77,0.11,-0.029,0.119,27.39
6.098,-0.11,0.01,0.88,-0.02,0.001,0.05,27.39
6.148,-0.08,0.02,0.77,0.2,0.047,-0.064,27.38
6.198,-0.01,0.0,1.02,-0.18,-0.052,0.058,27.37
6.248,-0.14,0.0,-0.34,-0.15,0.016,-0.011,27.37
6.298,-0.17,-0.01,-1.09,-0.03,-0.029,0.02,27.4
6.348,0.05,-0.01,3.44,-0.08,0.108,0.012,27.38
6.398,0.15,-0.02,-0.01,-0.14,-0.098,-0.034,27.39
6.448,0.1,-0.02,1.8,-0.07,0.009,-0.003,27.38
6.498,0.0,-0.02,5.67,-0.06,0.001,-0.095,27.41
6.548,-0.01,-0.01,-0.35,-0.11,-0.052,-0.064,27.37
6.598,-0.15,-0.01,1.12,0.32,-0.045,0.027,27.41
6.648,-0.26,-0.04,1.55,-0.32,0.001,-0.125,27.39
6.698,-0.18,-0.04,-1.06,0.01,-0.052,-0.034,27.39
6.748,-0.23,-0.04,-0.43,-0.07,0.016,-0.003,27.39
6.798,-0.2,-0.03,1.0,0.2,-0.083,-0.003,27.37
6.848,-0.36,-0.01,1.02,-0.12,0.032,-0.118,27.38
6.898,-0.28,-0.01,-0.05,0.01,0.016,-0.003,27.39
6.948,-0.17,-0.02,-1.01,0.18,0.032,-0.034,27.39
6.998,-0.32,0.0,1.47,-0.13,-0.06,0.027,27.39
7.048,-0.49,0.01,-1.09,0.12,-0.083,0.035,27.39
7.098,-0.32,0.01,-0.23,0.31,-0.098,0.088,27.4
7.148,-0.28,0.02,-1.07,0.23,-0.052,0.027,27.39
7.198,-0.0,0.01,-3.03,0.39,0.001,0.035,27.38
7.248,-0.16,0.01,2.5,0.21,-0.014,-0.011,27.36
7.298,-0.13,0.01,-0.99,0.12,-0.006,0.02,27.36
7.348,-0.3,0.0,1.54,-0.27,-0.052,0.027,27.38
7.398,-0.34,0.0,0.95,0.4,-0.06,-0.034,27.39
7.448,-0.11,0.0,1.0,-0.04,-0.006,-0.08,27.36
7.498,-0.01,-0.01,1.16,0.1,-0.045,-0.057,27.39
7.548,-0.22,-0.01,0.58,0.02,0.009,0.081,27.37
7.598,-0.12,-0.03,-1.11,0.12,0.047,-0.011,27.39
7.648,-0.18,-0.02,1.88,0.3,0.024,-0.11,27.37
7.698,-0.19,-0.01,2.33,0.09,0.001,-0.011,27.37
7.748,-0.33,-0.0,-2.19,-0.01,0.001,-0.049,27.35
7.798,-0.32,0.0,0.12,-0.01,-0.029,-0.141,27.38
7.848,-0.25,-0.0,-0.62,0.1,0.085,-0.057,27.38
7.898,-0.15,0.01,1.25,-0.03,0.047,-0.003,27.38
7.948,-0.11,0.0,-3.62,-0.1,0.001,-0.064,27.38
7.998,0.02,0.01,4.42,0.3,-0.014,0.081,27.38
8.048,0.0,0.01,-1.57,0.34,0.001,-0.003,27.36
8.098,-0.1,0.02,-3.09,0.25,-0.022,0.012,27.38
8.148,-0.05,0.02,-0.69,0.15,0.024,-0.095,27.36
8.198,0.09,0.01,2.19,0.06,0.055,0.081,27.38
8.248,-0.11,0.01,-2.58,0.2,-0.022,0.081,27.39
8.298,0.02,0.0,1.33,0.1,-0.067,-0.08,27.38
8.348,0.09,0.02,1.47,0.3,-0.052,0.073,27.37
8.398,0.18,0.02,-0.68,0.19,-0.006,-0.019,27.37
8.448,0.19,-0.0,1.85,-0.43,0.024,-0.103,27.37
