t,roll_deg,pitch_deg,roll_acc_deg,pitch_acc_deg,gx_dps,gy_dps,temp_c
3.252,-0.1,0.02,2.48,-0.18,-0.046,0.081,26.35
3.302,0.05,0.01,0.34,0.0,0.023,0.111,26.36
3.352,0.16,0.01,-0.03,0.01,0.092,-0.049,26.36
3.402,0.22,0.0,-0.79,-0.16,-0.061,-0.095,26.36
3.452,0.15,-0.02,-1.61,0.19,-0.015,0.004,26.35
3.502,0.39,-0.0,2.11,0.16,0.054,-0.018,26.38
3.552,0.4,-0.01,0.55,-0.03,0.008,-0.072,26.35
3.602,0.5,-0.01,3.9,-0.05,-0.023,-0.041,26.38
3.652,0.47,0.0,-0.25,-0.06,-0.084,0.05,26.38
3.702,0.47,-0.02,-0.07,-0.03,0.023,0.035,26.33
3.752,0.44,-0.01,-0.12,-0.21,0.0,0.035,26.33
3.802,0.41,-0.02,-0.22,0.04,-0.03,0.012,26.36
3.852,0.38,-0.02,1.46,-0.25,-0.007,0.05,26.38
3.902,0.33,-0.03,-3.82,0.02,0.008,-0.041,26.38
3.952,0.3,-0.03,1.15,0.02,0.0,-0.072,26.35
4.002,0.24,-0.03,0.23,0.24,-0.061,0.02,26.37
4.052,0.3,-0.02,-0.17,0.3,0.084,-0.026,26.34
4.102,0.29,-0.0,1.42,0.05,-0.061,0.035,26.36
4.152,0.25,-0.0,-0.17,0.14,-0.015,0.065,26.38
4.202,0.41,-0.01,3.37,-0.0,-0.038,-0.018,26.37
4.252,0.35,-0.01,-0.47,0.13,0.046,-0.011,26.37
4.302,0.25,-0.01,-1.93,0.19,0.008,-0.011,26.36
4.352,0.29,-0.03,-1.06,0.07,-0.046,0.149,26.36
4.402,0.4,-0.01,1.49,0.41,0.0,0.073,26.37
4.452,0.36,-0.01,2.32,-0.21,-0.007,-0.034,26.36
4.502,0.35,-0.03,1.51,0.06,0.0,0.004,26.36
4.552,0.32,-0.02,1.64,0.01,0.054,-0.034,26.39
4.602,0.43,-0.03,0.39,-0.06,-0.099,0.065,26.38
4.652,0.22,-0.02,-0.24,-0.09,0.046,0.081,26.37
4.702,0.26,-0.01,1.18,-0.03,0.038,-0.034,26.36
4.752,0.24,-0.0,-2.65,-0.16,0.023,-0.087,26.36
4.802,0.23,0.02,1.25,0.13,-0.046,-0.041,26.37
4.852,0.25,0.01,-0.95,-0.06,0.031,-0.003,26.38
4.902,0.33,0.01,0.78,0.06,0.046,-0.041,26.36
4.952,0.43,-0.01,0.07,-0.45,-0.007,0.104,26.39
5.002,0.46,0.01,-0.55,0.25,0.0,0.02,26.36
5.052,0.47,0.01,-1.25,0.01,-0.068,0.058,26.36
5.102,0.43,0.03,0.76,0.1,-0.13,0.073,26.37
5.152,0.42,0.03,1.55,-0.04,0.046,-0.018,26.36
5.202,0.41,0.03,-1.37,0.16,0.031,0.043,26.37
5.252,0.37,0.03,-2.4,0.31,-0.107,-0.057,26.36
5.302,0.42,0.02,1.8,-0.12,0.008,0.027,26.39
5.352,0.39,-0.01,0.76,0.11,-0.015,-0.049,26.38
5.402,0.23,-0.02,0.56,-0.21,0.046,0.027,26.36
5.452,0.35,-0.03,-0.29,-0.02,0.015,-0.141,26.38
5.502,0.38,-0.04,2.47,-0.24,-0.015,0.043,26.36
5.552,0.35,-0.03,-1.9,0.16,0.038,-0.057,26.36
5.602,0.27,-0.02,0.83,-0.27,0.015,0.027,26.36
5.652,0.37,-0.03,1.64,0.22,-0.046,-0.026,26.37
5.702,0.5,-0.04,-0.82,-0.05,-0.023,0.027,26.36
5.752,0.61,-0.06,4.09,-0.17,0.023,-0.003,26.39
5.802,0.65,-0.07,1.85,-0.18,-0.114,-0.018,26.38
5.852,0.59,-0.05,2.63,-0.06,0.107,-0.064,26.37
5.902,0.58,-0.03,-0.02,0.14,-0.03,-0.164,26.39
5.952,0.51,-0.02,-0.4,-0.13,-0.007,0.012,26.37
6.002,0.53,-0.01,1.35,0.03,-0.046,-0.118,26.36
6.052,0.14,0.01,-1.9,0.03,-0.015,-0.018,26.39
6.102,0.39,0.01,2.22,0.03,0.046,0.02,26.35
6.152,0.41,0.02,0.19,0.37,0.084,-0.049,26.39
6.202,0.34,0.02,-1.05,0.17,0.015,0.012,26.35
