t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.201,0.9988,-0.1482,0.0552,0.725,1.084,-0.252,18.22
0.226,1.0,-0.1499,0.052,0.618,1.115,-0.298,18.22
0.251,1.0029,-0.1521,0.0571,0.656,1.168,-0.26,18.22
0.276,0.9993,-0.1472,0.0618,0.649,1.115,-0.229,18.22
0.301,1.0049,-0.1509,0.051,0.565,1.221,-0.221,18.21
0.326,1.001,-0.1499,0.0569,0.656,1.038,-0.237,18.19
0.351,1.002,-0.1519,0.0547,0.664,1.046,-0.252,18.19
0.376,1.0054,-0.1521,0.0564,0.679,1.069,-0.168,18.21
0.401,1.0024,-0.1499,0.0557,0.588,1.16,-0.198,18.22
0.426,1.0022,-0.1504,0.0564,0.595,1.061,-0.168,18.21
0.451,1.0015,-0.1514,0.0569,0.664,1.183,-0.26,18.2
0.476,1.0049,-0.1528,0.0586,0.733,1.069,-0.16,18.21
0.501,1.002,-0.1511,0.0583,0.71,1.282,-0.206,18.19
0.526,0.9993,-0.1458,0.052,0.626,1.099,-0.214,18.18
0.551,0.9949,-0.1494,0.0532,0.718,1.122,-0.153,18.21
0.576,0.9985,-0.1487,0.054,0.679,1.229,-0.267,18.18
0.601,0.9983,-0.1465,0.0564,0.634,1.099,-0.206,18.18
0.626,1.001,-0.1475,0.0544,0.679,1.122,-0.168,18.21
0.651,0.9998,-0.1482,0.0544,0.641,1.153,-0.198,18.22
0.676,1.001,-0.1504,0.0542,0.679,1.084,-0.229,18.2
0.701,1.0049,-0.1477,0.0588,0.649,1.183,-0.237,18.21
0.726,0.9988,-0.1499,0.0569,0.725,1.13,-0.282,18.19
0.751,1.0002,-0.1506,0.0469,0.718,1.214,-0.252,18.19
0.776,0.9985,-0.1492,0.0569,0.656,1.206,-0.221,18.21
0.801,0.9988,-0.1509,0.0579,0.656,1.084,-0.244,18.21
0.826,1.0012,-0.1494,0.0579,0.71,1.092,-0.221,18.17
0.851,0.9998,-0.1501,0.0598,0.679,1.038,-0.214,18.19
0.876,0.9961,-0.1533,0.0566,0.649,1.115,-0.198,18.19
0.901,1.0007,-0.1479,0.0542,0.649,1.099,-0.298,18.17
0.926,0.9995,-0.1504,0.053,0.588,1.115,-0.176,18.19
0.951,0.9956,-0.1514,0.0576,0.656,1.252,-0.229,18.18
0.976,1.0022,-0.1511,0.0518,0.687,1.153,-0.214,18.19
1.001,1.001,-0.1519,0.0574,0.687,1.061,-0.252,18.21
1.026,0.998,-0.1465,0.0557,0.74,1.061,-0.191,18.17
1.051,1.0027,-0.1455,0.0579,0.687,1.168,-0.244,18.2
1.076,0.9988,-0.1467,0.0552,0.687,1.099,-0.298,18.19
1.101,1.0012,-0.1479,0.0596,0.641,1.084,-0.244,18.17
1.126,1.0005,-0.1494,0.0598,0.656,1.122,-0.298,18.19
1.151,1.0007,-0.147,0.0554,0.718,1.076,-0.237,18.17
1.176,1.0012,-0.1506,0.0593,0.649,1.107,-0.237,18.15
1.201,1.0024,-0.1489,0.0544,0.618,1.191,-0.282,18.18
1.226,1.0022,-0.1489,0.0535,0.733,1.099,-0.298,18.18
1.251,1.0007,-0.1506,0.0569,0.733,1.16,-0.282,18.18
1.276,0.998,-0.1489,0.0535,0.573,1.053,-0.214,18.19
1.301,0.998,-0.1467,0.061,0.695,1.023,-0.183,18.17
1.326,1.0002,-0.1516,0.0603,0.687,1.061,-0.305,18.15
1.351,0.9985,-0.1528,0.0537,0.634,1.092,-0.221,18.15
1.376,0.9988,-0.1484,0.0564,0.656,1.145,-0.206,18.19
1.401,0.9993,-0.1477,0.0605,0.718,1.053,-0.229,18.18
1.426,0.999,-0.1526,0.0547,0.656,1.084,-0.214,18.16
1.451,1.0012,-0.1489,0.053,0.702,1.076,-0.244,18.17
1.476,1.0,-0.1526,0.05,0.695,1.221,-0.237,18.16
1.501,1.0012,-0.1477,0.0566,0.649,1.153,-0.206,18.16
1.526,1.0034,-0.1526,0.0664,0.649,1.069,-0.191,18.18
1.551,0.9995,-0.1506,0.0579,0.695,1.084,-0.168,18.16
1.576,1.0012,-0.1475,0.0583,0.725,1.076,-0.29,18.17
1.601,1.0044,-0.1511,0.0527,0.641,1.046,-0.191,18.17
1.626,0.9978,-0.1506,0.0532,0.656,1.084,-0.176,18.15
1.651,1.0017,-0.1519,0.054,0.573,1.115,-0.229,18.18
1.676,1.002,-0.1492,0.0574,0.74,1.137,-0.191,18.17
1.701,1.0007,-0.1497,0.0615,0.618,1.13,-0.191,18.16
1.726,0.9971,-0.1482,0.0579,0.641,1.176,-0.298,18.14
1.751,1.0022,-0.1494,0.0537,0.664,1.153,-0.214,18.14
1.776,0.9988,-0.1514,0.0569,0.672,1.145,-0.153,18.14
1.801,1.0012,-0.1475,0.0574,0.733,1.206,-0.244,18.15
1.826,0.9932,-0.1519,0.0571,0.664,1.031,-0.305,18.14
