t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.203,0.9878,-0.0068,0.188,0.656,1.084,-0.084,42.59
0.227,0.9902,-0.0044,0.1821,0.74,1.023,-0.084,42.59
0.252,0.9919,-0.0088,0.1833,0.55,1.031,-0.092,42.58
0.277,0.9924,-0.0042,0.1848,0.702,1.023,-0.168,42.56
0.302,0.9915,-0.0081,0.187,0.733,1.099,-0.153,42.58
0.327,0.9878,-0.0034,0.1838,0.695,1.115,-0.107,42.59
0.352,0.9885,-0.0027,0.1904,0.672,1.076,-0.076,42.59
0.377,0.9917,-0.0037,0.1868,0.641,1.015,-0.153,42.59
0.402,0.9871,-0.0012,0.1807,0.595,1.122,-0.046,42.58
0.427,0.9885,-0.0068,0.1873,0.664,0.977,-0.16,42.57
0.452,0.988,-0.0044,0.1892,0.733,1.099,-0.069,42.59
0.477,0.9902,-0.0015,0.1877,0.679,1.13,-0.137,42.58
0.502,0.9893,-0.0054,0.1887,0.626,1.023,-0.038,42.58
0.527,0.9902,-0.0076,0.1902,0.718,1.053,0.008,42.57
0.552,0.9888,-0.0042,0.186,0.649,1.107,-0.069,42.58
0.577,0.9841,-0.0039,0.1855,0.695,1.038,-0.183,42.56
0.602,0.9932,-0.0059,0.1807,0.588,1.023,-0.153,42.57
0.627,0.9878,-0.0032,0.1836,0.634,1.076,-0.069,42.58
0.652,0.9902,-0.0042,0.1826,0.634,1.137,-0.046,42.57
0.677,0.9902,-0.0068,0.1848,0.641,0.863,-0.099,42.59
0.702,0.9895,-0.0063,0.1802,0.58,1.069,-0.153,42.57
0.727,0.9915,-0.002,0.1863,0.725,1.076,-0.084,42.59
0.752,0.9907,-0.0063,0.1868,0.695,0.977,-0.053,42.59
0.777,0.9873,-0.0081,0.1897,0.687,1.069,-0.092,42.57
0.802,0.9919,-0.0059,0.1882,0.626,1.122,-0.107,42.58
0.827,0.9915,-0.0039,0.1912,0.595,0.985,-0.099,42.57
0.852,0.9902,-0.0046,0.189,0.664,1.015,-0.092,42.57
0.877,0.9917,-0.0044,0.1841,0.634,1.115,-0.183,42.57
0.902,0.9922,-0.0066,0.1851,0.725,1.16,-0.183,42.57
