t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1587.084,1.0081,-0.0173,0.062,0.756,1.046,0.053,41.99
1587.109,1.0061,-0.0215,0.0652,0.496,1.237,0.099,41.75
1587.134,1.0054,-0.0164,0.0625,0.565,1.237,-0.16,41.8
1587.159,1.0039,-0.0198,0.0635,0.45,1.336,-0.053,41.89
1587.184,1.0083,-0.0171,0.0647,0.687,1.237,-0.29,41.75
1587.209,1.009,-0.0183,0.0601,0.534,1.198,0.076,42.22
1587.234,1.0024,-0.0176,0.0608,0.756,1.237,-0.16,41.89
1587.259,1.0049,-0.0164,0.0632,0.58,1.069,0.145,41.89
1587.284,1.0059,-0.0171,0.0625,0.58,1.29,0.069,42.08
1587.309,1.0027,-0.0193,0.0681,0.618,1.061,0.115,41.94
1587.334,1.0015,-0.019,0.0674,0.458,0.916,0.122,42.08
1587.359,1.0068,-0.0173,0.062,0.565,1.076,0.023,41.99
1587.384,1.0046,-0.0178,0.0559,0.87,0.954,-0.084,41.8
1587.409,1.0068,-0.019,0.0669,0.58,1.298,0.053,41.94
1587.434,1.001,-0.0151,0.062,0.702,1.084,0.237,41.8
1587.459,1.0078,-0.0171,0.0676,0.534,0.962,-0.099,41.89
1587.484,1.0071,-0.0205,0.062,0.748,1.321,-0.176,41.8
1587.509,1.0051,-0.0139,0.0579,0.496,1.313,-0.16,41.89
1587.534,1.0039,-0.0166,0.063,0.519,1.053,0.489,41.8
1587.559,1.0063,-0.0195,0.0605,0.779,1.069,-0.145,41.75
1587.584,1.0071,-0.0186,0.064,0.511,0.924,-0.13,41.94
1587.609,1.0088,-0.0181,0.0605,0.725,1.107,0.015,41.71
1587.634,1.0054,-0.0149,0.0647,0.466,0.969,0.076,41.8
1587.659,1.0083,-0.0188,0.0608,0.634,1.237,-0.16,41.99
1587.684,1.0081,-0.0193,0.0635,0.511,1.015,-0.183,42.08
1587.709,1.0081,-0.0164,0.0623,0.771,1.267,0.061,41.99
1587.734,1.0046,-0.0188,0.0654,0.473,1.099,0.137,41.8
1587.759,1.0051,-0.0171,0.0605,0.817,1.069,-0.183,41.89
1587.784,1.0093,-0.0176,0.0642,0.779,0.954,0.267,41.94
1587.809,1.01,-0.0142,0.0649,0.542,0.992,0.145,41.8
1587.834,1.0088,-0.0156,0.0593,0.573,0.947,-0.069,41.99
