t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.203,0.3589,-0.8984,0.3042,-13.328,6.756,53.191,42.73
0.227,0.3613,-0.8411,0.2148,-12.046,4.145,40.527,42.73
0.252,0.3572,-0.8501,0.2319,-9.305,4.847,27.84,42.74
0.277,0.3396,-0.7424,0.1665,-7.679,3.16,22.634,42.72
0.302,0.3005,-0.8701,0.231,-5.405,6.939,18.473,42.73
0.327,0.3523,-0.9109,0.2251,-3.916,9.557,16.153,42.74
0.352,0.3413,-0.9207,0.2224,-4.595,10.931,18.863,42.73
0.377,0.3083,-0.9109,0.2246,-4.863,10.344,19.634,42.74
0.402,0.3066,-0.9314,0.2261,-5.031,10.244,21.107,42.72
0.427,0.292,-0.9304,0.2249,-6.534,10.908,26.344,42.71
0.452,0.2632,-0.9358,0.2117,-7.748,11.664,30.443,42.7
0.477,0.2568,-0.8711,0.2266,-8.321,10.26,35.58,42.71
0.502,0.3271,-1.0637,0.1653,-10.168,10.389,41.611,42.72
0.527,0.208,-0.9851,0.2529,-10.901,9.504,42.458,42.73
0.552,0.2039,-0.8235,0.2112,-9.771,7.496,37.321,42.7
0.577,0.2126,-0.9932,0.2129,-9.252,6.641,31.947,42.71
0.602,0.2041,-0.9573,0.1584,-8.794,5.641,27.641,42.72
0.627,0.1631,-0.9563,0.1909,-8.618,8.008,25.626,42.74
0.652,0.1499,-0.917,0.1946,-7.229,8.023,21.389,42.71
0.677,0.1621,-0.958,0.199,-4.992,6.107,15.916,42.69
0.702,0.1458,-0.9585,0.2024,-3.122,5.847,11.0,42.71
0.727,0.1418,-0.9634,0.196,-1.275,4.977,7.42,42.7
0.752,0.1431,-0.9663,0.2,-2.244,4.947,10.565,42.74
0.777,0.0918,-0.9883,0.2024,-3.466,7.176,11.763,42.73
0.802,0.126,-0.9453,0.188,-5.695,5.55,18.901,42.71
0.827,0.1218,-0.9871,0.1951,-6.908,5.58,21.252,42.69
0.852,0.1436,-0.9451,0.1729,-7.45,4.573,22.16,42.76
0.877,0.1233,-0.9858,0.1968,-6.947,5.534,23.71,42.72
0.902,0.1006,-1.002,0.2051,-6.183,8.397,26.893,42.73
0.927,0.0725,-1.02,0.1965,-6.206,9.664,31.176,42.7
0.952,0.0449,-1.021,0.1887,-4.321,11.786,34.702,42.71
0.977,0.0339,-1.0068,0.1899,-5.26,10.893,40.191,42.72
1.002,0.0247,-1.0017,0.1719,-5.321,10.649,39.565,42.71
1.027,0.0046,-0.9824,0.1748,-6.069,11.183,40.298,42.72
1.052,-0.0149,-0.9883,0.1714,-5.481,12.183,44.214,42.72
1.077,-0.0469,-0.9912,0.1191,-7.809,14.359,49.328,42.74
1.102,-0.0823,-0.9531,0.1821,-9.023,25.519,68.489,42.74
1.127,-0.1824,-0.9675,0.1003,-12.206,19.328,71.977,42.72
1.152,-0.1125,-0.8574,0.1289,-4.305,10.611,33.435,42.72
1.177,-0.0747,-0.9656,0.1484,-5.603,7.374,21.046,42.74
1.202,-0.2075,-0.9802,0.1355,-7.901,11.55,27.191,42.72
1.227,-0.1021,-0.9504,0.1362,-5.908,3.504,27.351,42.71
1.252,-0.1658,-0.9272,0.1592,-5.824,4.511,30.573,42.73
1.277,-0.1973,-0.9114,0.1694,-9.267,11.305,33.557,42.73
1.302,-0.291,-0.9612,0.1091,-1.847,-8.687,14.328,42.7
1.327,-0.155,-0.9771,0.136,1.267,4.672,11.878,42.72
1.352,-0.1265,-0.925,0.1909,-3.649,-0.168,23.092,42.74
1.377,-0.2832,-0.947,0.137,-9.84,15.405,47.145,42.73
1.402,-0.1829,-0.9353,0.1145,-4.29,0.786,21.55,42.74
1.427,-0.1946,-0.9741,0.094,-7.87,2.107,36.527,42.73
1.452,-0.3689,-0.9158,-0.1309,0.42,16.412,21.321,42.7
1.477,-0.1897,-0.9607,0.1318,-3.794,-0.176,35.565,42.75
1.502,-0.3176,-0.9292,0.127,-3.748,-0.015,37.122,42.72
1.527,-0.3391,-1.022,0.1152,-5.534,15.74,43.863,42.74
1.552,-0.3523,-0.9275,0.1035,-5.405,1.145,39.511,42.73
1.577,-0.3118,-0.9329,0.0605,-3.557,10.252,30.351,42.73
1.602,-0.3345,-0.8936,0.0574,-4.305,6.672,23.847,42.73
1.627,-0.3857,-0.8523,0.05,-4.115,1.634,19.603,42.72
1.652,-0.3452,-0.925,0.04,-6.298,12.725,20.504,42.73
1.677,-0.2915,-0.8984,0.0356,-8.107,9.298,26.809,42.74
1.702,-0.4377,-0.8826,0.0605,-6.603,11.023,15.863,42.75
1.727,-0.3582,-0.918,0.0508,-3.412,5.534,11.42,42.71
1.752,-0.407,-0.9202,0.0637,-2.969,10.046,16.939,42.72
1.777,-0.3662,-0.8914,0.072,-3.092,10.893,20.473,42.74
1.802,-0.3882,-0.8757,0.0928,-6.0,7.145,29.321,42.72
1.827,-0.5137,-0.9065,0.1062,-6.206,11.84,38.344,42.74
1.852,-0.3518,-0.9377,0.0674,-5.214,17.565,44.748,42.73
1.877,-0.499,-0.8162,0.084,-6.916,5.237,42.313,42.73
1.902,-0.468,-0.8657,0.0586,-5.137,6.885,34.267,42.71
1.927,-0.5566,-0.7546,0.0676,0.16,8.458,20.214,42.72
1.952,-0.4641,-0.8386,0.051,0.679,9.214,36.176,42.73
1.977,-0.5247,-0.8716,0.0535,2.458,8.817,36.885,42.72
2.002,-0.4973,-0.9075,0.0605,3.954,11.809,43.565,42.75
2.027,-0.5732,-0.8477,0.0405,9.611,10.046,38.634,42.73
2.052,-0.5427,-0.801,0.0391,14.313,7.985,32.779,42.73
2.077,-0.563,-0.7908,0.0598,14.26,1.534,29.656,42.74
2.102,-0.5496,-0.7874,0.0808,10.282,5.42,24.107,42.73
2.127,-0.489,-0.8445,0.073,5.641,-2.603,24.962,42.72
2.152,-0.5688,-0.7595,0.0764,1.595,-8.656,13.412,42.67
2.177,-0.5276,-0.7864,0.0581,2.176,-12.786,10.641,42.74
2.202,-0.739,-0.2585,0.0767,-3.305,19.809,-13.695,42.72
2.227,-0.3953,-0.8333,0.0332,-12.389,-0.855,35.198,42.72
2.252,-0.7261,-0.8604,0.0925,-5.954,-7.679,17.527,42.72
2.277,-0.6416,-0.9309,0.0977,-5.695,9.802,23.771,42.73
2.302,-0.5989,-1.0159,0.0923,-7.664,-0.359,31.0,42.7
2.327,-0.6663,-0.887,0.063,-6.878,1.916,38.29,42.72
2.352,-0.7148,-0.7412,0.0422,-4.084,8.305,29.099,42.72
2.377,-0.6309,-0.6726,0.0166,-5.679,4.42,17.321,42.72
2.402,-0.624,-0.6306,0.0007,-11.092,1.656,21.908,42.74
2.427,-0.7451,-0.5947,0.0273,-16.16,12.145,22.939,42.75
2.452,-0.5396,-0.6606,0.0054,-16.58,11.427,10.718,42.73
2.477,-0.5806,-0.6875,0.032,-14.809,5.634,-2.237,42.73
