t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.201,1.0051,-0.0352,0.0618,0.603,1.023,-0.053,25.56
0.226,1.0073,-0.0366,0.0613,0.504,1.115,-0.13,25.56
0.251,1.0049,-0.0361,0.0696,0.626,0.969,-0.008,25.56
0.276,1.0059,-0.0334,0.0647,0.664,1.053,-0.13,25.54
0.301,1.0071,-0.04,0.0615,0.634,1.046,0.053,25.54
0.326,1.0085,-0.0359,0.0684,0.626,1.069,-0.008,25.56
0.351,1.0034,-0.0371,0.072,0.649,1.13,-0.168,25.58
0.376,1.0054,-0.0364,0.0649,0.618,1.053,-0.099,25.53
0.401,1.0068,-0.0352,0.0688,0.656,1.061,-0.099,25.57
0.426,1.0083,-0.0371,0.0649,0.634,0.992,-0.092,25.58
0.451,1.0083,-0.0354,0.0684,0.695,1.076,-0.061,25.56
0.476,1.0044,-0.0356,0.0598,0.611,1.153,-0.038,25.53
0.501,1.0017,-0.0371,0.0657,0.611,1.084,-0.069,25.56
0.526,1.0098,-0.033,0.0686,0.672,1.122,-0.13,25.52
0.551,1.0071,-0.0376,0.0649,0.695,1.069,-0.16,25.52
0.576,1.0059,-0.0366,0.0671,0.695,1.046,0.0,25.54
0.601,1.0083,-0.0322,0.0627,0.695,1.046,0.031,25.55
0.626,1.0022,-0.0388,0.0652,0.664,1.099,-0.061,25.56
0.651,1.0081,-0.0337,0.0671,0.603,1.023,-0.137,25.55
0.676,1.0059,-0.0332,0.0613,0.687,1.099,-0.153,25.54
0.701,1.0059,-0.0339,0.062,0.618,1.13,-0.183,25.57
0.726,1.0093,-0.0364,0.0608,0.55,1.069,-0.069,25.56
0.751,1.0049,-0.0383,0.0654,0.649,1.023,-0.053,25.55
0.776,1.0054,-0.0359,0.0679,0.58,1.015,-0.092,25.52
0.801,1.0071,-0.0371,0.0645,0.611,1.145,-0.229,25.57
0.826,1.0059,-0.0371,0.0664,0.595,1.046,0.038,25.51
0.851,1.0083,-0.0337,0.0647,0.649,1.0,-0.023,25.54
0.876,1.0076,-0.0334,0.0674,0.672,1.115,-0.046,25.55
0.901,1.0076,-0.0371,0.0679,0.611,1.145,-0.099,25.55
0.926,1.0049,-0.0334,0.0681,0.641,1.069,-0.092,25.55
0.951,1.0054,-0.0369,0.0679,0.634,1.046,-0.031,25.56
0.976,1.0039,-0.0364,0.0637,0.626,1.107,-0.076,25.54
1.001,1.0029,-0.0369,0.0603,0.641,1.16,-0.069,25.56
1.026,1.0083,-0.0339,0.0627,0.664,1.099,-0.13,25.53
1.051,1.0054,-0.0359,0.0667,0.55,1.015,-0.053,25.52
1.076,1.0078,-0.0332,0.0637,0.702,0.985,-0.015,25.58
1.101,1.002,-0.033,0.0645,0.618,1.084,0.099,25.55
