t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.203,0.9963,0.0027,0.1284,0.664,1.107,-0.176,43.6
0.227,0.9978,0.0032,0.1299,0.55,0.962,-0.13,43.62
0.252,0.9944,0.0037,0.1345,0.611,1.023,-0.13,43.61
0.277,0.9988,0.0046,0.1292,0.664,1.008,-0.145,43.62
0.302,1.001,0.0066,0.1311,0.595,1.107,-0.107,43.62
0.327,0.9983,0.0046,0.1301,0.557,0.954,-0.13,43.61
0.352,0.9971,0.001,0.124,0.664,1.076,-0.168,43.64
0.377,0.9993,0.0049,0.1284,0.626,1.092,-0.13,43.64
0.402,1.0,0.0037,0.1328,0.695,1.198,-0.176,43.59
0.427,0.9998,0.0051,0.1238,0.679,1.099,-0.099,43.62
0.452,0.9958,0.0049,0.1299,0.542,1.053,-0.107,43.63
0.477,1.0005,0.0059,0.1306,0.641,1.13,-0.053,43.61
0.502,0.9976,0.0027,0.1326,0.603,1.069,-0.168,43.59
0.527,0.999,0.0044,0.1245,0.641,0.977,-0.168,43.61
0.552,0.9995,0.0051,0.1248,0.656,1.046,-0.122,43.62
0.577,1.0005,0.0078,0.1331,0.618,0.977,-0.076,43.63
0.602,0.9966,0.0056,0.126,0.565,0.985,-0.084,43.63
0.627,0.9978,0.0039,0.1294,0.71,1.069,-0.206,43.61
0.652,0.9995,0.0076,0.1331,0.58,1.076,-0.084,43.62
0.677,1.0,0.0002,0.1279,0.573,1.008,-0.122,43.61
0.702,0.9993,0.0105,0.1272,0.71,1.008,-0.046,43.6
0.727,1.0022,0.0066,0.1262,0.679,1.061,-0.122,43.61
0.752,0.999,0.0098,0.1257,0.656,0.916,-0.176,43.62
0.777,0.9976,0.0088,0.1316,0.565,1.084,-0.046,43.61
0.802,1.0024,0.0083,0.1282,0.641,1.069,-0.069,43.62
0.827,1.0002,0.0034,0.1248,0.618,1.13,-0.115,43.62
0.852,0.999,0.0093,0.124,0.664,1.076,-0.069,43.6
0.877,1.0044,0.0078,0.1284,0.641,1.107,-0.137,43.62
0.902,1.0,0.0076,0.1309,0.649,1.198,-0.099,43.61
0.927,1.0024,0.0068,0.1279,0.679,1.122,-0.153,43.61
0.952,1.0017,0.0032,0.1262,0.634,1.061,-0.092,43.61
0.977,0.9976,0.0066,0.1194,0.618,1.015,-0.092,43.62
