t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1.207,1.0012,0.0078,0.1558,0.573,1.031,-0.183,43.17
1.231,0.9946,0.012,0.1501,0.679,1.031,-0.092,43.17
1.256,1.0012,-0.0234,0.137,0.641,0.992,-0.076,43.14
1.281,1.0132,-0.1213,0.1245,0.664,0.962,0.092,43.16
1.306,1.0022,-0.0583,0.1218,0.634,1.145,-0.13,43.17
1.331,0.9814,0.1177,0.2493,0.603,1.053,-0.107,43.16
1.356,0.9768,0.1597,0.1714,0.664,1.145,-0.382,43.14
1.381,0.9971,0.0049,0.1414,0.756,1.176,-0.359,43.14
1.406,1.0161,-0.1338,0.1362,0.603,1.031,-0.061,43.19
1.431,1.0073,-0.1218,0.1079,0.557,0.901,0.053,43.18
1.456,0.9875,0.0522,0.2124,0.573,0.916,0.015,43.17
1.481,0.9731,0.1533,0.1577,0.679,1.023,-0.29,43.17
1.506,0.9941,0.0879,0.2029,0.695,1.153,-0.382,43.15
1.531,1.0107,-0.0811,0.0759,0.595,1.053,-0.298,43.18
1.556,1.0103,-0.1475,0.1494,0.603,0.939,0.069,43.18
1.581,0.9985,-0.0244,0.1284,0.679,0.985,0.137,43.14
1.606,0.9829,0.1216,0.2253,0.763,1.038,-0.145,43.17
1.631,0.9817,0.1348,0.1853,0.748,1.0,-0.275,43.17
1.656,0.9956,-0.0134,0.1226,0.634,1.107,-0.336,43.17
1.681,1.0164,-0.1306,0.1379,0.641,1.107,0.008,43.14
1.706,1.0042,-0.1006,0.113,0.634,0.878,0.137,43.13
1.731,0.9814,0.0696,0.2148,0.679,0.954,0.0,43.15
1.756,0.9756,0.1519,0.1582,0.656,1.107,-0.198,43.17
1.781,0.9895,0.0627,0.187,0.763,1.214,-0.359,43.17
1.806,1.0081,-0.0947,0.0979,0.641,1.092,-0.252,43.15
1.831,1.0137,-0.1372,0.1345,0.573,0.916,0.031,43.19
1.856,0.9937,0.0107,0.1562,0.702,0.985,-0.053,43.16
1.881,0.9937,0.0039,0.1565,0.687,1.221,-0.168,43.18
1.906,0.9978,0.0032,0.1572,0.634,1.008,-0.023,43.17
1.931,0.9922,-0.001,0.1594,0.664,1.031,-0.115,43.17
1.956,1.0005,0.0034,0.1526,0.641,1.099,-0.16,43.2
1.981,0.9937,0.0015,0.157,0.641,1.038,-0.107,43.17
2.006,0.9976,0.0059,0.1484,0.618,1.023,-0.229,43.16
2.031,0.9932,0.0051,0.1545,0.664,1.107,-0.031,43.16
2.056,0.9919,-0.002,0.1509,0.641,1.107,-0.137,43.16
2.081,0.991,0.0024,0.1528,0.656,1.092,-0.084,43.19
2.106,0.9956,0.009,0.1519,0.634,1.092,-0.137,43.16
2.131,0.9976,0.0027,0.1558,0.695,1.092,-0.107,43.19
2.156,0.9944,0.0073,0.1626,0.634,1.069,-0.153,43.17
2.181,0.9922,0.0005,0.1575,0.756,1.046,-0.137,43.15
2.206,0.9941,0.0039,0.1553,0.687,0.977,-0.13,43.15
2.231,0.9895,0.0017,0.1538,0.649,1.092,-0.084,43.17
2.256,0.9919,0.0007,0.1531,0.679,0.992,-0.084,43.18
2.281,0.9937,0.0054,0.1562,0.649,1.076,-0.099,43.16
2.306,0.9956,-0.0024,0.1553,0.641,1.107,-0.076,43.15
2.331,0.9973,0.0034,0.1572,0.595,1.069,-0.153,43.14
2.356,0.9954,0.0071,0.1499,0.588,1.053,-0.053,43.18
2.381,0.9983,0.0015,0.1494,0.733,1.084,-0.168,43.15
2.406,0.9949,0.0032,0.1536,0.641,1.015,-0.198,43.16
2.431,0.9973,-0.0015,0.1565,0.672,1.038,-0.061,43.15
2.456,0.9861,0.0461,0.1765,0.664,0.985,0.046,43.16
2.481,0.9792,0.1335,0.1909,0.641,1.038,-0.13,43.16
2.506,0.9932,0.0454,0.1636,0.71,1.122,-0.443,43.17
2.531,1.0137,-0.156,0.1477,0.702,1.069,-0.092,43.14
2.556,1.0071,-0.1353,0.1018,0.557,0.962,0.191,43.16
2.581,0.9888,0.0471,0.2107,0.74,0.985,0.16,43.14
2.606,0.9758,0.1572,0.1504,0.618,1.115,-0.191,43.16
2.631,0.9866,0.0999,0.2126,0.802,1.244,-0.435,43.12
2.656,1.0066,-0.0808,0.0745,0.725,1.115,-0.252,43.16
2.681,1.0188,-0.1533,0.1562,0.611,0.977,0.053,43.18
2.706,0.9985,-0.0352,0.1184,0.641,0.939,0.168,43.16
2.731,0.9812,0.1143,0.2273,0.626,0.985,-0.053,43.17
2.756,0.979,0.1409,0.1816,0.748,1.214,-0.344,43.17
2.781,0.991,-0.0073,0.1335,0.679,1.16,-0.344,43.14
2.806,1.0146,-0.1235,0.1375,0.618,1.046,-0.145,43.14
2.831,1.0095,-0.0974,0.115,0.641,0.878,0.084,43.15
2.856,0.9841,0.0557,0.2019,0.641,0.824,0.084,43.13
2.881,0.9695,0.1399,0.1663,0.664,1.176,-0.229,43.14
2.906,0.9897,0.0637,0.1768,0.771,1.137,-0.443,43.17
2.931,1.0051,-0.0862,0.1064,0.626,0.947,-0.252,43.15
2.956,1.0115,-0.124,0.134,0.58,0.893,0.023,43.14
2.981,0.9912,-0.012,0.1426,0.626,0.954,0.046,43.14
3.006,0.9807,0.1216,0.2085,0.695,0.985,-0.061,43.15
3.031,0.9802,0.0872,0.1792,0.672,1.153,-0.275,43.13
3.056,0.9939,-0.0237,0.1506,0.664,1.076,-0.038,43.14
3.081,0.9973,0.0032,0.155,0.611,1.153,-0.122,43.13
3.106,0.9958,0.0022,0.1531,0.649,1.092,-0.137,43.14
3.131,0.9956,0.0083,0.1565,0.565,1.046,-0.023,43.16
3.156,0.9946,0.0046,0.1506,0.679,1.031,-0.13,43.13
3.181,0.9976,0.002,0.1499,0.618,1.16,-0.137,43.14
3.206,0.99,0.0007,0.1523,0.649,1.0,-0.115,43.16
3.231,0.9961,0.0042,0.1543,0.702,1.115,-0.198,43.14
3.256,1.0,-0.0215,0.1382,0.626,1.122,-0.183,43.13
3.281,1.0117,-0.1184,0.1287,0.702,0.855,-0.16,43.11
3.306,1.0015,-0.0454,0.1313,0.725,1.046,0.16,43.14
3.331,0.9751,0.1165,0.2346,0.664,1.122,-0.084,43.13
3.356,0.9792,0.145,0.175,0.656,1.16,-0.313,43.14
3.381,0.9961,-0.0022,0.1331,0.695,1.145,-0.298,43.14
3.406,1.0151,-0.1252,0.1396,0.634,1.107,-0.092,43.15
3.431,1.0032,-0.103,0.1152,0.664,1.008,0.015,43.11
3.456,0.9863,0.0535,0.2063,0.664,1.023,0.061,43.17
3.481,0.9753,0.1399,0.1621,0.641,1.183,-0.313,43.15
3.506,0.9883,0.0664,0.1802,0.725,1.198,-0.427,43.13
3.531,1.0063,-0.0894,0.0935,0.672,1.092,-0.229,43.13
3.556,1.0088,-0.0981,0.1042,0.565,0.977,0.092,43.13
3.581,1.0156,-0.1277,0.1399,0.649,0.947,0.084,43.13
3.606,0.9917,0.0095,0.1592,0.634,1.115,-0.092,43.16
3.631,0.9788,0.1265,0.1951,0.695,1.183,-0.282,43.12
3.656,0.9861,0.1055,0.1843,0.58,1.069,-0.321,43.12
3.681,1.0032,-0.0442,0.1111,0.603,1.023,-0.137,43.12
3.706,1.0161,-0.1316,0.1433,0.534,0.947,0.069,43.13
3.731,1.0002,-0.0564,0.1272,0.756,1.015,0.0,43.12
3.756,0.9868,0.0925,0.2163,0.672,1.214,-0.313,43.17
3.781,0.9758,0.1357,0.1721,0.672,1.229,-0.313,43.14
3.806,0.9939,0.022,0.1572,0.664,1.115,-0.099,43.12
3.831,1.0088,-0.082,0.1367,0.603,1.053,0.031,43.13
3.856,0.9946,0.0122,0.156,0.664,1.046,-0.244,43.14
3.881,0.9944,0.0054,0.1526,0.672,1.122,-0.153,43.13
3.906,0.9919,0.0085,0.1597,0.641,1.099,-0.153,43.14
3.931,0.9954,0.0029,0.1589,0.74,1.031,-0.107,43.12
3.956,0.9966,0.0007,0.1589,0.672,1.107,-0.092,43.15
3.981,0.9905,0.0034,0.1589,0.71,1.008,-0.214,43.14
4.006,0.9983,0.0071,0.156,0.679,0.992,-0.229,43.13
4.031,0.9966,0.0061,0.1589,0.702,1.107,-0.206,43.11
4.056,0.9966,0.0022,0.1506,0.641,1.076,-0.092,43.12
4.081,0.9978,-0.0017,0.1604,0.679,1.038,-0.16,43.14
4.106,0.9949,0.0027,0.155,0.634,1.008,-0.107,43.14
4.131,0.9951,0.0022,0.1521,0.649,1.099,-0.214,43.14
4.156,0.9978,0.0071,0.1501,0.641,1.069,-0.237,43.14
4.181,0.9951,0.001,0.155,0.71,1.153,-0.13,43.11
4.206,0.9951,0.0039,0.157,0.611,1.13,-0.153,43.12
4.231,0.9946,0.0017,0.1558,0.779,1.069,-0.061,43.14
4.256,0.9893,0.0081,0.1599,0.626,1.023,-0.153,43.16
4.281,0.9951,0.0051,0.1504,0.687,1.008,-0.145,43.17
4.306,0.9954,0.0066,0.157,0.695,1.115,-0.176,43.12
4.331,0.99,0.0024,0.1514,0.58,1.053,-0.221,43.12
4.356,0.9949,0.0005,0.1584,0.588,1.076,-0.176,43.16
4.381,0.9895,0.0024,0.1521,0.656,1.038,-0.122,43.15
4.406,0.9968,0.0044,0.1602,0.679,0.992,-0.115,43.15
4.431,0.9949,-0.0042,0.1514,0.649,1.031,-0.145,43.15
4.456,0.9995,-0.0291,0.1531,0.565,1.053,-0.122,43.16
4.481,0.9832,0.1016,0.1931,0.664,1.046,-0.305,43.15
4.506,0.9805,0.1482,0.1968,0.641,1.214,-0.427,43.15
4.531,1.0015,-0.0454,0.0674,0.641,1.015,0.008,43.15
4.556,1.0181,-0.1633,0.1863,0.603,0.985,0.214,43.14
4.581,1.0046,-0.0898,0.0811,0.672,0.863,0.076,43.15
4.606,0.9836,0.0947,0.262,0.618,1.076,-0.29,43.16
4.631,0.9702,0.165,0.1467,0.634,1.221,-0.389,43.16
4.656,0.9902,0.0464,0.1826,0.611,1.107,-0.183,43.17
4.681,1.0083,-0.1138,0.1016,0.702,0.962,0.031,43.15
4.706,1.0107,-0.1423,0.135,0.55,0.985,0.023,43.14
4.731,0.9912,0.0112,0.1636,0.74,1.015,-0.115,43.14
4.756,0.9783,0.1418,0.1853,0.611,1.122,-0.405,43.15
4.781,0.9866,0.1189,0.198,0.649,1.13,-0.42,43.13
4.806,1.0046,-0.0537,0.0918,0.573,0.985,-0.061,43.15
4.831,1.0178,-0.1426,0.1592,0.573,0.985,0.176,43.17
4.856,1.0039,-0.064,0.1084,0.725,1.008,-0.031,43.14
4.881,0.9871,0.0957,0.2344,0.71,1.221,-0.198,43.13
4.906,0.9768,0.1492,0.1665,0.725,1.153,-0.328,43.15
4.931,0.9937,0.0183,0.1577,0.588,1.069,-0.153,43.15
4.956,1.011,-0.1174,0.1199,0.603,0.954,0.076,43.12
4.981,1.0098,-0.1172,0.1238,0.664,0.985,0.023,43.14
5.006,0.9949,0.0388,0.1816,0.672,1.137,-0.16,43.14
5.031,0.9746,0.1404,0.1665,0.71,1.244,-0.267,43.12
5.056,0.9929,0.0361,0.1638,0.664,1.023,-0.267,43.16
5.081,0.9893,-0.0059,0.1543,0.626,1.13,-0.099,43.11
5.106,0.9978,-0.001,0.1531,0.672,1.038,-0.046,43.13
5.131,0.9985,0.0105,0.1558,0.58,1.038,-0.191,43.13
5.156,0.9866,0.0022,0.1514,0.534,0.969,-0.191,43.15
5.181,0.9924,-0.001,0.156,0.626,1.13,-0.198,43.14
5.206,0.9978,0.0042,0.1597,0.649,1.115,-0.153,43.14
5.231,0.9912,0.0015,0.1484,0.641,1.076,-0.198,43.13
5.256,0.991,0.031,0.1536,0.641,1.107,-0.183,43.14
5.281,1.0078,-0.0859,0.1201,0.733,1.076,-0.137,43.14
5.306,1.011,-0.113,0.1279,0.534,0.977,0.069,43.15
5.331,0.9912,0.0522,0.2144,0.557,1.008,0.0,43.11
5.356,0.9763,0.1597,0.1418,0.74,1.198,-0.282,43.16
5.381,0.9919,0.0852,0.1987,0.695,1.214,-0.405,43.13
5.406,1.0105,-0.0933,0.0811,0.664,1.038,-0.145,43.12
5.431,1.0093,-0.1428,0.1499,0.557,0.954,0.099,43.12
5.456,0.9961,-0.0195,0.125,0.626,0.908,0.084,43.12
5.481,0.9812,0.1238,0.2119,0.664,1.16,-0.115,43.12
5.506,0.9807,0.1335,0.1907,0.664,1.206,-0.366,43.12
5.531,0.9988,-0.0254,0.1118,0.626,1.092,-0.328,43.16
5.556,1.0144,-0.135,0.1484,0.626,0.901,-0.046,43.11
