t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.203,0.9924,0.0176,0.1321,0.626,1.176,0.061,43.73
0.227,1.0095,0.0085,0.136,0.618,0.901,-0.168,43.7
0.252,0.9949,0.0063,0.1365,0.656,1.214,-0.13,43.73
0.277,0.9995,0.0051,0.1323,0.603,1.023,-0.069,43.71
0.302,0.9993,0.0054,0.1379,0.748,1.137,-0.16,43.73
0.327,0.9937,0.0066,0.1306,0.634,1.092,-0.183,43.74
0.352,0.9956,0.0093,0.1411,0.634,1.053,0.008,43.73
0.377,0.9976,0.0049,0.1399,0.656,1.0,-0.206,43.74
0.402,0.9927,0.002,0.1335,0.611,1.046,-0.084,43.72
0.427,1.0015,0.0093,0.1338,0.634,0.969,-0.107,43.73
0.452,0.9985,0.0071,0.1404,0.618,1.076,-0.099,43.74
0.477,1.0027,0.0046,0.1357,0.672,1.076,-0.084,43.72
0.502,0.998,0.0015,0.1387,0.672,1.16,-0.191,43.73
0.527,0.9968,0.0073,0.1365,0.634,0.985,-0.191,43.74
0.552,0.9971,0.0054,0.1387,0.718,0.954,-0.16,43.74
0.577,0.6125,-0.0723,0.2188,1.939,-16.931,-9.618,43.71
0.602,1.0723,-0.0527,0.1467,0.237,11.061,2.015,43.73
0.627,1.0779,0.0344,0.1104,0.557,1.817,1.435,43.77
0.652,0.9805,-0.0066,0.1462,0.649,0.985,-0.321,43.73
0.677,0.9963,0.0212,0.1301,0.595,1.122,-0.061,43.73
0.702,0.9946,0.0029,0.1323,0.588,0.954,-0.122,43.72
0.727,1.0054,0.0051,0.1345,0.656,1.069,-0.076,43.74
0.752,0.9958,0.0076,0.135,0.611,1.092,-0.099,43.74
0.777,1.0007,0.0098,0.1365,0.656,0.947,-0.015,43.74
0.802,0.9941,0.0061,0.135,0.641,1.031,-0.176,43.75
0.827,0.9983,0.0105,0.1372,0.626,1.031,-0.008,43.74
0.852,0.9998,0.0015,0.1426,0.634,1.046,-0.084,43.76
0.877,0.9976,0.0093,0.1272,0.595,0.924,-0.183,43.7
0.902,0.9978,0.0066,0.135,0.626,1.084,-0.092,43.75
0.927,0.9976,0.0085,0.1353,0.618,1.145,-0.206,43.74
0.952,0.9941,0.0051,0.1379,0.664,1.092,-0.137,43.73
0.977,0.999,0.0051,0.1328,0.588,1.13,-0.137,43.74
1.002,0.9985,0.0083,0.1357,0.695,1.046,-0.115,43.74
1.027,0.9988,0.0071,0.1328,0.641,1.153,-0.046,43.73
1.052,0.9944,0.0093,0.1326,0.618,1.069,-0.137,43.75
1.077,1.0012,0.0056,0.1289,0.702,1.13,-0.168,43.75
1.102,1.1829,0.6538,-0.0095,1.328,1.466,-7.198,43.74
1.127,0.7703,-0.083,0.2334,0.069,7.656,4.008,43.73
1.152,1.0754,-0.0032,0.1257,0.611,-2.221,-0.076,43.72
1.177,1.0127,0.0159,0.1221,0.618,0.687,-0.107,43.72
1.202,0.9932,0.0085,0.1343,0.626,1.229,-0.092,43.73
1.227,1.0002,0.0088,0.134,0.641,0.908,-0.13,43.73
1.252,1.0007,0.0007,0.1294,0.641,1.191,0.015,43.77
1.277,0.9939,0.0081,0.1367,0.611,1.122,-0.229,43.74
1.302,1.0002,0.0071,0.1323,0.679,1.107,-0.015,43.72
